c #vertices #edges weightDimension idOffset
mincutGraph 5280 5607 2 340
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 208.66891441875083 0.0
0 437 0.0 26.79826340574754
0 489 0.0 17.146467313186037
0 2173 0.0 25.052366107457434
s 1 0.0 3.617143602831885
t 1 1.4083987339734962 0.0
1 4269 0.0 2.728443344759991
t 2 8.214238327662002 0.0
2 5054 0.0 6.82010375881322
2 2431 0.0 2.45967299111268
2 4623 0.0 6.765910666983255
s 3 0.0 2.423319755747651
t 3 2.1793953433387774 0.0
3 1538 0.0 2.605917789781812
3 3154 0.0 4.669279773325461
s 4 0.0 4.4870821732104575
t 4 1.3252650505758583 0.0
4 202 0.0 3.8611482812403137
s 5 0.0 7.6615300913780535
t 5 5.658656397024116 0.0
5 2370 0.0 5.988664221198462
s 6 0.0 6.449644570912667
t 6 12.328014809707547 0.0
6 5171 0.0 3.873760359446818
6 3951 0.0 6.966308268494581
s 7 0.0 0.9993384370055971
t 7 2.5887966586724693 0.0
7 2482 0.0 5.220648402930261
7 5083 0.0 5.193327686875759
s 8 0.0 6.119819619739087
t 8 9.28945760850033 0.0
8 2917 0.0 3.8891358364089927
8 4863 0.0 4.777561489164768
s 9 0.0 3.9039087351786264
t 9 1.2607626472122166 0.0
9 3351 0.0 7.531112471102488
9 3198 0.0 3.6569470775135082
s 10 0.0 2.2652553621302456
t 10 3.3515821811317066 0.0
10 3734 0.0 2.9592454571571816
10 3694 0.0 3.710186092884167
t 11 1886.3675781281117 0.0
11 4967 0.0 82.27048661009349
11 5148 0.0 95.93949434826949
11 5326 0.0 45.90127609562105
s 12 0.0 4.160868119035905
t 12 0.9705658362202492 0.0
12 4371 0.0 3.6288855295420235
t 13 48.498711780821 0.0
13 1520 0.0 21.263484288687476
13 5122 0.0 4.66043436956236
13 2153 0.0 22.68121821893362
t 14 27.347397373131244 0.0
14 5330 0.0 9.808340657765326
14 3704 0.0 5.6191610166376815
14 4316 0.0 11.889425521784615
s 15 0.0 10.072752949846684
t 15 9.317007394098106 0.0
15 2501 0.0 7.943216137297452
