c #vertices #edges weightDimension idOffset
mincutGraph 8 7 2 340
c u v weight[0] weight[1] ...
s 1555 0.0 4.622065475723573
t 1555 25.690922196341774 0.0
1555 3590 0.0 11.60468054411385
1555 5420 0.0 11.191476718888342
s 2389 0.0 5.848792837068352E-5
t 2389 4.727248540531415E-12 0.0
2389 3660 0.0 5.848695877167355E-5
s 3590 0.0 14.729019481371871
t 3590 19.84765565590415 0.0
s 4570 0.0 3.771349699777832E-4
t 4570 5.967376571179572E-11 0.0
4570 5420 0.0 3.771324267908607E-4
s 3547 0.0 16.863014453634136
t 3547 31.737828798006024 0.0
s 844 0.0 7.203343249414385
t 844 40.04063356245768 0.0
844 3547 0.0 12.59369180187142
844 3660 0.0 11.19143487089518
t 3660 3.247903316168836E-4 0.0
3660 5420 0.0 11.191427675642988
t 5420 0.00209240972899037 0.0
