c #vertices #edges weightDimension idOffset
mincutGraph 7 6 2 1610
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 6273 0.0 5.817887227903395
t 6273 3.3642011342974123 0.0
6273 22382 0.0 4.582507824965102
s 8356 0.0 4.93449595529529
t 8356 1.8504586573080974 0.0
8356 16903 0.0 4.991168612801908
8356 8889 0.0 0.7500091900257165
s 16903 0.0 5.800076833100701
t 16903 2.153089901468942 0.0
s 25479 0.0 4.763093105494556
t 25479 11.36662392261067 0.0
s 8889 0.0 3.0361107233527767
t 8889 1.1385554722251041 0.0
8889 22382 0.0 3.1273762336607094
s 14603 0.0 6.229745569964152
t 14603 3.416224149242074 0.0
14603 25479 0.0 4.970155047314633
t 22382 7.1150267266123235 0.0
22382 25479 0.0 5.846335266388797
