c #vertices #edges weightDimension idOffset
mincutGraph 14119 15730 2 1627
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 107.51350734248936 0.0
0 2612 0.0 20.661513799432154
0 13784 0.0 21.729330769956483
0 11359 0.0 10.527361728343278
s 1 0.0 3.675784172625839
t 1 16.68569781228878 0.0
1 1585 0.0 9.158325147405622
1 8267 0.0 9.40894111721458
t 2 112.69076136656844 0.0
2 4929 0.0 17.00778917907085
2 10743 0.0 19.68667256336626
2 8078 0.0 13.476060424179948
s 3 0.0 14.388439506130503
t 3 17.012174735601636 0.0
3 9226 0.0 11.795370946743942
s 4 0.0 14.394249328906787
t 4 57.31818956030469 0.0
4 910 0.0 14.323190329725273
4 9502 0.0 8.344012445784323
t 5 87.01984900896697 0.0
5 5040 0.0 18.399320372022398
5 570 0.0 9.462139717968238
5 3179 0.0 20.472882249351798
s 6 0.0 12.008623333700067
t 6 12.355715972826475 0.0
6 13661 0.0 9.737829933606578
s 7 0.0 5.475657966282992
t 7 10.315390133852869 0.0
7 10054 0.0 7.927138247092107
7 8412 0.0 4.054912091511635
s 8 0.0 3.261813606423588
t 8 6.556987320994314 0.0
8 9110 0.0 4.1160349813398875
8 9415 0.0 4.672067313606357
s 9 0.0 20.5877340175405
t 9 20.501462321483825 0.0
9 1479 0.0 18.493605736662936
s 10 0.0 6.528657740977449
t 10 4.382475276428017 0.0
10 1517 0.0 4.9593971578111455
t 11 161.56826675989612 0.0
11 9495 0.0 30.28725667954521
11 9788 0.0 20.067263237682077
11 9167 0.0 17.043608654636987
t 12 165.16921958947881 0.0
12 4822 0.0 46.179204334291406
12 12233 0.0 44.28269335432838
12 783 0.0 7.570481554801368
s 13 0.0 10.069701655995011
t 13 17.761211797196864 0.0
13 5524 0.0 3.5276540266955587
13 11948 0.0 10.66973450379449
s 14 0.0 11.162684904611853
t 14 119.78245421979423 0.0
14 8327 0.0 28.982232679056622
14 8541 0.0 23.015771857438132
s 15 0.0 9.07901952067233
t 15 61.03539257382383 0.0
15 14082 0.0 13.494679738634602
15 405 0.0 15.607909787530824
s 16 0.0 9.444618280910065
t 16 103.92857228423468 0.0
16 2689 0.0 22.17001417530187
16 3707 0.0 25.124605165820302
s 17 0.0 14.959869878744742
t 17 88.25277715855164 0.0
17 10822 0.0 12.066325133658244
17 6027 0.0 17.13961073348358
s 18 0.0 8.487302163867842
t 18 13.888698903462611 0.0
18 6776 0.0 65.35482084880317
18 27 0.0 56.8797554708196
s 19 0.0 8.599197391723278
t 19 8.29799613102433 0.0
19 13344 0.0 6.391815263965309
s 20 0.0 13.197355431837483
t 20 163.5971697996219 0.0
20 11637 0.0 28.097830224100818
20 5087 0.0 24.792429388701624
s 21 0.0 27.244400224717108
t 21 261.94536771522314 0.0
21 5201 0.0 28.590871295775134
21 12370 0.0 20.169458847098255
s 22 0.0 12.833924293917272
t 22 117.69423435699343 0.0
22 5477 0.0 19.21852302577248
22 8940 0.0 19.664965748775394
s 23 0.0 6.427884200012243
t 23 48.62254555477787 0.0
23 6847 0.0 17.132086479184196
23 9439 0.0 15.214225657736849
s 24 0.0 17.023761639466763
t 24 35.62874579328824 0.0
24 5483 0.0 12.148957453705066
s 25 0.0 16.10144989075442
t 25 89.73121427487771 0.0
25 12428 0.0 12.915413144157215
25 6045 0.0 14.69450380692364
s 26 0.0 8.350653026129454
t 26 7.411428818025377 0.0
26 6192 0.0 6.3286028698082
s 27 0.0 8.487302164657267
t 27 13.888698918784371 0.0
27 8799 0.0 48.408978016788126
s 28 0.0 12.908570960960175
t 28 337.45448244316094 0.0
28 3802 0.0 63.83846786597513
28 3582 0.0 57.41341051354802
t 29 203.87230407914944 0.0
29 12544 0.0 47.98380983300866
29 6674 0.0 46.51042630546853
29 13846 0.0 8.791976892881841
s 30 0.0 9.363116610617775
t 30 190.9122912757298 0.0
30 12977 0.0 41.5067495459501
30 11269 0.0 40.81213304106552
s 31 0.0 1.7705029947872126
t 31 0.70664525231666 0.0
31 13046 0.0 1.9973088141633082
31 7770 0.0 0.8005210526000414
t 32 43.14480074980674 0.0
32 10821 0.0 15.26727831571788
32 4535 0.0 16.377251404182186
32 11500 0.0 5.652883942223825
s 33 0.0 6.571622163205716
t 33 132.77009417326258 0.0
33 8663 0.0 52.59256636967694
33 13788 0.0 57.02292895242862
s 34 0.0 7.739567305744309
t 34 67.44395152068223 0.0
34 4138 0.0 18.727082434113424
34 6493 0.0 17.450914507645898
s 35 0.0 8.511915813466372
t 35 25.22468206063287 0.0
35 5468 0.0 6.859997436297125
35 7820 0.0 7.791601542712286
s 36 0.0 3.993192073856208
t 36 4.982994668969398 0.0
36 5716 0.0 2.5501533866484833
36 4268 0.0 4.2736731542057615
s 37 0.0 11.873898161006478
t 37 157.7574921834259 0.0
37 1029 0.0 30.51086328228474
37 4459 0.0 26.754755696888896
s 38 0.0 16.255600996784054
t 38 98.40733521773225 0.0
38 2936 0.0 16.075994337273684
38 7705 0.0 13.373573300190495
s 39 0.0 5.498014207882769
t 39 69.2425288200705 0.0
39 7331 0.0 25.633973359281768
39 7944 0.0 25.199012057574176
t 40 29.369001153342662 0.0
40 2609 0.0 13.505636844394152
40 10662 0.0 10.331856043074144
40 12125 0.0 6.00025099820725
t 41 16.967723014411852 0.0
41 5024 0.0 8.10955458360505
41 12325 0.0 7.836467700576047
41 4972 0.0 4.439941745936864
s 42 0.0 9.752893041363647
t 42 50.78856790412982 0.0
42 10488 0.0 11.720062934403341
42 10060 0.0 11.297943212340495
s 43 0.0 5.891890921150045
t 43 14.357624537352903 0.0
43 12425 0.0 5.113624868163083
43 4714 0.0 8.894090244307797
t 44 129.99526783333533 0.0
44 12210 0.0 15.689975722268592
44 6534 0.0 17.07858775427853
44 13289 0.0 20.20152385183235
s 45 0.0 10.763701545105116
t 45 42.62551504690847 0.0
45 3485 0.0 10.303745618666985
45 7421 0.0 8.952329364702877
s 46 0.0 12.500294289073144
t 46 47.05369737911643 0.0
46 994 0.0 8.056167079262176
46 843 0.0 12.225391315791907
t 47 47.64621749536566 0.0
47 5554 0.0 17.863135616355216
47 5762 0.0 5.3835179906374435
47 2327 0.0 19.337699823947016
t 48 273.4509978076662 0.0
48 10963 0.0 14.046780055638848
48 4279 0.0 39.008553397850264
48 6847 0.0 40.63752333447722
s 49 0.0 9.28645831725894
t 49 31.169481421855046 0.0
49 2835 0.0 6.750573931628334
49 12468 0.0 10.889401695812822
s 50 0.0 9.827815315689275
t 50 148.84048636937288 0.0
50 11317 0.0 30.71123974518161
50 9771 0.0 30.66083280917355
t 51 188.12098602257998 0.0
51 13858 0.0 17.797933066375393
51 8295 0.0 27.678726962798315
51 1946 0.0 21.139756788124355
t 52 38.79769580342747 0.0
52 4916 0.0 17.393360980452165
52 11270 0.0 8.651521999831322
52 3678 0.0 10.932438018575015
s 53 0.0 9.895312869430759
t 53 43.5788549519762 0.0
53 9248 0.0 13.094790336793517
53 6258 0.0 8.810375465889395
s 54 0.0 7.0330274464191875
t 54 65.74079949914021 0.0
54 8416 0.0 18.81424756169609
54 3446 0.0 19.330695765499932
t 55 210.93868270197817 0.0
55 5729 0.0 29.697339965808194
55 13591 0.0 28.25342222572845
55 8618 0.0 15.153667968825332
s 56 0.0 19.000797764649587
t 56 118.56240523545753 0.0
56 1524 0.0 16.17071081414445
56 11739 0.0 15.222901234938048
s 57 0.0 4.661626809492437
t 57 2.5552387322963135 0.0
57 3795 0.0 3.3928464033128765
t 58 74.66398067572148 0.0
58 6976 0.0 23.191993007864156
58 5768 0.0 6.439829624368818
58 8892 0.0 24.181659212005346
s 59 0.0 9.625817867495252
t 59 37.797593575722175 0.0
59 11904 0.0 12.209756641361553
59 13171 0.0 7.8582574946134605
t 60 9.436637175951176 0.0
60 8945 0.0 3.6809231483904012
60 3839 0.0 9.529333445230963
60 13071 0.0 12.78633553844166
s 61 0.0 4.416384832331981
t 61 4.418278905425891 0.0
61 8540 0.0 8.612254430061961
61 5629 0.0 4.43697730623998
s 62 0.0 2.9907794849205285
t 62 45.91245294693513 0.0
62 3161 0.0 31.903838707828054
62 2429 0.0 32.84312615687723
t 63 124.08971266988625 0.0
63 4272 0.0 22.054504351253517
63 293 0.0 11.25469470959431
63 2492 0.0 24.933389033611483
s 64 0.0 9.583702070977752
t 64 100.08499975826773 0.0
64 13381 0.0 22.74561435754069
64 13645 0.0 20.89447463354621
t 65 202.40009818593597 0.0
65 4420 0.0 25.635528759872177
65 1307 0.0 21.937660910649537
65 3646 0.0 18.91141449863569
s 66 0.0 11.844527465933279
t 66 67.72889957070745 0.0
66 6034 0.0 11.43883167354043
66 7813 0.0 16.29296795811896
t 67 182.96861908015796 0.0
67 6860 0.0 13.109399879258582
67 13277 0.0 28.33976441805656
67 7262 0.0 33.215897499423185
s 68 0.0 11.784598174823003
t 68 17.35955972796709 0.0
68 11587 0.0 8.33598357181136
s 69 0.0 8.115667729931088
t 69 64.8783531900442 0.0
69 9570 0.0 17.683430498448008
69 3843 0.0 15.9982567739627
s 70 0.0 8.41503152427549
t 70 82.75371727324028 0.0
70 8886 0.0 21.32012621101869
70 13751 0.0 19.66895138126276
t 71 7.229850171989879 0.0
71 6304 0.0 3.481162732858239
71 6839 0.0 18.934504994353397
71 4430 0.0 15.55689393629269
s 72 0.0 9.277513620454801
t 72 26.29081257086364 0.0
72 9351 0.0 5.719266311500626
72 696 0.0 10.225261173286082
t 73 145.68563710903095 0.0
73 10433 0.0 66.02714490537151
73 9684 0.0 65.43978554129431
73 3327 0.0 4.473909355312832
t 74 21.999553663406616 0.0
74 14096 0.0 4.257853882852687
74 6339 0.0 10.95947154932265
74 13859 0.0 10.351469076229963
s 75 0.0 16.28504674175572
t 75 32.44531069500992 0.0
75 12875 0.0 11.641068655571392
s 76 0.0 11.112393694531884
t 76 35.086377044750876 0.0
76 4119 0.0 10.328795519809674
76 13995 0.0 6.965176465497455
s 77 0.0 14.345272823223162
t 77 54.4057477331438 0.0
77 6922 0.0 9.267599001095336
77 13469 0.0 11.785755820354813
s 78 0.0 15.933687313137531
t 78 131.2905125117295 0.0
78 10733 0.0 18.78478534797596
78 11214 0.0 17.87261586290592
s 79 0.0 5.30549400120923
t 79 7.577104842417247 0.0
79 2744 0.0 16.205896364481504
79 11995 0.0 11.02319397647658
s 80 0.0 3.2812445396436534
t 80 3.2383687800556675 0.0
80 5152 0.0 3.829192257875372
80 3233 0.0 1.9738661601901561
s 81 0.0 5.736519950908745
t 81 89.91223951287627 0.0
81 13273 0.0 31.71787013266733
81 8620 0.0 31.36029594332718
s 82 0.0 4.833458981892997
t 82 15.367232153452218 0.0
82 12753 0.0 7.808867490282726
82 2942 0.0 6.365797610874973
s 83 0.0 16.758573047489417
t 83 67.08762324293085 0.0
83 108 0.0 8.026094906988012
83 9644 0.0 18.067014137500387
s 84 0.0 11.106206936046714
t 84 102.40618721954101 0.0
84 13888 0.0 19.956033668089365
84 5799 0.0 18.7666779240333
s 85 0.0 13.474953978204324
t 85 82.71591601066245 0.0
85 976 0.0 16.52321886431586
85 13057 0.0 12.512522998407121
s 86 0.0 17.17877487186283
t 86 147.93257031658462 0.0
86 5955 0.0 18.239468287637077
86 3225 0.0 20.530028907077426
s 87 0.0 9.615232386285937
t 87 41.49426800363907 0.0
87 11867 0.0 8.937394811389403
87 13581 0.0 11.300846700686032
t 88 16.12759959640472 0.0
88 12754 0.0 3.7044032057236906
88 4869 0.0 15.664519394663934
88 12525 0.0 12.752474923511441
t 89 69.6383312447823 0.0
89 3555 0.0 13.02413606858572
89 10035 0.0 10.853880248587203
89 6103 0.0 15.461148225735371
s 90 0.0 5.680374068814649
t 90 57.24458706487298 0.0
90 10452 0.0 20.480271184495816
90 9053 0.0 20.258797541902847
s 91 0.0 10.510604817580544
t 91 18.939002897991642 0.0
91 10896 0.0 17.650086183324298
91 11122 0.0 7.667362321840724
s 92 0.0 8.840428742549728
t 92 29.610882301291202 0.0
92 790 0.0 6.841467937793439
92 4346 0.0 10.019934624805993
s 93 0.0 5.523033891350054
t 93 85.10991628998808 0.0
