c #vertices #edges weightDimension idOffset
mincutGraph 6 5 2 685
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 5282 1.207536079839161 0.0
s 6354 0.0 3.4300208454536314
t 6354 1.317340743470619 0.0
s 278 0.0 1.7360470656626246
t 278 0.9418310668574645 0.0
278 5282 0.0 1.0889213593707043
278 3929 0.0 1.9698312384021144
s 1319 0.0 1.5715992221762933
t 1319 1.7784431067998416 0.0
1319 5282 0.0 2.298043955609715
1319 6354 0.0 2.5491844724767785
s 1896 0.0 2.8374667665227618
t 1896 0.7281647182558412 0.0
1896 5282 0.0 2.270730513070837
s 3929 0.0 2.729925806078435
t 3929 0.895421093474438 0.0
