c #vertices #edges weightDimension idOffset
mincutGraph 14 13 2 3459
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 26659 0.0 36.26700594280786
t 26659 166.08907496869563 0.0
s 14823 0.0 11.000889815890957
t 14823 9.768921800280298 0.0
14823 33096 0.0 9.052982233264727
t 33096 165.4220975579554 0.0
t 25353 109.15522863169971 0.0
25353 26659 0.0 9.159238302197531
25353 31449 0.0 24.26574461178076
s 396 0.0 28.257379361409594
t 396 52.56732834252059 0.0
396 33176 0.0 24.25170456250284
s 12332 0.0 35.51880103870021
t 12332 46.576723619184364 0.0
12332 25678 0.0 32.79836432121371
s 25678 0.0 22.66067549972217
t 25678 370.21473587614804 0.0
25678 33096 0.0 38.21319945136269
s 29262 0.0 29.35452853898675
t 29262 65.7567021446897 0.0
29262 33176 0.0 24.47759629149211
s 10613 0.0 11.636438517376009
t 10613 7.029754167272207 0.0
s 9910 0.0 28.442202067700983
t 9910 54.908401980228035 0.0
9910 25353 0.0 24.27623499275837
t 19766 179.97757331143504 0.0
19766 26659 0.0 37.40571301768406
19766 33176 0.0 9.925140972191254
t 33176 118.34605285907915 0.0
s 31449 0.0 28.388903530869158
t 31449 54.242765274099 0.0
t 5503 186.73844110850112 0.0
5503 10613 0.0 10.359309845035225
5503 19766 0.0 36.2750923770382
5503 33096 0.0 36.60638335482423
