c #vertices #edges weightDimension idOffset
mincutGraph 22 21 2 2495
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 12513 0.0 0.22364345295938257
t 12513 0.32055771612099804 0.0
s 2754 0.0 0.0069888583725227806
t 2754 0.010017430062377333 0.0
2754 7590 0.0 6.9318637089526
2754 19515 0.0 6.938227530422559
s 10435 0.0 0.44728690591876513
t 10435 0.6411154322419961 0.0
10435 12513 0.0 6.539799638809829
10435 19196 0.0 6.140905801025211
s 15781 0.0 4.3680314226089456E-4
t 15781 6.260873994994988E-4 0.0
s 7590 0.0 0.013977715963033184
t 7590 0.020034857407775882 0.0
7590 15305 0.0 6.9191396851380835
s 18726 0.0 1.0920052683904433E-4
t 18726 1.5652138826955574E-4 0.0
s 2696 0.0 0.0559108628172279
t 2696 0.08013942779339901 0.0
2696 15305 0.0 6.893706205687738
2696 9468 0.0 6.842898277040822
s 5960 0.0 6.944590999232663
t 5960 3.668607818556389E-5 0.0
5960 8210 0.0 6.944567687271501
5960 19033 0.0 2.5594431021751686E-5
s 15305 0.0 0.027955431799620137
t 15305 0.04006971524988661 0.0
s 15724 0.0 5.4600717648866656E-5
t 15724 7.826183584936242E-5 0.0
15724 18726 0.0 6.944493090060558
s 3853 0.0 2.1840196213655723E-4
t 3853 3.130450599513391E-4 0.0
3853 15781 0.0 6.944194703869753
3853 18726 0.0 6.944393627937447
s 4269 0.0 8.73606940087595E-4
t 4269 0.0012521779562738493 0.0
4269 15781 0.0 6.94379685974971
4269 11065 0.0 6.943001185252385
s 8210 0.0 2.7300295601659063E-5
t 8210 3.913113645577905E-5 0.0
8210 15724 0.0 6.944542821581522
s 21269 0.0 5.119537131226608E-6
t 21269 4.3151246464923076E-16 0.0
s 439 0.0 6.8247461245005525E-6
t 439 2.157562323246154E-15 0.0
439 21269 0.0 5.119537118738291E-6
439 19033 0.0 1.194428322092988E-5
s 17687 0.0 6.563076886780496
t 17687 5.128923456537483 0.0
s 11065 0.0 0.0017472147886337963
t 11065 0.0025043581957227444 0.0
11065 19515 0.0 6.941409891782463
s 19033 0.0 1.3650147800829531E-5
t 19033 1.2696007439805257E-16 0.0
s 19515 0.0 0.0034944287952552062
t 19515 0.00500871367181556 0.0
s 9468 0.0 0.1118217265429144
t 9468 0.16027885785289603 0.0
9468 12513 0.0 6.741524762788313
s 19196 0.0 0.8945738119639766
t 19196 1.2822308641343707 0.0
s 13055 0.0 1.7891476239279531
t 13055 2.5644617282687414 0.0
13055 17687 0.0 3.970383696825005
13055 19196 0.0 5.366060658864297
