c #vertices #edges weightDimension idOffset
mincutGraph 36460 40442 2 3995
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 102.1472731213332 0.0
0 4420 0.0 13.698596766139767
0 6345 0.0 16.797115668182368
0 23818 0.0 16.064117220787253
s 1 0.0 0.754548396831192
t 1 0.17791977603467446 0.0
1 420 0.0 0.5281104489278167
1 8407 0.0 0.6996661893536367
s 2 0.0 13.283849361364751
t 2 78.26072707501581 0.0
2 16001 0.0 12.69785727008601
2 10840 0.0 14.558643961108364
s 3 0.0 5.429505002591848
t 3 9.212351429431191 0.0
3 17924 0.0 4.325188778026538
3 7437 0.0 4.3664127552324254
s 4 0.0 8.180243646113743
t 4 69.5720758660164 0.0
4 2315 0.0 24.29457360455645
4 30479 0.0 19.322240805350884
s 5 0.0 14.712662358892175
t 5 67.32661133747612 0.0
5 11748 0.0 11.876500153309582
5 27004 0.0 11.610161988149532
s 6 0.0 9.275793234154872
t 6 31.891664373509908 0.0
6 36394 0.0 8.5922675607556
6 32958 0.0 8.018062048890195
s 7 0.0 11.944389322315509
t 7 13.158772270912644 0.0
7 29739 0.0 9.560052435361818
s 8 0.0 13.258889129224684
t 8 24.741069775709228 0.0
8 1201 0.0 4.244927014993715
8 4365 0.0 15.730763758995574
t 9 12.41067987773129 0.0
9 12078 0.0 3.649801703446034
9 10159 0.0 6.889024679023778
9 22639 0.0 8.294849514608972
s 10 0.0 12.984580126146778
t 10 126.8943299304468 0.0
10 6294 0.0 21.039747591402342
10 12222 0.0 28.52211724002358
t 11 26.758179679200705 0.0
11 5440 0.0 6.08312042567109
11 11078 0.0 10.89621324461138
11 22247 0.0 8.804311527735404
t 12 24.735093303272862 0.0
12 20098 0.0 14.657116864431789
12 18599 0.0 13.976119487754707
12 22589 0.0 3.548242303363528
t 13 419.5074748651328 0.0
13 883 0.0 30.332360795625902
13 2022 0.0 30.189726563947858
13 22790 0.0 33.13146526136849
s 14 0.0 10.318897731920368
t 14 167.73653956836003 0.0
14 8322 0.0 45.469341893630045
14 16067 0.0 38.960119065443116
s 15 0.0 9.643721622193542
t 15 20.03430633570264 0.0
15 66 0.0 21.68125270879938
15 34954 0.0 31.201019833138925
s 16 0.0 13.233716942656963
t 16 19.263062766384856 0.0
16 35161 0.0 9.891500934702803
s 17 0.0 5.659068249921043
t 17 21.822256042574566 0.0
17 24627 0.0 8.064703496769729
17 2172 0.0 11.12436225739955
t 18 184.13876251492317 0.0
18 22706 0.0 10.499204793546577
18 36310 0.0 40.340278044550274
18 7610 0.0 36.32080183037303
s 19 0.0 9.256770129868588
t 19 6.591820639777913 0.0
19 25240 0.0 7.701614932621779
s 20 0.0 3.0361538206655814
t 20 2.880696882160126 0.0
20 25395 0.0 3.236803767292644
20 25225 0.0 1.942218813960417
s 21 0.0 11.658439649165704
t 21 78.52185116154145 0.0
21 22259 0.0 33.55039192584549
21 22303 0.0 23.3469331815677
t 22 84.57938091353789 0.0
22 21552 0.0 14.901564817791627
22 690 0.0 11.371463443117777
22 21443 0.0 19.269572679134093
s 23 0.0 6.436098435431713
t 23 17.336247581183347 0.0
23 33763 0.0 5.428306591801569
23 13292 0.0 7.8934239314789
s 24 0.0 5.228196042726976
t 24 1.5832260552326352 0.0
24 15027 0.0 0.6056490775379724
24 32056 0.0 5.2631591906090485
s 25 0.0 6.7852670327340086
t 25 9.294449407692678 0.0
25 3907 0.0 2.7395972370294874
25 34455 0.0 7.317461426154149
s 26 0.0 5.110985876355876
t 26 9.096746001140186 0.0
26 35625 0.0 3.742196828265432
26 31147 0.0 5.32219340574348
s 27 0.0 11.568764173377556
t 27 90.35424496914564 0.0
27 18119 0.0 15.698180917531621
27 13550 0.0 18.55134111878872
s 28 0.0 8.260161449545317
t 28 19.479015624130746 0.0
28 9288 0.0 7.203615296554641
28 23375 0.0 14.493973152344063
s 29 0.0 5.798424687066139
t 29 9.734939311006407 0.0
29 6705 0.0 3.3577876186685622
29 2732 0.0 6.7004825605326666
s 30 0.0 8.115525905576549
t 30 23.021728287858256 0.0
30 30886 0.0 5.761994095090699
30 4731 0.0 9.09585788566573
s 31 0.0 8.732473375178186
t 31 367.2833151676474 0.0
31 2577 0.0 84.14963129257741
31 14924 0.0 84.36672174522684
s 32 0.0 12.141666989365868
t 32 7.8965158334930265 0.0
32 11002 0.0 52.22086457875764
32 18828 0.0 40.08410554256287
s 33 0.0 11.004978258147064
t 33 61.30874159191856 0.0
33 3280 0.0 11.821112064092885
33 19243 0.0 13.188298354831062
t 34 276.99011702058556 0.0
34 31044 0.0 17.29257988530842
34 11271 0.0 32.36798166949585
34 14766 0.0 34.44897882052347
s 35 0.0 12.018858678654755
t 35 92.30607762744295 0.0
35 5132 0.0 16.6682540098013
35 14847 0.0 16.330853599367487
s 36 0.0 2.9544135087962204
t 36 3.9621890500693318 0.0
36 8235 0.0 3.6299511255776284
36 5247 0.0 2.730001688054536
s 37 0.0 9.770814208514045
t 37 124.13019623809245 0.0
37 15397 0.0 32.12907156951844
37 14457 0.0 27.266642777024117
t 38 706.0459686015492 0.0
38 31217 0.0 58.42349435548654
38 15352 0.0 56.99421243304093
38 4473 0.0 25.110458665012732
t 39 107.50812530215804 0.0
39 11556 0.0 13.140723854905735
39 2534 0.0 18.588461173005694
39 1272 0.0 16.9233827141126
t 40 129.44051988765656 0.0
40 12992 0.0 17.71661597664767
40 33605 0.0 16.539375719325843
40 24638 0.0 17.68882276154963
s 41 0.0 1.5806443355029818
t 41 4.4526911709695325 0.0
41 18832 0.0 5.793258853132645
41 26000 0.0 5.638782496573425
t 42 98.4291639997383 0.0
42 17440 0.0 17.68982202907757
42 10849 0.0 11.927625809808804
42 19563 0.0 24.638925525141087
s 43 0.0 4.559076821701159
t 43 9.259933399158298 0.0
43 18848 0.0 7.167917028040417
43 31453 0.0 11.225574710598421
t 44 269.049041116269 0.0
44 18176 0.0 25.93240548124166
44 13326 0.0 29.474371978335054
44 25886 0.0 21.343882409485254
s 45 0.0 11.404977014012882
t 45 9.217052878127854 0.0
45 23610 0.0 9.599855916193288
s 46 0.0 5.7282335569629925
t 46 12.111392739739921 0.0
46 6896 0.0 4.417575614317149
46 13624 0.0 6.1388867027405425
t 47 700.5540008574465 0.0
47 34225 0.0 81.75359857723421
47 23735 0.0 81.01987451383496
47 17593 0.0 17.329374579464936
s 48 0.0 6.919261134262508
t 48 23.325829091903124 0.0
48 18484 0.0 6.754559543693424
48 5310 0.0 9.37382364494251
s 49 0.0 3.7089816634054547
t 49 73.55932997311743 0.0
49 35219 0.0 49.850982070837716
49 19647 0.0 52.181088353252434
s 50 0.0 7.645502194696799
t 50 26.665730441160882 0.0
50 24423 0.0 10.157632931591545
50 4938 0.0 6.98044420310617
s 51 0.0 10.294646485993733
t 51 40.73859834185457 0.0
51 18003 0.0 9.432619860455475
51 7980 0.0 9.449620622572054
s 52 0.0 20.638025413925597
t 52 16.79132620853077 0.0
52 13102 0.0 18.936346121036298
s 53 0.0 18.0041731636258
t 53 467.4276063407559 0.0
53 15076 0.0 57.19409325759262
53 34363 0.0 52.267064729325696
s 54 0.0 10.84952845232717
t 54 71.85807731342152 0.0
54 12572 0.0 13.452664603667644
54 32991 0.0 15.740178466219636
s 55 0.0 10.660901658034069
t 55 172.8926492890062 0.0
55 2028 0.0 33.02524030276275
55 23486 0.0 36.56318093526263
s 56 0.0 13.318493009962298
t 56 84.555624133236 0.0
56 2009 0.0 15.975793501240398
56 2457 0.0 13.204278432781607
s 57 0.0 4.6118243320275
t 57 11.864404825044625 0.0
57 806 0.0 6.083443817426974
57 27848 0.0 5.323464338493624
t 58 172.07174947521432 0.0
58 25809 0.0 31.24825499074937
58 26961 0.0 13.560605094804217
58 12031 0.0 25.80451284466307
s 59 0.0 0.9051429803340998
t 59 0.2560261921409345 0.0
59 8958 0.0 0.5983143184720572
59 26207 0.0 0.9080853494682141
t 60 71.66416334691324 0.0
60 13985 0.0 26.776282818629408
60 1734 0.0 25.97167274156595
60 16590 0.0 5.523420429837728
t 61 74.03333280151213 0.0
61 4274 0.0 19.240826883527436
61 10341 0.0 7.714930227495444
61 31324 0.0 20.214870318692284
t 62 19.011398993089763 0.0
62 25571 0.0 6.312526054037124
62 743 0.0 18.48771566723618
62 16891 0.0 12.687422864194001
s 63 0.0 0.9423520468697033
t 63 0.27750855636383764 0.0
63 26403 0.0 0.6856186538835753
63 35654 0.0 0.8346293291526615
s 64 0.0 9.351804464131796
t 64 19.955150609942336 0.0
64 24473 0.0 10.295545402517245
64 15134 0.0 4.267694001219759
s 65 0.0 8.163574224770322
t 65 56.829131482871794 0.0
65 1554 0.0 15.638469359933472
65 20235 0.0 13.961518207877008
t 66 16.88778197559738 0.0
66 34499 0.0 3.9161660267572787
66 199 0.0 18.155226146347534
s 67 0.0 12.136218927355136
t 67 409.3295270693402 0.0
67 15344 0.0 89.23880482540879
67 18959 0.0 97.61621716751613
t 68 7.202592917545124 0.0
68 33225 0.0 5.1231779247537705
68 14606 0.0 3.114967935117446
68 28606 0.0 4.713231862251287
s 69 0.0 17.61417973532889
t 69 52.93711109039127 0.0
69 4493 0.0 6.294390004242578
69 17135 0.0 16.85417324482393
s 70 0.0 3.0708371352201067
t 70 19.83846217944575 0.0
70 33563 0.0 12.928286450354488
70 14430 0.0 13.390892000626843
s 71 0.0 8.79445005207734
t 71 61.18309647317794 0.0
71 27745 0.0 15.823995045953108
71 19573 0.0 13.970774111601186
s 72 0.0 10.574152510631578
t 72 60.505465488372856 0.0
72 18957 0.0 11.444550175997131
72 33663 0.0 15.507592943330934
t 73 65.07992605827322 0.0
73 12178 0.0 9.200430723582103
73 35268 0.0 15.905110248750788
73 15870 0.0 21.71098060941366
s 74 0.0 17.918549421670292
t 74 161.28501611993826 0.0
74 12390 0.0 18.200965580033778
74 28199 0.0 27.359230298064737
s 75 0.0 17.05656087079018
t 75 195.95563863745124 0.0
75 24806 0.0 24.54396399615228
75 23704 0.0 24.473999848847008
s 76 0.0 9.31233764890064
t 76 156.38126574897896 0.0
76 29795 0.0 34.65027055956627
76 28714 0.0 33.59510888439804
s 77 0.0 14.404405734511311
t 77 9.728790777872899 0.0
77 34790 0.0 12.98084865755087
t 78 23.279436413591238 0.0
78 8352 0.0 13.633670221763776
78 27243 0.0 3.850884105610912
78 17134 0.0 12.336128468979744
s 79 0.0 9.42251762005645
t 79 44.75686115846008 0.0
79 9939 0.0 12.619413221835943
79 32959 0.0 9.565292873180683
t 80 150.65189857469935 0.0
80 1910 0.0 26.717436422335698
80 11687 0.0 27.871233642542983
80 18951 0.0 11.344265846746001
s 81 0.0 13.549072864146007
t 81 70.62715412661254 0.0
81 16786 0.0 10.488742344776124
81 17014 0.0 16.198708784395443
t 82 73.28765263643754 0.0
82 4368 0.0 12.0467678846624
82 29906 0.0 16.61825194164727
82 12344 0.0 26.344108923754494
s 83 0.0 13.745486789666202
t 83 49.22886241420659 0.0
83 15702 0.0 13.813727143556834
83 19390 0.0 7.4194065070484845
s 84 0.0 9.858581345440829
t 84 74.60671442850318 0.0
84 30372 0.0 15.208888531092256
84 5098 0.0 17.293215224096695
s 85 0.0 8.648799907940553
t 85 57.617216375521856 0.0
85 3266 0.0 20.017421339552246
85 31483 0.0 14.733953200109612
s 86 0.0 11.441787411534268
t 86 39.49188113980834 0.0
86 7832 0.0 7.6405938086466625
86 26123 0.0 10.693380649703883
s 87 0.0 37.03510402137926
t 87 167.8763182436163 0.0
87 10282 0.0 26.446976008245148
s 88 0.0 18.38346720789034
t 88 256.3187991440663 0.0
88 14914 0.0 27.900775554244728
88 11206 0.0 33.91189305735211
t 89 153.77612585803462 0.0
89 31363 0.0 29.514870293893427
89 34899 0.0 10.759940214502434
89 17405 0.0 28.784859765989193
t 90 64.57291227341737 0.0
90 7490 0.0 28.1889575312472
90 2663 0.0 8.885938482588088
90 10670 0.0 21.079029751807997
s 91 0.0 14.828742430633984
t 91 54.6636600634109 0.0
91 7520 0.0 11.903521688564874
91 6162 0.0 9.188172720743173
s 92 0.0 5.261635261312433
t 92 12.016672417384138 0.0
92 2793 0.0 6.004531386666853
92 2699 0.0 4.766992199068304
s 93 0.0 1.538555072121905
t 93 9.656722096688274 0.0
93 22902 0.0 16.87414108873972
93 31000 0.0 15.887251429517356
s 94 0.0 10.885405629279052
t 94 134.87825822122596 0.0
94 29552 0.0 30.798041115364544
94 18867 0.0 38.27693926323984
s 95 0.0 4.050412992432909
t 95 1.5176833703836872 0.0
95 21288 0.0 3.2100355868358212
s 96 0.0 9.077668328584155
t 96 42.84377112776611 0.0
96 32438 0.0 10.563869756825108
96 16812 0.0 10.387181817389905
s 97 0.0 4.879732591877195
t 97 14.742640136948072 0.0
97 15332 0.0 7.0855104208833355
97 34773 0.0 6.156385648564091
s 98 0.0 17.641768549415648
t 98 189.03251165862372 0.0
98 35847 0.0 25.610284154921196
98 23915 0.0 21.73354504684661
s 100 0.0 9.998944433027514
t 100 29.227365740387754 0.0
100 26368 0.0 6.1650812519176785
