c #vertices #edges weightDimension idOffset
mincutGraph 12758 14463 2 1723
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 17.74527998426351
t 0 168.807104915312 0.0
0 12244 0.0 19.470133532177176
0 2348 0.0 23.391497386557933
t 1 284.82871644300553 0.0
1 8103 0.0 23.109221594250716
1 11544 0.0 24.65434367271448
1 5389 0.0 34.082034085842274
s 2 0.0 15.36018653116532
t 2 148.3698928426698 0.0
2 5957 0.0 22.04139600530192
2 7801 0.0 19.89378054814667
s 3 0.0 16.692658471593546
t 3 79.00627479362275 0.0
3 10515 0.0 16.34030344033838
3 8185 0.0 10.049146304072288
s 4 0.0 11.69545565434064
t 4 49.08139835765077 0.0
4 7728 0.0 13.280394479286237
4 6117 0.0 8.50979469833871
s 5 0.0 19.771328094632338
t 5 300.65686002118093 0.0
5 11733 0.0 34.72312641310893
5 2315 0.0 30.562662173939543
s 6 0.0 10.7239263380795
t 6 12.362080946016889 0.0
6 9444 0.0 12.382510102489181
6 1206 0.0 2.719361018324494
t 7 281.05813238675535 0.0
7 9269 0.0 32.921859122473556
7 472 0.0 32.15915658842582
7 7900 0.0 17.990984811689067
s 8 0.0 11.532383658166452
t 8 49.14293265388248 0.0
8 4578 0.0 12.59954825071522
8 4280 0.0 8.815269881604534
s 9 0.0 11.468058265904006
t 9 149.0016168134145 0.0
9 3889 0.0 26.292718738932034
9 7015 0.0 30.244703683836736
s 10 0.0 25.617681810005617
t 10 1220.1693653307937 0.0
10 883 0.0 95.7523118598813
10 909 0.0 96.58102280991778
t 11 114.73663432792947 0.0
11 11590 0.0 25.29126574573529
11 6920 0.0 29.37593105032062
11 5181 0.0 9.451830505440212
s 12 0.0 9.847855947028458
t 12 62.66170659312039 0.0
12 2388 0.0 15.915735219086507
12 2344 0.0 12.729253558144316
s 13 0.0 9.255495446336793
t 13 270.50340821479256 0.0
13 4102 0.0 60.69981559144916
13 12107 0.0 63.82038518679416
t 14 391.71778251869597 0.0
14 10224 0.0 14.065637394332182
14 1914 0.0 56.28060800604793
14 2045 0.0 56.019959372633195
t 15 67.48286660495822 0.0
15 2609 0.0 17.49527740689749
15 2885 0.0 7.761342178790602
15 7800 0.0 18.344009453169164
s 16 0.0 13.572291181802559
t 16 61.12013462965135 0.0
16 3405 0.0 10.649362854035113
16 5134 0.0 11.973674275067179
t 17 298.78747375788714 0.0
17 2055 0.0 18.5964624838468
17 9385 0.0 32.335774527587056
17 8427 0.0 39.05946920079736
s 18 0.0 10.58654097181366
t 18 42.59871564884854 0.0
18 8800 0.0 8.05239983704834
18 8665 0.0 13.080485281210263
s 19 0.0 9.144694781366175
t 19 96.40709969901324 0.0
19 9187 0.0 22.155779835688183
19 3974 0.0 21.214222039939756
s 20 0.0 10.514835889974592
t 20 33.949748726958276 0.0
20 9676 0.0 6.628762839488016
20 1613 0.0 11.091397556816883
t 21 165.702371227989 0.0
21 5250 0.0 13.541475789468414
21 12354 0.0 25.982428472332227
21 9231 0.0 24.942562316661665
t 22 47.19515081083863 0.0
22 4928 0.0 6.681104235185867
22 4949 0.0 15.62054311932691
22 4761 0.0 14.127960208596539
s 23 0.0 14.076934274996077
t 23 184.51838834585377 0.0
23 3120 0.0 29.245172746244368
23 11937 0.0 37.66131126313112
s 24 0.0 11.663270256440837
t 24 592.8187028231672 0.0
24 10756 0.0 101.65896247562723
24 3037 0.0 102.2323576403202
s 25 0.0 14.822829714661522
t 25 26.05768157191308 0.0
25 2791 0.0 10.750732377294911
s 26 0.0 11.262346780103622
t 26 136.37713470017303 0.0
26 2776 0.0 27.843859836786336
26 10953 0.0 24.344540452724857
s 27 0.0 10.731901829244702
t 27 54.12714451680574 0.0
27 6912 0.0 12.736864084290383
27 12501 0.0 10.511125384446352
t 28 458.5154279684553 0.0
28 8371 0.0 18.767781809242344
28 6360 0.0 51.56925783449516
28 9820 0.0 48.91507006023428
s 29 0.0 16.163468454297377
t 29 161.07046137227826 0.0
29 8771 0.0 23.608138911152256
29 8057 0.0 20.23675812456386
s 30 0.0 10.68108924993651
t 30 113.91735746333768 0.0
30 10848 0.0 21.333850372274817
30 11632 0.0 24.022832967030364
s 31 0.0 11.46521632702506
t 31 91.64808781993125 0.0
31 4408 0.0 16.00343271074317
31 11311 0.0 20.102455880202132
t 32 102.07545162095053 0.0
32 9089 0.0 7.817423154742593
32 5395 0.0 26.384029216880442
32 4489 0.0 26.42830899386259
s 33 0.0 16.361966013553225
t 33 249.63919224616535 0.0
33 5987 0.0 32.02692777920078
33 3784 0.0 31.227904043986133
s 34 0.0 15.27930581600255
t 34 18.42348806650655 0.0
34 9168 0.0 20.06699725691818
34 6951 0.0 5.23127101448088
t 35 157.56091665342777 0.0
35 10483 0.0 10.97167635732775
35 11575 0.0 34.16157058222391
35 5658 0.0 41.149123424365776
t 36 240.3377408575412 0.0
36 9946 0.0 37.52220753204101
36 7756 0.0 28.132526016163368
36 6461 0.0 17.881496005215133
t 37 72.20691856866652 0.0
37 4193 0.0 8.941705226970184
37 6966 0.0 18.16555421857935
37 1694 0.0 16.162732043210873
s 38 0.0 15.83988432514295
t 38 83.24983909505073 0.0
38 8780 0.0 19.099066748428775
38 1342 0.0 10.511958707369606
t 39 93.87933371166028 0.0
39 3697 0.0 11.026380471361627
39 4964 0.0 19.22848125307232
39 9780 0.0 17.15647193332349
t 40 70.53035068540942 0.0
40 2614 0.0 8.319591777468672
40 10038 0.0 18.284145170103155
40 8215 0.0 17.019398810465017
t 41 21.725156703389366 0.0
41 10982 0.0 5.72537230372183
41 8892 0.0 10.985423485866994
41 8333 0.0 7.906350784870477
s 42 0.0 3.6916731005501675
t 42 4.258890713259246 0.0
42 11937 0.0 2.4094662789177
42 4282 0.0 3.7826518850652486
s 43 0.0 8.423322898584994
t 43 103.42160186440962 0.0
43 9488 0.0 24.999698305213375
43 11579 0.0 27.837604063599173
t 44 83.044967385696 0.0
44 10389 0.0 19.941773756972925
44 9738 0.0 16.74087292581543
44 5630 0.0 9.936890603839194
t 45 194.20199135272108 0.0
45 8576 0.0 17.786022381343294
45 10325 0.0 48.47064159979756
45 1399 0.0 33.562612400937645
s 46 0.0 12.513475439215554
t 46 110.62362478250708 0.0
46 11105 0.0 18.586159381096255
46 10393 0.0 18.937211075933845
s 47 0.0 15.128076804303225
t 47 109.97061501758964 0.0
47 7863 0.0 20.754018995612626
47 892 0.0 14.542074233540164
s 48 0.0 10.152457827924291
t 48 97.95768329207351 0.0
48 10471 0.0 19.302156002967063
48 10426 0.0 21.607529285324993
t 49 448.34773641488454 0.0
49 5875 0.0 44.83168630807781
49 9350 0.0 22.52541168339645
49 6632 0.0 39.85374155631962
t 50 100.47321880849637 0.0
50 10938 0.0 19.06399031299571
50 7275 0.0 12.251005110321426
50 11823 0.0 16.59722242212074
t 51 27.2756536661032 0.0
51 915 0.0 10.258199984770455
51 11467 0.0 6.115957565402604
51 6446 0.0 8.980988015673343
s 52 0.0 14.337550795197885
t 52 56.00189097018483 0.0
52 2418 0.0 13.122394706678621
52 9231 0.0 8.68440082480782
s 53 0.0 15.250731485039648
t 53 22.619405542218562 0.0
53 7722 0.0 11.912232469740164
s 54 0.0 13.137107370117002
t 54 598.03007666154 0.0
54 9202 0.0 91.45229697269502
54 11330 0.0 91.15600995766904
t 55 231.71447539541083 0.0
55 4785 0.0 20.943944890662742
55 2198 0.0 25.419491712059138
55 8350 0.0 23.679366519615165
t 56 368.169493058797 0.0
56 12717 0.0 50.05329867315204
56 2030 0.0 14.918085404543485
56 2671 0.0 49.79931494831721
s 57 0.0 10.715185560990223
t 57 38.62365797136316 0.0
57 8406 0.0 7.6612233950537085
57 10761 0.0 10.860247904816399
s 58 0.0 11.839969221390167
t 58 110.98222267090748 0.0
58 6536 0.0 21.135338679429378
58 9754 0.0 18.86211665284048
s 59 0.0 10.84177511059967
t 59 61.702333464357245 0.0
59 172 0.0 14.99284797545915
59 4909 0.0 11.433764132106418
s 60 0.0 10.148610371977412
t 60 43.70613275598993 0.0
60 1392 0.0 8.621300877685565
60 7064 0.0 13.597552551923174
s 61 0.0 26.36098423900155
t 61 245.63687024092755 0.0
61 5016 0.0 20.817510172312385
61 8938 0.0 25.282302401116524
s 62 0.0 12.552995009986923
t 62 1245.5785219204472 0.0
62 592 0.0 201.3432483103818
62 11948 0.0 199.60710421933234
s 63 0.0 5.053190814281737
t 63 9.613084769047198 0.0
63 10952 0.0 4.428442820894448
63 9690 0.0 8.24907694497495
s 64 0.0 9.517477445301047
t 64 44.91883193896676 0.0
64 6498 0.0 13.791179292979635
64 6738 0.0 9.454507467205802
s 65 0.0 16.126666969987287
t 65 207.15168337601776 0.0
65 11861 0.0 26.310659386814123
65 8431 0.0 27.73392141334516
s 66 0.0 11.42897903838004
t 66 351.49928067265535 0.0
66 5316 0.0 63.172070598113294
66 7918 0.0 61.581636498428175
s 67 0.0 11.517575305474749
t 67 61.609571322371025 0.0
67 10405 0.0 10.724308843793942
67 5741 0.0 15.181898270967332
s 68 0.0 12.276373095783269
t 68 30.307579671948652 0.0
68 7155 0.0 11.037371891729471
68 7926 0.0 5.492115855670299
s 69 0.0 8.202908798031828
t 69 41.12486796450147 0.0
69 3909 0.0 10.497328825206289
69 5639 0.0 11.24740371072851
s 70 0.0 5.6989123473820475
t 70 16.874585967014053 0.0
70 8576 0.0 6.676270620655783
70 3145 0.0 6.474250737229509
s 71 0.0 3.647699279214088
t 71 4.4255341287414325 0.0
71 11876 0.0 3.560170001282666
71 4523 0.0 2.640952978574328
t 72 227.9341528983266 0.0
72 5445 0.0 22.398900030366267
72 1163 0.0 26.232316899347868
72 1327 0.0 21.17588525736698
s 73 0.0 5.415250712642122
t 73 84.47525399637817 0.0
73 5235 0.0 32.24717826281452
73 10586 0.0 34.02244360199457
s 74 0.0 10.035517854216982
t 74 57.69319685595501 0.0
74 1137 0.0 20.77171693275944
74 11241 0.0 29.654512835542327
t 75 574.2382755531187 0.0
75 3601 0.0 37.571070383743
75 2485 0.0 30.667623082370202
75 11302 0.0 50.37442156654077
s 76 0.0 21.328928184341926
t 76 104.44133417478866 0.0
76 8561 0.0 21.804542468153112
76 9691 0.0 9.96613039551397
s 77 0.0 15.849206753959493
t 77 453.3948632978422 0.0
77 8902 0.0 60.13874961188746
77 359 0.0 57.27623607366278
s 78 0.0 7.984623442820151
t 78 27.07052279688569 0.0
78 4024 0.0 38.462625520028375
78 729 0.0 30.635414037264685
s 79 0.0 6.473321274128005
t 79 13.094965098224103 0.0
79 3378 0.0 5.46851194635582
79 602 0.0 4.916937337493555
s 80 0.0 12.112065183038544
t 80 206.41639901891776 0.0
80 576 0.0 37.43345025676138
80 6142 0.0 34.25005174407849
s 81 0.0 11.930773412514611
t 81 47.28962283576789 0.0
81 9776 0.0 7.936184406055298
81 2805 0.0 14.01379134761021
s 82 0.0 11.418469702898683
t 82 128.79362303491234 0.0
82 8701 0.0 33.10924068350232
82 1166 0.0 25.945261788554618
t 83 104.09927992359658 0.0
83 8038 0.0 9.735851236617656
83 8823 0.0 21.390560017070115
83 2943 0.0 23.707926932111754
s 84 0.0 9.609062604515865
t 84 42.36711437171306 0.0
84 2784 0.0 8.842950829259681
84 1185 0.0 12.56243674052283
t 85 135.75830057216476 0.0
