c #vertices #edges weightDimension idOffset
mincutGraph 7 6 2 587
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 1680 0.0 6.533310019415596
t 1680 12.837881135226562 0.0
1680 2138 0.0 5.132021564109476
1680 3645 0.0 5.088826605323809
s 3952 0.0 3.2014647071295617
t 3952 4.1931285852665825 0.0
3952 6173 0.0 4.224665283115806
s 1714 0.0 5.458195947013526
t 1714 3.2485395321078334 0.0
1714 5493 0.0 4.101025294497307
s 5493 0.0 3.5374016908518326
t 5493 5.6050740636194325 0.0
s 2138 0.0 6.77056799541068
t 2138 5.655755286531676 0.0
t 3645 3.828077231125097 0.0
3645 3952 0.0 2.6219445167630617
3645 5493 0.0 3.3039187922983326
s 6173 0.0 6.806691613677424
t 6173 5.420333800985899 0.0
