c #vertices #edges weightDimension idOffset
mincutGraph 14 13 2 4883
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 2752 0.0 1.8226830761339814
t 2752 1.0381792486878298 0.0
2752 33002 0.0 1.2409061025198755
2752 56989 0.0 1.751650516091671
s 21794 0.0 2.971081796025275
t 21794 1.0519374707478726 0.0
s 59714 0.0 2.042025949623589
t 59714 1.3030843684710618 0.0
s 4966 0.0 2.7393084560023464
t 4966 0.9074217553602812 0.0
4966 54313 0.0 1.9831451132329874
s 54313 0.0 1.9239333590635703
t 54313 1.0869610480817562 0.0
s 33002 0.0 1.8192191863592384
t 33002 1.0342370149919202 0.0
s 47446 0.0 1.8055856743873142
t 47446 1.0911133691562225 0.0
s 24760 0.0 2.01705793360762
t 24760 1.2714133465565685 0.0
24760 59714 0.0 1.5657222718404324
24760 36988 0.0 1.6655627489047924
s 6778 0.0 1.6163678841776996
t 6778 0.9142283578407909 0.0
6778 54313 0.0 1.1676025000492956
6778 33002 0.0 1.7438309232616394
s 6779 0.0 2.5523127462054322
t 6779 1.5265094990439536 0.0
6779 21794 0.0 2.17090088064939
6779 47446 0.0 1.4069346189586314
s 36988 0.0 1.9871559032466137
t 36988 1.2339964326854767 0.0
36988 45183 0.0 1.5206216746613002
s 56989 0.0 2.098407102082478
t 56989 1.376035114079826 0.0
s 45183 0.0 1.963001313391275
t 45183 1.2041794235469054 0.0
45183 47446 0.0 1.6243975076869503
s 46911 0.0 2.072607184759777
t 46911 1.3424064195011978 0.0
46911 59714 0.0 1.7079701923608517
46911 56989 0.0 1.611993162883985
