c #vertices #edges weightDimension idOffset
mincutGraph 2980 3325 2 361
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 283.79280067324015 0.0
0 2534 0.0 31.487821028540182
0 2119 0.0 34.975910255745305
0 861 0.0 18.089080804971847
s 1 0.0 0.005593466873605362
t 1 3.613447527347775E-6 0.0
1 634 0.0 0.003562868333995071
s 2 0.0 11.17618017762336
t 2 183.71194343055308 0.0
2 2390 0.0 33.51506260948458
2 2894 0.0 33.20433334088315
s 3 0.0 1.7665423243983736
t 3 0.18970490736973647 0.0
3 2082 0.0 1.5359939385046137
s 4 0.0 6.773321095475017
t 4 30.514284594121303 0.0
4 1030 0.0 11.579012960132104
4 1687 0.0 16.68744822953046
s 5 0.0 12.05750918630181
t 5 85.9210833027866 0.0
5 888 0.0 19.334847922566308
5 2605 0.0 14.287516009344705
s 6 0.0 12.16964131286346
t 6 355.36365238836333 0.0
6 2304 0.0 58.58973423360958
6 2940 0.0 58.87859605294461
t 7 378.8165354738926 0.0
7 853 0.0 36.731796424771346
7 2422 0.0 40.80239823890651
7 487 0.0 20.68250543921113
t 8 57.63702281712268 0.0
8 2887 0.0 17.9837780653642
8 187 0.0 9.698827734985294
8 1054 0.0 12.477330874169935
t 9 36.495172328635135 0.0
9 34 0.0 9.754894738440502
9 2402 0.0 7.737220831351779
9 783 0.0 10.798319286543705
t 10 10.352395920091237 0.0
10 1185 0.0 2.1815479308204297
10 1462 0.0 9.667963864921118
10 2127 0.0 9.496944628724387
t 11 272.1191709198712 0.0
11 2550 0.0 19.447882245157675
11 217 0.0 28.29788807270393
11 697 0.0 31.86886157037636
s 12 0.0 10.883913679668694
t 12 24.470475375893336 0.0
12 2835 0.0 16.330504008168806
12 111 0.0 6.5883927574367895
s 13 0.0 15.679042520348434
t 13 285.7495423135093 0.0
13 2450 0.0 41.982566164228494
13 2601 0.0 36.81221001399349
s 14 0.0 6.283605827550316
t 14 3.803182473781374 0.0
14 1706 0.0 4.9264821432889745
s 15 0.0 12.433940224520775
t 15 63.56889058248971 0.0
15 693 0.0 10.693611871302458
15 2103 0.0 13.823947024429758
s 16 0.0 8.612296459778221
t 16 21.601579620748197 0.0
16 450 0.0 6.589080272058518
16 1749 0.0 6.6333785629385345
s 17 0.0 1.7291386710058527
t 17 1.4988201281633238 0.0
17 1748 0.0 1.738945468985886
17 1997 0.0 2.3543198115637267
s 18 0.0 8.512545122670378
t 18 58.60570983724443 0.0
18 2104 0.0 14.536864046445174
18 1323 0.0 14.297702661135412
s 19 0.0 2.8416557422802047
t 19 1.4991595847659556 0.0
19 2257 0.0 1.055291495869367
19 1850 0.0 3.013977896085605
t 20 581.6352582427331 0.0
20 1251 0.0 41.8552510271195
20 116 0.0 35.73104608383728
20 405 0.0 33.89342089852939
s 21 0.0 5.4048852781596795
t 21 9.128995272246877 0.0
21 2643 0.0 3.712856294771661
21 662 0.0 5.132486370591322
s 22 0.0 15.012495504126134
t 22 0.982350683208491 0.0
22 269 0.0 14.881909602241507
t 23 115.56734504384369 0.0
23 1590 0.0 17.519234375631672
23 1562 0.0 19.165925111414392
23 2766 0.0 13.680024375083253
s 24 0.0 7.630320115149485
t 24 73.80683290506096 0.0
24 2464 0.0 19.545814615124783
24 1487 0.0 21.97355684924072
t 25 90.94910854041235 0.0
25 706 0.0 11.77028415033877
