c #vertices #edges weightDimension idOffset
mincutGraph 4399 4970 2 585
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 76.9986624234257 0.0
0 697 0.0 24.15608309439105
0 1487 0.0 6.519816866015415
0 2415 0.0 26.306323647833175
s 1 0.0 5.036568384425289
t 1 8.704030440061265 0.0
1 1700 0.0 4.41153270713177
1 1483 0.0 4.1489701013242755
s 2 0.0 12.178225105584579
t 2 66.72718347302953 0.0
2 2844 0.0 11.545342911278093
2 1710 0.0 13.8955958248023
t 3 217.13427505721052 0.0
3 1553 0.0 47.82189140901295
3 676 0.0 10.545398959215385
3 4124 0.0 43.420968626446594
s 4 0.0 5.259764714624601
t 4 9.313905247051371 0.0
4 753 0.0 3.8641852662953324
4 2447 0.0 5.13194677291132
s 5 0.0 10.222663475100436
t 5 0.8108983912697454 0.0
5 1962 0.0 19.61053755068726
5 3565 0.0 9.38857284357086
s 6 0.0 11.225071070782727
t 6 34.1785731300534 0.0
6 2531 0.0 6.118540672294603
6 1990 0.0 12.2520993563187
s 7 0.0 10.46119338134753
t 7 85.3357940707314 0.0
7 1489 0.0 16.59145602582226
7 3604 0.0 17.932588788938478
t 8 451.71906033740163 0.0
8 3409 0.0 35.146147785393616
8 2930 0.0 30.047378359133738
8 1177 0.0 32.31725647081846
s 9 0.0 20.90007329411822
t 9 129.7878789304262 0.0
9 3042 0.0 14.02541103191809
9 650 0.0 30.098155555107557
s 10 0.0 11.892843938231742
t 10 181.15160086686228 0.0
10 2748 0.0 56.7771800229862
10 79 0.0 47.17477401391019
t 11 133.25185281551012 0.0
11 433 0.0 9.625963056412468
11 994 0.0 28.437020343869055
11 3927 0.0 32.0361977883028
t 12 97.68639201869885 0.0
12 322 0.0 19.91980709295016
12 3115 0.0 28.39015133273698
12 2252 0.0 11.89059173701553
s 13 0.0 2.2693231518865398
t 13 2.017305895740102 0.0
13 1105 0.0 2.8838303005596746
13 3518 0.0 1.7778925895158253
s 14 0.0 11.226143937078959
t 14 52.52669237092139 0.0
14 1033 0.0 9.57823512470312
14 2873 0.0 13.111434720317426
s 15 0.0 28.768210446070604
t 15 69.81997904206489 0.0
15 2143 0.0 23.394853615230794
s 16 0.0 15.090354335556773
t 16 161.44896980316366 0.0
16 3184 0.0 21.76790514697201
16 2004 0.0 24.101921673707324
s 17 0.0 17.899944759620652
t 17 138.87054519981345 0.0
17 956 0.0 18.261353020650482
17 2814 0.0 17.58298594223171
t 18 313.96930190908375 0.0
18 1954 0.0 109.32303269117814
18 1942 0.0 92.0181685984281
18 1004 0.0 18.40362034142254
s 19 0.0 9.958265819685005
t 19 36.66408124549255 0.0
19 3776 0.0 11.294267351960814
19 4279 0.0 19.932102164579703
s 20 0.0 9.666720627943175
t 20 30.397196976459362 0.0
20 4132 0.0 16.365371403919074
20 1102 0.0 8.31669162889093
s 21 0.0 3.772145374964066
t 21 16.874939327662723 0.0
21 2762 0.0 12.789523026173974
21 3679 0.0 10.433309339256763
t 22 144.0876618298135 0.0
22 501 0.0 21.40905038304955
22 2325 0.0 15.82449961704695
22 1628 0.0 18.774794086740055
s 23 0.0 9.023896060128383
t 23 76.16398952995578 0.0
23 3684 0.0 20.060880337887042
23 1016 0.0 16.977833248910738
s 24 0.0 13.476298917692318
t 24 21.380535420843266 0.0
24 1753 0.0 9.81440017509512
s 25 0.0 14.187035083770771
t 25 177.02420779797015 0.0
25 183 0.0 26.75720910710048
25 1708 0.0 25.364516959966775
s 26 0.0 7.620524467230389
t 26 21.381486060303327 0.0
26 3168 0.0 6.241062572573823
26 4209 0.0 7.442555549721273
t 27 45.85186006861738 0.0
27 880 0.0 13.030399827800203
27 4064 0.0 7.137966611587965
27 3906 0.0 13.772011873282304
s 28 0.0 14.589012963629216
t 28 128.24067295767233 0.0
28 3276 0.0 18.967366450932122
28 4028 0.0 27.934505980799905
s 29 0.0 5.096922736584688
t 29 8.636138683209753 0.0
29 65 0.0 6.6214394608343925
29 2523 0.0 3.440024628192345
s 30 0.0 14.16209655911569
t 30 291.7023235013077 0.0
30 1911 0.0 41.63115416753639
30 924 0.0 45.869356767848664
s 31 0.0 10.75953128730178
t 31 126.06368355849867 0.0
31 3010 0.0 23.74071492560907
31 3446 0.0 24.441615753427183
s 32 0.0 7.981110322154719
t 32 52.55833390298072 0.0
32 2739 0.0 13.563312970273989
32 2040 0.0 17.302505142277703
s 33 0.0 10.829275384516826
t 33 93.78316123005216 0.0
33 2037 0.0 17.362887621235064
33 1564 0.0 21.09656599129022
t 34 162.29578429683662 0.0
34 1863 0.0 29.73618490843936
34 1256 0.0 12.923209382110185
34 1704 0.0 25.29484597985242
s 35 0.0 10.826805023093273
t 35 71.32750981247322 0.0
35 1356 0.0 15.595029048450478
35 3052 0.0 13.408274638576213
s 36 0.0 9.483344141595417
t 36 11.197902419244205 0.0
36 2540 0.0 2.4110868977712907
36 749 0.0 9.302094460842728
s 37 0.0 10.26803893885302
t 37 71.72233172064541 0.0
37 2355 0.0 19.854777743948535
37 748 0.0 14.488297782346551
s 38 0.0 5.419689588576302
t 38 9.37353784562187 0.0
38 2107 0.0 3.799269925186279
38 2959 0.0 5.174406409279008
s 39 0.0 9.112300501566477
t 39 2.101219306324733 0.0
39 333 0.0 8.747164756908875
s 40 0.0 7.197274623110746
t 40 53.43575528451449 0.0
40 4150 0.0 15.34275659436288
40 2056 0.0 18.514446083120973
s 41 0.0 13.164610209886037
t 41 99.28126145806058 0.0
41 1921 0.0 15.085137799502549
41 3985 0.0 19.856143174121588
s 42 0.0 10.640539789626136
t 42 8.494693462561681 0.0
42 389 0.0 11.141151199793573
42 280 0.0 1.642569495583877
t 43 346.03696159746283 0.0
43 305 0.0 20.846326698211723
43 3018 0.0 34.309312434878905
43 2428 0.0 44.41491626944563
t 44 323.58820094614276 0.0
44 2593 0.0 27.560741295692566
44 227 0.0 32.02928482483804
44 887 0.0 24.18229752180095
t 45 245.19288771390435 0.0
45 4068 0.0 31.59989150311986
45 3021 0.0 31.61807331610842
45 4287 0.0 16.038917876929084
s 46 0.0 11.245510748362356
t 46 250.13079294675236 0.0
46 1334 0.0 46.70676459763951
46 4367 0.0 44.585622944884534
s 47 0.0 8.124724861482084
t 47 23.531018510622573 0.0
47 1690 0.0 5.847617668271374
47 3902 0.0 9.33723655329093
s 48 0.0 9.308819056447765
t 48 269.67896018481815 0.0
48 1075 0.0 67.65389440212152
48 2695 0.0 63.35165544284248
s 49 0.0 9.272802683621324
t 49 31.92944769198174 0.0
49 2617 0.0 8.107405449648681
49 2974 0.0 15.200589424316883
s 50 0.0 7.865651271239587
t 50 64.11785415423677 0.0
50 152 0.0 26.178840965348027
50 492 0.0 20.615108404220386
s 51 0.0 15.71586988877599
t 51 94.57997655117518 0.0
51 1340 0.0 13.665073924166798
51 3070 0.0 15.177411830907614
s 52 0.0 13.025132479211232
t 52 161.930304385678 0.0
52 725 0.0 26.539403259567134
52 87 0.0 25.14484435407903
t 53 515.9925388314624 0.0
53 4279 0.0 36.79746473317519
53 2906 0.0 47.40615251372828
53 4271 0.0 28.081094403608663
s 54 0.0 10.634911577943317
t 54 206.9202417816046 0.0
54 3828 0.0 41.46535243957914
54 1342 0.0 39.087691808103145
s 55 0.0 5.354892367275757
t 55 8.960897583231114 0.0
55 434 0.0 3.5759984520747548
55 548 0.0 5.288891795443889
t 56 581.3315001752668 0.0
56 2913 0.0 31.833999349002045
56 2050 0.0 41.995940525520346
56 1467 0.0 38.1732152640553
s 57 0.0 12.629810043336938
t 57 167.02720830775365 0.0
57 2071 0.0 28.06604650088999
57 2233 0.0 26.647715270172522
s 58 0.0 16.552991400537298
t 58 285.2710677616086 0.0
58 1978 0.0 35.8598146718511
58 572 0.0 35.10478808995362
s 59 0.0 6.680338845842424
t 59 26.55739091121146 0.0
59 3281 0.0 12.872655184573414
59 2606 0.0 8.664489188294024
s 60 0.0 2.6920826820567427
t 60 2.264784114393438 0.0
60 2995 0.0 2.812153514019928
60 490 0.0 1.7388319097935794
s 61 0.0 16.826623545734968
t 61 171.42986041605536 0.0
61 872 0.0 24.104541953876673
61 1437 0.0 20.75507067612284
s 62 0.0 12.02315499097845
t 62 152.2871884088812 0.0
62 3013 0.0 27.540033464420745
62 3573 0.0 34.09995371570803
s 63 0.0 8.906931819226804
t 63 6.7949784571644525 0.0
63 3355 0.0 7.232572248734249
s 64 0.0 10.039707775685
t 64 34.42201116534487 0.0
64 2355 0.0 7.775943333903166
64 1767 0.0 9.361434674042632
s 65 0.0 10.389466309214214
t 65 29.550192487387335 0.0
65 1991 0.0 14.906436614996087
t 66 290.9124483405311 0.0
66 3282 0.0 22.705787164642043
66 2777 0.0 31.721776266564365
66 2637 0.0 25.93587937687423
s 67 0.0 16.3200695048171
t 67 32.77879350616255 0.0
67 1897 0.0 11.63337038654882
s 68 0.0 11.279725398618453
t 68 57.17599131878251 0.0
68 4144 0.0 10.160938641758692
68 898 0.0 14.663812555587187
s 69 0.0 12.620812438072695
t 69 178.05961524436424 0.0
69 1057 0.0 30.57626598147052
69 2385 0.0 28.22941019144192
s 70 0.0 9.094021100878788
t 70 77.95824190310566 0.0
70 744 0.0 17.289622160845184
70 779 0.0 18.467163650918014
s 71 0.0 8.815914654168884
t 71 24.28760974802499 0.0
71 2354 0.0 5.68806635918655
71 3180 0.0 9.228924427674588
s 72 0.0 5.904852543706781
t 72 48.85017194929692 0.0
72 1413 0.0 16.747322258594533
72 2150 0.0 16.87448045718508
s 73 0.0 13.688862818986514
