c #vertices #edges weightDimension idOffset
mincutGraph 10129 11377 2 1270
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 20.23506948689426
t 0 276.1598787098984 0.0
0 1622 0.0 28.206514452586294
0 9851 0.0 38.63793625687734
t 1 420.4096981487169 0.0
1 5587 0.0 22.81848373552129
1 9940 0.0 38.63577747603136
1 316 0.0 38.513366407197445
s 2 0.0 13.682679371703138
t 2 386.31178137838094 0.0
2 1074 0.0 75.51359071627991
2 8836 0.0 67.21229549125158
t 3 361.67383814430013 0.0
3 7795 0.0 36.938364660250066
3 711 0.0 38.33906959077859
3 5756 0.0 19.982452583109495
s 4 0.0 7.731796976188281
t 4 97.78802056779634 0.0
4 7171 0.0 25.381449774841833
4 2249 0.0 25.91597803558332
s 5 0.0 29.225830010908396
t 5 628.6644186819278 0.0
5 7729 0.0 44.77802797581777
5 3667 0.0 46.18723598514104
s 6 0.0 9.275393989122215
t 6 64.44808600139999 0.0
6 9011 0.0 14.455833878526244
6 356 0.0 14.870593376369332
s 7 0.0 6.731465371991051
t 7 47.899385377914555 0.0
7 2926 0.0 14.914127973162921
7 3855 0.0 14.411543898149443
s 8 0.0 15.009530267539281
t 8 62.30638108217816 0.0
8 6442 0.0 14.938380307180118
8 9166 0.0 8.697058598724471
s 9 0.0 12.167669446771518
t 9 126.63467845293489 0.0
9 4154 0.0 20.821626104586414
9 7919 0.0 24.38090327167785
s 10 0.0 15.157344340941325
t 10 100.57014821508244 0.0
10 7843 0.0 13.284951269243109
10 5722 0.0 20.621292714702847
s 11 0.0 11.027712124397983
t 11 71.48665969344793 0.0
11 5298 0.0 16.74872490677916
11 6906 0.0 12.97185565505132
s 12 0.0 9.377075183694048
t 12 28.38853628120441 0.0
12 1714 0.0 14.46000601391149
12 963 0.0 7.124292477686859
t 13 12.934388164055543 0.0
13 7492 0.0 12.969579417741823
13 9885 0.0 15.15814277320315
13 9997 0.0 2.865064920533124
s 14 0.0 24.14145838339509
t 14 61.77203164740679 0.0
14 8039 0.0 5.4238293380685985
14 9262 0.0 26.438424081192316
t 15 37.358996064489794 0.0
15 3536 0.0 16.18603839121446
15 535 0.0 4.783089488361524
15 1479 0.0 18.03913326332572
s 16 0.0 10.062324788259746
t 16 136.33481735972944 0.0
16 3140 0.0 29.85985732540259
16 7670 0.0 27.21130631845544
s 17 0.0 9.998345466198312
t 17 8.040041183694239 0.0
17 6736 0.0 2.0749121814816935
17 2170 0.0 11.423124916300646
s 18 0.0 13.806577276256766
t 18 84.75519107662616 0.0
18 8803 0.0 19.417837639712822
18 8116 0.0 12.339687852890464
t 19 356.8265692302301 0.0
19 2048 0.0 42.51117294077141
19 2193 0.0 35.14649349229182
19 4415 0.0 20.424141200351656
s 20 0.0 10.10291677390065
t 20 144.66598722168658 0.0
20 2116 0.0 28.69787546196152
20 678 0.0 29.805077758387974
s 21 0.0 3.0356201079992395
t 21 39.06430645625363 0.0
21 4151 0.0 45.88682976630544
21 5259 0.0 43.4070668126935
s 22 0.0 10.489967669885548
t 22 183.16424101966697 0.0
22 3524 0.0 45.39899514739857
22 6151 0.0 39.528417632380716
t 23 237.62116489302704 0.0
23 3763 0.0 30.350543586122328
23 6371 0.0 16.83375793835529
23 4917 0.0 28.799607077174834
s 24 0.0 9.478708940847351
t 24 25.16366718467348 0.0
24 2753 0.0 6.216285063908417
24 4975 0.0 8.197670011576278
s 25 0.0 13.758292751807351
t 25 49.788077472928855 0.0
25 1511 0.0 12.279142233161133
25 842 0.0 8.192600061621908
s 26 0.0 4.690144262067159
t 26 7.13939507036382 0.0
26 7653 0.0 3.0444316116396917
26 1736 0.0 5.5971158131933825
s 27 0.0 13.7626842563254
t 27 139.06096483789406 0.0
27 9204 0.0 28.31814212191236
27 1223 0.0 21.101812589390217
