c #vertices #edges weightDimension idOffset
mincutGraph 4520 5015 2 513
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 13.246893821743633
t 0 117.59195561260424 0.0
0 802 0.0 20.465527295183854
0 1394 0.0 18.016799288626203
s 1 0.0 3.488928299968798
t 1 5.046110030265389 0.0
1 3697 0.0 3.1549122049295044
1 4024 0.0 3.6521450255579486
s 2 0.0 10.850996099848341
t 2 66.07526851120511 0.0
2 2595 0.0 18.173899705656563
2 3135 0.0 12.461227712318266
t 3 49.24110650812443 0.0
3 3990 0.0 13.71265458331299
3 618 0.0 13.900190742684574
3 2123 0.0 7.406798081270856
s 4 0.0 12.592740330015166
t 4 2023.3368712544443 0.0
4 1648 0.0 554.9940757443325
4 1842 0.0 565.3081765396115
t 5 326.0363448883932 0.0
5 4305 0.0 25.296226946512693
5 2356 0.0 25.909834594399307
5 2630 0.0 34.33491222079277
s 6 0.0 9.520961712904223
t 6 136.13200977777066 0.0
6 1172 0.0 28.774587366394424
6 1679 0.0 29.28687481054061
s 7 0.0 9.564595552913499
t 7 99.17886956143005 0.0
7 1288 0.0 22.156540391411298
7 1980 0.0 20.813812034690535
t 8 138.83505595778783 0.0
8 1229 0.0 15.046098928484238
8 2607 0.0 19.380692794792516
8 2927 0.0 20.588144638304243
s 9 0.0 9.835100887230439
t 9 31.269408075467616 0.0
9 3625 0.0 6.678306384440914
9 3705 0.0 10.058796504669601
s 10 0.0 3.3441727121152134
t 10 13.461256925946602 0.0
10 3322 0.0 8.175417654775947
10 3484 0.0 8.276571397039868
s 11 0.0 11.932172956807218
t 11 145.7733026754015 0.0
11 661 0.0 24.43392185477646
11 218 0.0 27.141692791666046
s 12 0.0 15.418626435082778
t 12 174.5038756293825 0.0
12 3942 0.0 22.722950414863853
12 2631 0.0 26.317998158209146
s 13 0.0 5.3542149957030185
t 13 2.1817909113427207 0.0
13 1359 0.0 4.47882612781238
s 14 0.0 7.921164674707904
t 14 19.60776556237019 0.0
14 465 0.0 6.316908188933215
14 501 0.0 6.363274651347441
t 15 70.68303033515056 0.0
15 464 0.0 27.661252626922774
15 2536 0.0 5.680787096515131
