c #vertices #edges weightDimension idOffset
mincutGraph 5 4 2 8517
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 70512 0.0 20.581628404519574
t 70512 33.37599854650398 0.0
s 67282 0.0 22.297791794312452
t 67282 61.95474647117742 0.0
s 49717 0.0 12.553364543162951
t 49717 18.172944551288396 0.0
s 41162 0.0 10.539437120986099
t 41162 41.94323019352595 0.0
41162 49717 0.0 9.229961577783634
41162 61967 0.0 9.887326816129116
t 61967 77.19908124647381 0.0
61967 70512 0.0 17.028620772713133
61967 67282 0.0 15.919718289944697
