c #vertices #edges weightDimension idOffset
mincutGraph 21 20 2 484
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 3108 0.0 1.0808650540610973
t 3108 0.7948255239439597 0.0
s 5702 0.0 6.718860026643117
t 5702 32.52945629097686 0.0
s 2344 0.0 4.228614643606176
t 2344 0.7229999024941455 0.0
2344 3863 0.0 3.876387878910399
s 6152 0.0 18.98992218361622
t 6152 32.20508641409961 0.0
s 6732 0.0 7.248243956904829
t 6732 0.4955939251629917 0.0
s 237 0.0 1.0814062677396774
t 237 1.6039383912683811 0.0
237 3088 0.0 4.029452141415751
237 3108 0.0 4.827431797193371
s 1069 0.0 1.0657723569258413
t 1069 0.2561241663202054 68.65786307243437
s 1295 0.0 20.61346143047298
t 1295 31.834031032748264 0.0
1295 4856 0.0 17.193823335592914
s 3088 0.0 4.839651687828358
t 3088 2.0430789340178457 0.0
s 7057 0.0 12.357642721106227
t 7057 18.92919171646007 0.0
s 6803 0.0 8.623290342536576
t 6803 5.505075262498237 0.0
t 5492 232.06532818872626 0.0
5492 6152 0.0 15.228744865340145
t 821 16.88811732597992 0.0
821 3108 0.0 5.866163841727808
821 2588 0.0 61.7492977791517
821 1069 0.0 67.59211724236168
s 55 0.0 6.223388820418614
t 55 13.543562363021895 0.0
55 5702 0.0 10.648246920018472
55 1567 0.0 5.581836950263457
t 1303 226.16831165300715 0.0
1303 5492 0.0 36.206003782396635
1303 5702 0.0 14.76672489266263
1303 4856 0.0 30.965992066415886
t 3863 10.710819800847569 0.0
3863 6523 0.0 5.535444765110565
t 4856 210.97127680158619 0.0
s 474 0.0 23.743885588202257
t 474 84.42906489519424 0.0
474 4856 0.0 24.598597438269227
474 6732 0.0 7.114339944110869
s 6523 0.0 7.064780400067992
t 6523 19.53332665174034 0.0
6523 7057 0.0 8.775733866197415
s 2588 0.0 17.520878551141372
t 2588 217.11537455117016 0.0
2588 5492 0.0 46.2394163668052
t 1567 18.171660051148997 0.0
1567 6803 0.0 7.247276751173172
1567 3863 0.0 6.938923180256707
