c #vertices #edges weightDimension idOffset
mincutGraph 15865 17321 2 1483
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 16.162280911541373
t 0 20.928697411565526 0.0
0 2992 0.0 13.318064807181381
s 1 0.0 3.0864856592299272
t 1 1.9271150235351904 0.0
1 6176 0.0 16.640984947129972
1 11808 0.0 13.565179014093445
s 2 0.0 4.453005424297157
t 2 97.62525539656667 0.0
2 3425 0.0 47.10143047806265
2 5954 0.0 45.66345221946054
s 3 0.0 6.922466165372015
t 3 82.59512667371907 0.0
3 3130 0.0 25.546304691634454
3 11706 0.0 28.75413486634746
s 4 0.0 2.9483875191257956
t 4 5.801219006190674 0.0
4 5143 0.0 11.860200508247855
4 8183 0.0 9.13139010834397
s 5 0.0 2.6886524869977175
t 5 24.007742980069224 0.0
5 14224 0.0 19.458063272152515
5 10877 0.0 18.55535452053116
s 6 0.0 7.714212607677975
t 6 39.604650482450175 0.0
6 3541 0.0 10.601327424033308
6 13417 0.0 14.580509548762976
t 7 16.155315072945843 0.0
7 11715 0.0 12.978882560286541
7 7910 0.0 2.74458056834528
7 4377 0.0 12.082607220446949
t 8 262.1027069635683 0.0
8 3681 0.0 30.56022014331563
8 3324 0.0 62.77578069773998
8 5133 0.0 92.55049417485714
s 9 0.0 2.3902314753693004
t 9 18.794985815250886 0.0
9 15028 0.0 24.387694558621465
9 6565 0.0 26.259837246248704
s 10 0.0 15.780932767277044
t 10 31.123216191256002 0.0
10 2622 0.0 11.147388578034342
s 11 0.0 15.856709289630754
t 11 88.06763498350752 0.0
11 15109 0.0 17.28479311001322
11 15499 0.0 11.411287995270401
t 12 231.30576729943562 0.0
12 8406 0.0 24.872701137145754
12 7885 0.0 30.54306202676091
12 11182 0.0 18.61037093252221
s 13 0.0 8.864113117850227
t 13 19.028905860972436 0.0
13 9649 0.0 4.417978761122733
13 13173 0.0 10.796032561263289
s 14 0.0 5.142278888258327
t 14 12.442917324400876 0.0
14 5153 0.0 7.665791997746524
14 15214 0.0 12.097518877529296
t 15 98.16174602008174 0.0
15 9296 0.0 21.800434598453826
15 1290 0.0 22.030026270996608
15 14557 0.0 9.163636203200518
t 16 115.90924783846636 0.0
16 4615 0.0 6.995550572846693
16 8327 0.0 34.344895130580916
16 8920 0.0 33.20005962855018
s 17 0.0 1.7090922676767364
t 17 0.9552107838349955 0.0
17 2707 0.0 1.3739575093215133
17 2182 0.0 1.4414835864303432
s 18 0.0 5.215796864090402
t 18 3.241457748550062 0.0
18 8188 0.0 3.766756674313738
s 19 0.0 10.215472113487074
t 19 12.057160593213549 0.0
19 9798 0.0 2.3630067266728765
19 3325 0.0 10.380127259078082
s 20 0.0 7.7959583775727594
t 20 93.55619169548285 0.0
20 15073 0.0 27.874483372565667
20 15281 0.0 24.834436455347817
s 21 0.0 11.53478227732364
t 21 104.42713560941085 0.0
21 759 0.0 18.29718718783763
21 3849 0.0 20.175552824164868
s 22 0.0 5.372721533458909
t 22 41.75922494336772 0.0
22 12465 0.0 15.583384737378111
22 12421 0.0 16.83651361274243
t 23 1.789144484129126 0.0
23 5861 0.0 8.452358628238976
23 4983 0.0 8.252048282619599
23 15210 0.0 0.4730953071015698
t 24 113.88189264900377 0.0
24 10626 0.0 18.15103030105239
24 8851 0.0 15.383195509264011
24 313 0.0 15.590618173335917
s 25 0.0 10.124790402944193
t 25 134.02474931852657 0.0
25 10331 0.0 30.85804611802198
25 12364 0.0 27.08717047005367
t 26 2884.4928336495714 0.0
26 336 0.0 105.71378744121192
26 6385 0.0 79.77650991754945
26 7855 0.0 172.7510399449244
s 27 0.0 10.640361253016303
t 27 27.109397307761075 0.0
27 10308 0.0 11.684115443525418
27 341 0.0 5.097133785072573
s 28 0.0 9.229591948739616
t 28 16.194416917355234 0.0
28 10723 0.0 3.7215641637147128
28 9465 0.0 8.727154490831323
