c #vertices #edges weightDimension idOffset
mincutGraph 5644 6284 2 662
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 7.511677104386814
t 0 17.44782378834053 0.0
0 67 0.0 8.36913185128062
0 4671 0.0 4.677994166316168
s 1 0.0 10.784521499908163
t 1 14.014303919136438 0.0
1 4485 0.0 7.756716690226834
s 2 0.0 2.047365203271707
t 2 1.5486502870588534 0.0
2 970 0.0 1.8649549612585525
2 140 0.0 1.7899771179622195
s 3 0.0 13.590522139532823
t 3 173.30763707839904 0.0
3 1168 0.0 25.70641006882715
3 4542 0.0 27.53274850936943
s 4 0.0 7.112810750971182
t 4 16.566117978009924 0.0
4 293 0.0 4.7728885966221375
4 2750 0.0 7.653217045054478
s 5 0.0 9.461461413042558
t 5 101.70620097456911 0.0
5 2597 0.0 21.529510448048168
5 986 0.0 23.972984944208644
s 6 0.0 6.133382585961758
t 6 46.52338297810674 0.0
6 5246 0.0 19.429686368754044
6 5247 0.0 16.316213249363496
t 7 16.13109034107136 0.0
7 2593 0.0 1.9792957677998122
7 1363 0.0 17.726933959315236
7 3304 0.0 17.04630196862478
s 8 0.0 13.461685945036649
t 8 77.63904590120521 0.0
8 5480 0.0 11.651394815759682
8 524 0.0 19.00621073972853
s 9 0.0 1.032535822664797
t 9 0.33316569534535534 0.0
9 441 0.0 0.7454891440429392
9 2265 0.0 0.9225767188794238
t 10 71.48498056470162 0.0
10 4473 0.0 10.452413801417128
10 445 0.0 13.775569764935558
10 4974 0.0 18.253832590369555
t 11 545.0180513887193 0.0
11 4625 0.0 48.28882223288046
11 4635 0.0 48.30679780325636
11 1279 0.0 23.25284522436558
s 12 0.0 2.5830207402186254
t 12 2.084998794994613 0.0
12 2290 0.0 1.8002825281395134
12 3566 0.0 2.4077179100934196
t 13 36.30948055241629 0.0
13 102 0.0 6.524922601850092
13 3561 0.0 13.024332710656658
13 3230 0.0 11.132068286015961
s 14 0.0 6.863208535850784
t 14 9.884708938140168 0.0
14 868 0.0 7.4431758056172805
14 4908 0.0 2.880492086611158
s 15 0.0 2.3101084992536656
t 15 39.35978173648334 0.0
15 4470 0.0 36.0435581645856
15 4199 0.0 36.86110620902706
s 16 0.0 10.76783295659051
t 16 14.483393278284765 0.0
16 3902 0.0 7.621633920645993
s 17 0.0 7.712125189370562
t 17 20.339363470851996 0.0
17 2740 0.0 5.274956971282313
17 1549 0.0 9.3907460572716
t 18 120.62879527127751 0.0
18 1125 0.0 5.6328993180978735
18 726 0.0 47.575814840427455
18 359 0.0 45.40744063644828
t 19 61.73688106246226 0.0
19 1984 0.0 15.989241326661132
19 1713 0.0 14.870743997490814
19 5094 0.0 8.390319235027173
t 20 10.141449919876424 0.0
20 3267 0.0 3.575653664363003
20 3690 0.0 5.679895677823523
20 2411 0.0 6.8642899369214705
s 21 0.0 11.390842736339565
t 21 47.5935118444743 0.0
21 2533 0.0 13.353346220283006
21 454 0.0 8.41318448130203
s 22 0.0 9.427221301301518
t 22 51.28921395981309 0.0
22 1866 0.0 20.66969477136489
22 4458 0.0 13.592818441503407
s 23 0.0 11.216903342236968
t 23 16.12415387886397 0.0
23 1797 0.0 11.577033146139957
23 1083 0.0 2.8749753152389017
s 24 0.0 8.587232058618254
t 24 51.69737072241597 0.0
24 1254 0.0 15.737384740150754
24 3404 0.0 12.139422565026239
s 25 0.0 8.603268784089076
t 25 74.92020979783891 0.0
25 3783 0.0 18.040273782297422
25 5387 0.0 17.84823059910281
s 26 0.0 3.3613778337075755
t 26 37.190016705755426 0.0
26 4976 0.0 27.88528757704309
26 438 0.0 30.04940525953723
s 27 0.0 12.888992082869795
t 27 45.178257828364124 0.0
27 375 0.0 7.151202468867571
27 4236 0.0 13.448433252560038
s 28 0.0 6.54328228761346
t 28 10.395871371083267 0.0
28 3221 0.0 3.2834633866794896
28 365 0.0 6.539964445752968
s 29 0.0 2.5132294880588723E-5
t 29 7.474895618382778E-11 0.0
29 506 0.0 1.8229741467525254E-5
t 30 2225.5736984150794 0.0
30 2530 0.0 209.9905835311381
30 5442 0.0 21.28404514148385
30 1748 0.0 212.97222581709653
s 31 0.0 12.249228268385584
t 31 48.03389982371581 0.0
31 455 0.0 8.1147284024039
31 1661 0.0 16.33794707263876
s 32 0.0 2.5384331938972684
t 32 2.0136384625711456 0.0
32 960 0.0 1.7270054095224432
32 5018 0.0 2.4417965000807706
s 33 0.0 2.6819080533570925
t 33 8.460680933093343 0.0
33 3049 0.0 7.793291550353154
33 4185 0.0 6.587194512977134
s 34 0.0 13.0645705114022
t 34 16.168431453577668 0.0
34 781 0.0 10.913191840665295
s 35 0.0 6.286729761765396
t 35 11.5135299719317 0.0
35 1259 0.0 4.271382261160729
35 479 0.0 5.489876349327573
t 36 16.54105127849266 0.0
36 1572 0.0 4.760427717922827
36 1686 0.0 7.087484617257652
36 135 0.0 9.281668929827282
s 37 0.0 13.892765278793798
t 37 52.35843543200398 0.0
37 3527 0.0 12.778503251918163
37 2696 0.0 8.341932624147226
t 38 11.349955161520956 0.0
38 1797 0.0 2.881614040658585
38 604 0.0 10.936199506334429
38 1166 0.0 13.100506796155493
s 39 0.0 12.433720550962114
t 39 69.91223311430745 0.0
39 2650 0.0 11.541021359329854
39 317 0.0 14.942267404676036
s 40 0.0 10.803736978788628
t 40 25.32300301691603 0.0
40 2549 0.0 4.935888804258755
40 4621 0.0 10.377772411431309
s 41 0.0 5.370845264563018
t 41 13.683805083068089 0.0
41 4420 0.0 5.217170930085934
41 4319 0.0 6.6360175197538505
s 42 0.0 20.151404547943947
