c #vertices #edges weightDimension idOffset
mincutGraph 11 10 2 825
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 3362 0.0 6.504900770691231
t 3362 4.856111967854025 0.0
3362 8236 0.0 4.704829678964185
s 707 0.0 4.920701573666045
t 707 7.5666574937676225 0.0
707 5043 0.0 4.09513789702266
707 8236 0.0 3.791030233584181
s 5043 0.0 3.9729608368156497
t 5043 6.003812246929975 0.0
5043 10014 0.0 3.2554386022824446
s 12164 0.0 6.894134024086433
t 12164 5.800824428685644 0.0
s 1877 0.0 1.0634981571175164
t 1877 2.517263978522779 0.0
1877 1895 0.0 4.8177155533505545
1877 5375 0.0 4.736944792703138
s 1895 0.0 5.913597552101606
t 1895 2.6769671450561727 0.0
t 8236 8.0167679849344 0.0
s 5549 0.0 9.052308127755321
t 5549 6.636842817428936 0.0
5549 9007 0.0 7.408108264221807
s 10014 0.0 5.260889011084404
t 10014 7.886782446716088 0.0
10014 12164 0.0 4.9931369798607905
t 5375 17.100909155752742 0.0
5375 8236 0.0 7.220439582595564
5375 9007 0.0 8.605167367971484
s 9007 0.0 6.91909310383402
t 9007 24.603483917173957 0.0
