c #vertices #edges weightDimension idOffset
mincutGraph 5 4 2 4915
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 30163 0.0 3.053908276477105
t 30163 0.9882449449756584 0.0
30163 79230 0.0 2.3333122109374824
s 39479 0.0 6.321810193006973
t 39479 4.991732901916798 0.0
s 34312 0.0 5.250309815886018
t 34312 8.543812211327387 0.0
34312 39479 0.0 4.532647498417803
s 1547 0.0 1.1664586233731442
t 1547 1.2636902111591184 0.0
1547 34312 0.0 3.8708792014484588
1547 79230 0.0 2.9767655853548796
s 79230 0.0 3.097580919551374
t 79230 3.267106477879033 0.0
