c #vertices #edges weightDimension idOffset
mincutGraph 36 35 2 1818
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 12546 0.0 0.7007920783315155
t 12546 0.15347173023978264 0.0
12546 17854 0.0 0.48263468790389746
s 4548 0.0 0.3183125237992959
t 4548 0.00848440513738746 0.0
4548 15241 0.0 0.27763650741187346
s 20933 0.0 0.8403343741783806
t 20933 0.22067558131770648 0.0
s 9862 0.0 0.831319076502835
t 9862 0.2159660646763619 0.0
9862 20933 0.0 0.6021122640601023
9862 20233 0.0 0.74009184961038
s 14726 0.0 0.6349597900133789
t 14726 0.12599185480004815 0.0
s 11143 0.0 0.6398770767163373
t 11143 0.12795083535779334 0.0
11143 14726 0.0 0.43056780063188205
s 15241 0.0 0.45025717199769344
t 15241 0.049314482659785164 0.0
s 20233 0.0 0.815300880728531
t 20233 0.20772360187425634 0.0
s 2442 0.0 0.5981329596135511
t 2442 0.11180094907574117 0.0
2442 22683 0.0 0.5924318749764402
2442 17467 0.0 0.3986789739066468
s 7499 0.0 0.5497375739927923
t 7499 0.0944410626606299 0.0
7499 15241 0.0 0.3552463264415606
7499 8492 0.0 0.5737264406897656
s 10381 0.0 0.7374181939168197
t 10381 0.16993299774893217 0.0
10381 12334 0.0 0.5201546325387653
10381 18286 0.0 0.6772860030982644
s 10448 0.0 0.7156662979327789
t 10448 0.16005570291915733 0.0
10448 12546 0.0 0.6632590418334189
10448 18286 0.0 0.5011121628108708
s 21394 0.0 1.3270537021543225
t 21394 0.21419578400366263 0.0
s 12825 0.0 0.8869716017559549
t 12825 0.24636357957710595 0.0
12825 21394 0.0 0.8850198587317085
s 22683 0.0 0.5841873470732892
t 22683 0.10664839270615165 0.0
s 2972 0.0 0.5805413386262869
t 2972 0.10532132680849501 0.0
2972 22683 0.0 0.3836013704732036
2972 20396 0.0 0.5827798127706333
s 16989 0.0 0.8566240477965809
t 16989 0.2293139871364592 0.0
16989 22368 0.0 0.6240976484426727
16989 20933 0.0 0.7575259313690145
s 3231 0.0 0.6740902480833895
t 3231 0.14199926946442037 0.0
3231 5922 0.0 0.6371432524518807
3231 5243 0.0 0.46471864777579236
s 6368 0.0 0.654228395375526
t 6368 0.13375462281807507 0.0
6368 11143 0.0 0.6250368449913497
s 22368 0.0 0.8661298753022212
t 22368 0.23443155026633158 0.0
s 3169 0.0 0.6207565460650946
t 3169 0.12041834034101856 0.0
3169 14726 0.0 0.6135541471693929
s 5922 0.0 0.6595778414059887
t 5922 0.13595091527858844 0.0
5922 6368 0.0 0.4473626735906539
s 4516 0.0 0.7674297885465455
t 4516 0.18404640004938477 0.0
4516 14012 0.0 0.5397676562091942
4516 14271 0.0 0.7073271819911279
s 2475 0.0 0.7910066956171665
t 2475 0.19552862261693718 0.0
2475 15417 0.0 0.7233631783957808
2475 14271 0.0 0.5599586252989435
s 8492 0.0 0.5634761481714752
t 8492 0.09922042791619042 0.0
8492 20396 0.0 0.36911814454015895
s 20396 0.0 0.5667055184757809
t 20396 0.1003609827752521 0.0
s 1198 0.0 0.7537003364932102
t 1198 0.20790489284012592 0.0
1198 22368 0.0 0.7756789180326292
1198 12825 0.0 0.5897525686482463
s 12334 0.0 0.7445487802281378
t 12334 0.1732352768229387 0.0
12334 14012 0.0 0.6919718742505304
s 18286 0.0 0.7223429214842774
t 18286 0.16305603005265137 0.0
s 15417 0.0 0.8067679392286166
t 15417 0.20339828359083773 0.0
15417 20233 0.0 0.5807366166034778
s 1210 0.0 0.6162669620990509
t 1210 0.11868280258792283 0.0
1210 3169 0.0 0.4143377064754679
1210 17467 0.0 0.6026880038096996
s 5243 0.0 0.679876706386333
t 5243 0.14444760491259484 0.0
5243 17854 0.0 0.6498811670051583
s 17467 0.0 0.6021989116327346
t 17467 0.11332610290373166 0.0
s 14012 0.0 0.7598387758782083
t 14012 0.18042342654357793 0.0
s 17854 0.0 0.6945633600103174
t 17854 0.15075570669134075 0.0
s 14271 0.0 0.7829483720075363
t 14271 0.1915650477966339 0.0
