c #vertices #edges weightDimension idOffset
mincutGraph 8 7 2 865
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 1281 0.0 8.262789740006944
t 1281 26.913065931327814 0.0
1281 1940 0.0 6.592648225762239
1281 5511 0.0 9.74619068379252
s 5265 0.0 14.163432288364511
t 5265 5.2678352389122125 0.0
s 5235 0.0 14.92455245505926
t 5235 99.34522046624731 0.0
5235 5265 0.0 13.416041073740208
5235 5511 0.0 18.79344504557084
s 84 0.0 8.937552367082555
t 84 88.22176586621954 0.0
84 5511 0.0 20.718288104248153
84 2491 0.0 19.919149447131876
s 1940 0.0 8.13734765028018
t 1940 5.101906763924635 0.0
t 5511 91.45983588676154 0.0
s 2491 0.0 13.50650712009315
t 2491 133.06365977949832 0.0
2491 4571 0.0 22.366518033900025
s 4571 0.0 30.505732661420218
t 4571 107.06076142500862 0.0
