c #vertices #edges weightDimension idOffset
mincutGraph 6 5 2 1321
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 1249 0.0 9.141495819234757
t 1249 52.8813011589195 0.0
1249 1911 0.0 17.598314751020837
1249 5277 0.0 12.280946954014585
s 6577 0.0 16.613436028810533
t 6577 29.162189413998156 0.0
t 1911 115.44805469666338 0.0
1911 3694 0.0 13.820216715739644
1911 8206 0.0 18.65122534434441
s 5277 0.0 9.141495819245693
t 5277 52.88130115886501 0.0
5277 6577 0.0 12.612554290214279
s 3694 0.0 18.927547686577615
t 3694 41.81599980625002 0.0
s 8206 0.0 7.993941126471164
t 8206 5.436316676362553 26.630264190412035
