c #vertices #edges weightDimension idOffset
mincutGraph 4163 4552 2 402
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 6.942217493879638
t 0 12.290021928629718 0.0
0 3042 0.0 4.027539325181953
0 215 0.0 6.145174748086475
s 1 0.0 10.441849510458265
t 1 44.146934121832544 0.0
1 963 0.0 10.362981348848832
1 3111 0.0 9.555659786740643
s 2 0.0 12.464143256683464
t 2 17.57247309097558 0.0
2 1940 0.0 6.951632436210098
t 3 104.92958961625854 0.0
3 2754 0.0 20.14965280514972
3 1495 0.0 16.24566909163518
3 619 0.0 12.941477526680705
s 4 0.0 7.34786402706389
t 4 111.39346463401397 0.0
4 825 0.0 30.83294437643375
4 828 0.0 32.96925159019222
t 5 5.658533854255383 0.0
5 1095 0.0 5.522783847264971
5 155 0.0 5.983796226427153
5 539 0.0 2.0515599780052587
s 6 0.0 3.7930449636005195
t 6 4.4959969057920075 0.0
6 3626 0.0 3.203555411112613
6 1099 0.0 2.881690590968447
t 7 178.01468646482766 0.0
7 2708 0.0 28.706145767015954
7 9 0.0 24.756930388111265
7 1321 0.0 14.38126249571713
s 8 0.0 10.91173731299006
t 8 13.410744757582462 0.0
8 1568 0.0 8.092939539439335
t 9 251.23633362345572 0.0
9 1617 0.0 20.561816023833767
9 1630 0.0 34.62362426598431
s 10 0.0 6.25366112401109
t 10 23.126892166024554 0.0
10 1477 0.0 7.408099525178756
10 1605 0.0 9.420973784148492
s 11 0.0 5.483221598699081
t 11 45.57664666876426 0.0
11 4137 0.0 16.801007307831146
11 1468 0.0 16.901715467602237
s 12 0.0 0.908619665676094
t 12 0.25799678034473783 0.0
12 1440 0.0 0.575774651810087
12 2101 0.0 0.9922256309424352
t 13 109.59651468795674 0.0
13 611 0.0 21.182620037929343
13 1827 0.0 11.626228175676014
13 1543 0.0 18.955897305217743
t 14 119.97799887158627 0.0
14 1410 0.0 17.5155011857715
14 2885 0.0 13.809601739304995
14 1416 0.0 20.894245300935296
s 15 0.0 2.9105741130198255
t 15 54.641603282784786 0.0
15 571 0.0 38.48861308277274
15 2028 0.0 39.23138020132109
t 16 95.69281885690677 0.0
16 3283 0.0 20.570322086435088
16 1188 0.0 9.751786919782992
16 1964 0.0 19.951309228633505
t 17 173.23201916572506 0.0
17 538 0.0 31.854571774961215
17 2030 0.0 15.82144113132846
17 3199 0.0 23.08701960226909
s 18 0.0 2.5611047981794792
t 18 11.01717420420617 0.0
18 3970 0.0 8.609745099960655
18 2836 0.0 9.075929681938955
s 19 0.0 8.377414556251303
t 19 37.35393673964979 0.0
19 374 0.0 10.564628903202708
19 423 0.0 9.321343400105901
t 20 255.89337562564307 0.0
20 2880 0.0 33.617113626182466
20 1041 0.0 21.704424854875214
20 534 0.0 23.687509791854687
t 21 51.0940993085325 0.0
21 3045 0.0 22.474814055745906
21 282 0.0 22.025149058068646
21 1519 0.0 4.6397422243228315
t 22 19.586088280552104 0.0
22 3058 0.0 7.165952731249736
22 3764 0.0 16.8318671910734
22 1805 0.0 10.320180420549665
s 23 0.0 9.229375755410887
t 23 12.185332561730888 0.0
23 2800 0.0 2.73997714864024
23 1058 0.0 8.898768364077192
s 24 0.0 5.631305416191517
t 24 60.8188745407683 0.0
24 1793 0.0 23.758732175796595
24 454 0.0 26.601302889485535
s 25 0.0 7.947590789044233
t 25 76.84445857670735 0.0
25 675 0.0 22.574103901410137
25 741 0.0 19.688372474495846
t 26 15.055345343381726 0.0
26 1797 0.0 3.104964298346444
26 3801 0.0 9.760130060449763
26 1934 0.0 9.902068432370616
t 27 4727.080404867245 0.0
27 3491 0.0 98.30764614784664
27 3125 0.0 191.2828804583358
27 748 0.0 117.23133279564026
t 28 49.574880895410516 0.0
28 707 0.0 14.289286231344175
28 694 0.0 8.549208279747196
28 1769 0.0 11.599291165949296
s 29 0.0 6.734211135234282
t 29 87.87292308750752 0.0
29 3536 0.0 31.72651526263671
29 1071 0.0 28.441720382180957
t 30 76.51253523148617 0.0
30 308 0.0 8.305116265592021
30 3852 0.0 18.42690695176795
30 3966 0.0 20.30869576741512
s 31 0.0 7.997247221027846
t 31 25.433192133848813 0.0
31 1446 0.0 9.76487137535989
31 938 0.0 6.387608026276433
s 32 0.0 3.874507012451198
t 32 31.9502347362893 0.0
32 3978 0.0 16.576961604929934
32 3597 0.0 16.639112838693144
s 33 0.0 8.443358102423048
t 33 44.260284295328184 0.0
33 1554 0.0 11.25675754423326
33 3435 0.0 11.348626151722756
s 34 0.0 10.260133864106365
t 34 88.34758571014571 0.0
34 2081 0.0 26.469379213042018
34 996 0.0 19.834870586553837
s 35 0.0 10.068127763035903
t 35 73.60977203120652 0.0
35 2272 0.0 15.404727390480016
35 1953 0.0 15.526538520449495
s 36 0.0 9.113679482963263
t 36 10.367665390879672 0.0
36 3557 0.0 6.441765504962054
s 37 0.0 7.186395374640158
t 37 4.433964132960957 0.0
37 1029 0.0 6.6603986423075545
s 38 0.0 13.75301118556416
t 38 165.24405905204335 0.0
38 368 0.0 37.683836907562934
38 3213 0.0 49.06790282588534
s 39 0.0 8.523249468986595
t 39 25.132819045330283 0.0
39 2994 0.0 7.377415191023882
39 1924 0.0 7.17741902133042
s 40 0.0 11.537295602519253
t 40 96.4139445208111 0.0
40 914 0.0 18.17439602655492
40 725 0.0 17.282401660510835
s 41 0.0 5.989443433502328
t 41 9.991150221724903 0.0
41 3525 0.0 3.4444045295614836
41 1335 0.0 7.615476537940132
s 42 0.0 10.790397743789212
t 42 38.718421090413045 0.0
42 3616 0.0 12.018673519105285
42 3595 0.0 7.267936576021535
s 43 0.0 6.754937319765875
t 43 59.41655082599222 0.0
43 242 0.0 26.46263359194927
43 1709 0.0 21.88220742436125
s 44 0.0 6.437851061710904
t 44 3.7853344364282138 0.0
44 2127 0.0 5.126248111955511
t 45 260.8990551395055 0.0
45 289 0.0 50.202856096134454
45 1786 0.0 10.575094943252735
45 2702 0.0 49.35979151981683
t 46 55.3521451831825 0.0
46 1697 0.0 16.43860074908186
46 1131 0.0 17.391308338986722
46 1677 0.0 6.746523771541086
s 47 0.0 3.998693026645741
t 47 14.858235069648469 0.0
47 771 0.0 7.531895385221296
47 222 0.0 7.932155596910895
s 48 0.0 3.9906847956757994
t 48 0.7791479604153465 0.0
48 416 0.0 4.482706410910373
48 752 0.0 0.6148862456618147
s 49 0.0 3.6505981674382535
t 49 2.484402204311546 0.0
49 2802 0.0 4.427312889105832
49 532 0.0 1.4726703186961931
s 50 0.0 5.08224547075937
t 50 106.08796402675402 0.0
50 2565 0.0 41.93852279467785
50 3485 0.0 42.72243975030423
t 51 61.04598627287807 0.0
51 1363 0.0 12.293361079917966
51 2148 0.0 11.385660590270605
51 2871 0.0 11.994652781861758
s 52 0.0 3.876658969685368
t 52 59.4158990710552 0.0
52 2323 0.0 35.44513097056704
52 235 0.0 33.665978484524096
s 53 0.0 5.489625091889326
t 53 4.400033704706907 0.0
53 2390 0.0 15.737033690272533
53 3466 0.0 10.291167569472604
s 54 0.0 4.510729541747576
t 54 11.765238966921439 0.0
54 2857 0.0 8.480592889458121
54 575 0.0 12.352661660543248
t 55 95.36164928672841 0.0
55 150 0.0 19.381347284546106
55 2521 0.0 14.166426256850352
55 3081 0.0 13.464917860220632
s 56 0.0 11.659859169947552
t 56 13.284400958077905 0.0
56 2568 0.0 9.091212313117927
s 57 0.0 4.0921640249727
t 57 94.62022947207423 0.0
57 608 0.0 46.36815352999011
57 3663 0.0 46.25003315346665
t 58 27.7072390341948 0.0
58 4018 0.0 10.173557053718469
58 355 0.0 8.0606307611614
58 521 0.0 6.897585248047619
s 59 0.0 20.024868611252383
t 59 42.933996451953064 0.0
59 1395 0.0 15.142967326643259
s 60 0.0 4.50776639163081
t 60 6.349986825559812 0.0
60 490 0.0 4.769937352861726
60 2571 0.0 2.8933464433385447
s 61 0.0 7.012764668298226
t 61 23.69463611611908 0.0
61 2546 0.0 6.933415671308575
61 414 0.0 10.909312279021941
t 62 203.77437355743749 0.0
62 1524 0.0 25.26283014239164
62 2744 0.0 30.969145794207098
62 1658 0.0 16.17491167471595
s 63 0.0 3.7198930209107264
t 63 75.27643646474189 0.0
63 1090 0.0 40.60219014842271
63 2043 0.0 41.06716772530032
s 64 0.0 4.665747753345724
t 64 2.583248050721491 0.0
64 1050 0.0 3.3838544106109207
s 65 0.0 4.630718887898803
t 65 21.771120733051767 0.0
65 645 0.0 10.237975565538182
65 1365 0.0 9.420835649715386
t 66 9.822057849751639 0.0
66 2757 0.0 4.107404591269683
66 4071 0.0 5.079149813603517
66 1853 0.0 5.349811996582203
t 67 126.68454394633706 0.0
67 2673 0.0 27.157886277991896
67 290 0.0 9.363846959432827
67 828 0.0 29.47481117734795
s 68 0.0 4.257692709994191
t 68 68.37729878119971 0.0
68 391 0.0 36.927907599799475
68 3566 0.0 39.20407099617755
t 69 68.99221310074725 0.0
69 1443 0.0 12.302845820862586
69 4115 0.0 11.282613861433564
69 1162 0.0 17.574378242691715
s 70 0.0 10.561956211627052
t 70 9.736704257334106 0.0
70 2949 0.0 8.522983077131862
s 71 0.0 10.977174949516357
t 71 118.88914549117864 0.0
71 2866 0.0 22.160938374217043
71 1372 0.0 22.557952350613885
t 72 171.10114559309025 0.0
72 2050 0.0 24.09877717402677
72 1865 0.0 19.65971724285641
72 2636 0.0 17.661748523626333
t 73 91.54360310616916 0.0
73 2564 0.0 23.544325827626
73 2742 0.0 14.663217387256486
73 2123 0.0 13.563474210628677
s 74 0.0 4.795836811667561
t 74 11.438385600530486 0.0
74 1650 0.0 8.89729679115849
74 501 0.0 13.198495636607273
s 75 0.0 7.441531318757754
t 75 89.95853350737515 0.0
75 2132 0.0 25.492144916082193
75 2664 0.0 24.18587876476847
s 76 0.0 8.792849572277465
t 76 158.33923045172526 0.0
76 828 0.0 37.41940968580442
76 1548 0.0 36.04115709958183
s 77 0.0 9.66083659483201
t 77 121.64056654966532 0.0
77 4016 0.0 25.25446605210929
77 3094 0.0 26.348286198948887
