c #vertices #edges weightDimension idOffset
mincutGraph 9270 10200 2 949
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 48.90393407739844 0.0
0 4496 0.0 10.322357728938563
0 3004 0.0 10.007756118999714
0 6893 0.0 11.841252837154963
s 1 0.0 4.675031928601022
t 1 37.792846840730235 0.0
1 1708 0.0 16.92325659592957
1 4990 0.0 18.8413688441525
s 2 0.0 2.9709013028144065
t 2 1.9944844567794833 0.0
2 1777 0.0 2.19334147959867
2 2175 0.0 4.893071261957471
s 3 0.0 9.665994005336831
t 3 11.625509649034193 0.0
3 4600 0.0 6.921922143160305
s 4 0.0 6.262310097882208
t 4 99.23832971433166 0.0
4 2024 0.0 31.693866906284942
4 1373 0.0 32.314501297301746
s 5 0.0 2.862100075186077
t 5 2.559880263208407 0.0
5 6885 0.0 2.9970634025730067
5 4008 0.0 1.8463676259364392
s 6 0.0 4.875743865162476
t 6 11.263912485989167 0.0
6 8080 0.0 4.871623138906839
6 6673 0.0 5.696207121440829
s 7 0.0 4.855665367569362
t 7 18.307978430568127 0.0
7 5092 0.0 9.842948980207666
7 4014 0.0 13.486862849220898
t 8 24.497637304539694 0.0
8 416 0.0 20.49682479021023
8 3177 0.0 71.77063103500636
8 2444 0.0 92.25861001117852
s 9 0.0 7.835717745013403
t 9 340.1697459712534 0.0
9 1526 0.0 91.11862548516392
9 2554 0.0 93.79315196010702
s 10 0.0 8.667713965549124
t 10 18.765376233728094 0.0
10 1041 0.0 12.876708850811413
10 509 0.0 5.54204564202307
t 11 48.55414588279036 0.0
11 7700 0.0 14.603494128888578
11 3349 0.0 7.296743993427421
11 5452 0.0 13.37028370567444
s 12 0.0 3.55612737025558
t 12 1.5606197897019236 0.0
12 4228 0.0 2.52102717936543
t 13 4882.840792218927 0.0
13 7125 0.0 90.67688933324052
13 2137 0.0 182.72587188189505
13 6521 0.0 121.8221457659385
s 14 0.0 0.45464811839160807
t 14 0.06459528484863723 0.0
14 3399 0.0 0.32858278651426676
14 6375 0.0 0.40576403778128195
s 15 0.0 11.313940477013274
t 15 20.437947438642674 0.0
15 5260 0.0 3.8220590556120024
15 943 0.0 13.070289689225305
t 16 202.86408419028746 0.0
16 258 0.0 38.691791171919924
16 2962 0.0 34.54637024492336
16 3275 0.0 11.971387512978858
s 17 0.0 8.147841731572724
t 17 8.12797975759532 0.0
17 8763 0.0 5.8167816869271745
s 18 0.0 2.7423867712593366
t 18 9.20488906276577 0.0
18 5286 0.0 9.123915879000306
18 3691 0.0 7.54160263318666
t 19 31.716496163859937 0.0
19 2642 0.0 9.478896607234256
19 9108 0.0 6.784190299393928
19 8473 0.0 12.53007685855931
t 20 4960.328771960795 0.0
20 816 0.0 317.3843196979622
20 981 0.0 40.92891169799917
20 5993 0.0 292.63611619044093
s 21 0.0 0.8486950337600314
t 21 0.38522639985348 0.0
21 1757 0.0 0.9739675428404397
21 4799 0.0 1.0344027644040636
s 22 0.0 4.986614191185599
t 22 52.897864220017595 0.0
22 738 0.0 22.017923482580635
22 2600 0.0 21.23509867955974
s 23 0.0 13.250152544501159
t 23 96.18133183031433 0.0
23 1107 0.0 15.631371948063242
23 6219 0.0 16.32038813261912
s 24 0.0 0.0025250725252080057
t 24 0.009985786685703602 0.0
24 3824 0.0 8.286402206045603
24 1082 0.0 8.285649489902669
