c #vertices #edges weightDimension idOffset
mincutGraph 5 4 2 736
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 4592 0.0 3.1156086138057315
t 4592 0.9723730513061186 0.0
s 1140 0.0 4.121794108704996
t 1140 2.01929659677224 0.0
1140 5643 0.0 2.9791293168004804
s 677 0.0 2.4717199142014192
t 677 2.78392698880885 0.0
677 4592 0.0 2.414849110109139
677 4685 0.0 2.763927510202268
s 5643 0.0 2.7784888903800717
t 5643 2.2306076719702568 0.0
s 4685 0.0 2.517692166896166
t 4685 2.0214442045356806 0.0
4685 5643 0.0 1.6280159498968578
