c #vertices #edges weightDimension idOffset
mincutGraph 11717 12956 2 1255
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 15.034084367735765
t 0 222.39122728339316 0.0
0 416 0.0 39.152305747514774
0 4259 0.0 50.299169336232644
s 1 0.0 10.407240630534842
t 1 48.83088555264434 0.0
1 2699 0.0 12.300507318802953
1 8619 0.0 9.699768118679621
s 2 0.0 8.335843514969476
t 2 38.8298118676951 0.0
2 8326 0.0 9.694447007623427
2 4633 0.0 10.898220141512692
s 3 0.0 11.049207323597757
t 3 61.86650056795402 0.0
3 5139 0.0 14.321370558866045
3 6579 0.0 11.397602914938847
s 4 0.0 9.943590970732464
t 4 32.83267471711223 0.0
4 10706 0.0 9.056425176523017
4 8373 0.0 7.59231773632816
s 5 0.0 9.533450250585313
t 5 839.4294532670384 0.0
5 6747 0.0 177.0599423565987
5 7871 0.0 176.32468552475362
t 6 61.009918648103046 0.0
6 1658 0.0 17.106187305366984
6 1916 0.0 9.995600140304807
6 4253 0.0 12.368140606901028
s 7 0.0 5.788527498050987
t 7 7.977880542152567 0.0
7 2292 0.0 3.7950426556902395
7 125 0.0 8.837891955707736
s 8 0.0 4.3195327572340485
t 8 7.458831907687213 0.0
8 6170 0.0 3.6481320545719345
8 8958 0.0 4.670272597040913
t 9 159.31460297334007 0.0
9 3383 0.0 64.24322421304288
9 4583 0.0 64.82163080941959
9 10026 0.0 4.974915979357621
s 10 0.0 14.006729157258473
t 10 69.31099169147933 0.0
10 5411 0.0 14.011365173640932
10 682 0.0 10.708065895813492
s 11 0.0 7.842468256475112
t 11 7.1220103430852095 0.0
11 9307 0.0 5.7439130234832785
t 12 156.8830413511346 0.0
12 6405 0.0 14.27970893774291
12 5400 0.0 27.77024813720512
12 10333 0.0 22.138377141691862
s 13 0.0 6.545900372123581
t 13 13.583742289219176 0.0
13 7315 0.0 4.502251845903417
13 4909 0.0 6.346108376348327
s 14 0.0 10.447630272091024
t 14 134.9789778567624 0.0
14 7283 0.0 30.652335721162338
14 8452 0.0 37.32654682329251
s 15 0.0 11.884926696978223
t 15 66.40418028271951 0.0
15 11057 0.0 11.314052282160903
15 231 0.0 15.071605854928313
t 16 68.49821486613166 0.0
16 11075 0.0 10.745597697765318
16 8249 0.0 12.794408257269586
16 11246 0.0 16.001195789110806
t 17 47.804653861945496 0.0
17 1552 0.0 11.2245664287716
17 1921 0.0 8.57793837448042
17 334 0.0 14.910489356812805
s 18 0.0 3.866046438725854
t 18 5.254623172461845 0.0
18 9536 0.0 3.1984494770894902
18 5113 0.0 3.484892460462702
s 19 0.0 5.382045288581245
t 19 9.775879014555409 0.0
19 11676 0.0 8.97711440383833
19 6959 0.0 4.603265242616271
t 20 104.48995027236649 0.0
20 11179 0.0 9.725180056325508
20 11643 0.0 24.821701352303155
20 6013 0.0 21.657371061678386
s 21 0.0 4.706691253473152
t 21 36.0718794796199 0.0
21 641 0.0 22.07131843532235
21 11575 0.0 18.968513044482286
s 22 0.0 3.329541466563547
t 22 3.2133851188777856 0.0
22 5585 0.0 1.9302268202079804
22 10342 0.0 3.8485870078135753
s 23 0.0 8.612425394318395
t 23 23.763773325560148 0.0
23 10180 0.0 9.366399277632588
23 10510 0.0 5.616436031214295
s 24 0.0 12.948566066259406
t 24 20.378534811958758 0.0
24 7469 0.0 8.973453151317615
24 3903 0.0 21.5826205810082
s 25 0.0 7.905414137094084
t 25 7.739524016146907 0.0
25 5746 0.0 5.6157458899537565
