c #vertices #edges weightDimension idOffset
mincutGraph 13 12 2 640
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 418 0.0 8.762337938354397
t 418 22.15553430700157 0.0
418 2059 0.0 10.11690314935682
418 6350 0.0 5.0569915159338095
s 2059 0.0 9.34529492074251
t 2059 22.55728831693662 0.0
2059 5018 0.0 4.848862583840371
s 5579 0.0 5.354735649659075
t 5579 8.960373088461479 0.0
5579 7570 0.0 3.3549315747832047
s 3404 0.0 4.046395480594644
t 3404 2.034138458606742 0.0
3404 3728 0.0 3.013314067172969
s 6350 0.0 11.379283699814769
t 6350 28.772470563683587 0.0
6350 7568 0.0 12.452359644573924
s 3728 0.0 3.7339412281863997
t 3728 4.356974092172305 0.0
3728 5941 0.0 2.964223358189575
s 7568 0.0 16.896051336739262
t 7568 30.84094922297826 0.0
s 7570 0.0 4.442771710800696
t 7570 7.2432762677089 0.0
t 4212 10.883662093716534 0.0
4212 5018 0.0 7.293752214857191
4212 5579 0.0 6.116771622028757
s 5941 0.0 5.558735532047862
t 5941 7.242538664473825 0.0
5941 7570 0.0 4.896753344909584
s 824 0.0 4.8817816831608285
t 824 2.8963106872076225 0.0
824 4212 0.0 3.567395780116191
s 2457 0.0 10.861385256412781
t 2457 12.165391360217233 0.0
2457 5018 0.0 8.307244416019207
t 5018 17.578111264692808 0.0
