c #vertices #edges weightDimension idOffset
mincutGraph 8 7 2 6782
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 13472 0.0 2.734793565587946
t 13472 13.204146185332373 0.0
13472 58205 0.0 13.631197577553754
s 22544 0.0 3.3164639743260267
t 22544 3.437166653433835 0.0
22544 65951 0.0 2.5851721441264006
s 546 0.0 10.228634587428115
t 546 6.436221560522608 0.0
546 2616 0.0 9.075242639672782
s 72610 0.0 9.982881064850883
t 72610 55.37117867537242 0.0
s 11589 0.0 17.7692613429187
t 11589 38.836732483921836 0.0
11589 13472 0.0 11.860263622368736
t 2616 9.022342777516716 0.0
2616 22544 0.0 2.726713267867676
2616 72610 0.0 11.120314520651448
s 58205 0.0 19.07942455739542
t 58205 104.22903509733257 0.0
58205 72610 0.0 15.453380938941505
s 65951 0.0 3.682666253493996
t 65951 1.6839358702973901 0.0
