c #vertices #edges weightDimension idOffset
mincutGraph 15271 17472 2 2219
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 8.189726579256105
t 0 113.25555969971505 0.0
0 9120 0.0 27.741424548948316
0 9927 0.0 29.527607962508974
t 1 750.1526311250536 0.0
1 4597 0.0 40.76222311544313
1 6677 0.0 45.75709886769535
1 1275 0.0 39.23071457007217
s 2 0.0 7.530558644186013
t 2 10.85713621600728 0.0
2 2453 0.0 19.382420775282686
2 15190 0.0 11.988123423807261
s 3 0.0 8.18912177223339
t 3 56.822866030037204 0.0
3 2102 0.0 15.523357160344567
3 13518 0.0 13.932326110919673
s 4 0.0 7.530564694088813
t 4 80.06011878656065 0.0
4 2925 0.0 21.46945182610231
4 2846 0.0 21.745827795105086
t 5 60.599767228686574 0.0
5 5733 0.0 13.557076460978262
5 4631 0.0 9.574033228487654
5 2473 0.0 13.511307898768056
s 6 0.0 5.768017922080652
t 6 4.0030028438319505 0.0
6 12838 0.0 4.152517048571511
s 7 0.0 12.922209661727885
t 7 151.46859699476238 0.0
7 8400 0.0 24.089468106381137
7 15077 0.0 24.577184425165033
s 8 0.0 7.529961289474587
t 8 113.98173418163705 0.0
8 2721 0.0 30.957273793400745
8 4482 0.0 30.292832328018942
s 9 0.0 7.529973799646996
t 9 63.25786511223964 0.0
9 1388 0.0 16.826794366126038
9 4863 0.0 18.806890192791723
s 10 0.0 3.4940636836653227
t 10 7.630846606928767 0.0
10 4578 0.0 6.104821086722304
10 8882 0.0 8.904032485473872
t 11 813.2404043489471 0.0
11 1296 0.0 52.16923211427451
11 1811 0.0 36.10965082444744
11 11721 0.0 46.09427849502075
s 12 0.0 12.110548759828744
t 12 48.54626163418183 0.0
12 650 0.0 8.079059183419304
12 13371 0.0 13.70273335771106
s 13 0.0 8.191847703392988
t 13 135.4227829364731 0.0
13 8645 0.0 33.068839588174725
13 12986 0.0 33.916298039576084
s 14 0.0 8.190288849898174
t 14 79.74289111740435 0.0
14 10280 0.0 19.802150868798304
14 11517 0.0 20.00674464456061
t 15 778.1097048103244 0.0
15 6504 0.0 29.051854155788885
15 7595 0.0 54.13584579675661
15 12811 0.0 57.61847592390449
t 16 101.78930514447502 0.0
16 7603 0.0 16.19941219466024
16 90 0.0 12.68426473459789
16 13965 0.0 19.17208938260399
t 17 21.54632494224433 0.0
17 14960 0.0 6.8343464533882585
17 532 0.0 7.377328104176302
17 2791 0.0 6.9845281537748845
s 18 0.0 8.19074581611417
t 18 80.01551750701248 0.0
18 5637 0.0 19.547666368910456
18 4650 0.0 20.95580776335472
s 19 0.0 3.2380084084717544
t 19 26.89392520815975 0.0
19 2115 0.0 16.611435051345385
19 12164 0.0 16.9174790542241
t 20 237.13742789145851 0.0
20 11984 0.0 30.391577001422792
20 9576 0.0 26.635240786686254
20 5662 0.0 17.918965161932324
s 21 0.0 7.529970070704673
t 21 69.4303964049502 0.0
21 13211 0.0 18.479493770810645
21 7327 0.0 20.399184758952366
s 22 0.0 14.694957096557022
t 22 26.014234356530583 0.0
22 2772 0.0 10.583652813399723
s 23 0.0 8.191083882635844
t 23 137.76635585803126 0.0
23 7689 0.0 38.30594125498081
23 4589 0.0 35.13159004614599
t 24 575.0597022645302 0.0
24 4864 0.0 50.64157987112706
24 2583 0.0 58.84340925958609
24 1210 0.0 23.00121275161959
s 25 0.0 12.920045094306259
t 25 117.51116990430427 0.0
25 5833 0.0 19.50977796656898
25 12190 0.0 19.113456572108607
s 26 0.0 18.321429278287642
t 26 38.95775988223853 0.0
26 6122 0.0 13.413514747521669
t 27 3146.1216060268234 0.0
27 2180 0.0 285.138682023899
27 10980 0.0 326.082643255192
27 1772 0.0 45.855400171538186
t 28 227.01711303699278 0.0
28 9536 0.0 20.957975856827325
28 1057 0.0 27.249256868479677
28 567 0.0 22.11222156091718
t 29 167.00253253095215 0.0
29 8288 0.0 18.85743761944221
29 11077 0.0 27.8414122780195
29 15097 0.0 17.905335498279584
s 30 0.0 8.059926321707817
t 30 31.171450652954935 0.0
30 4944 0.0 8.66747593862553
30 1517 0.0 8.777379765465346
t 31 310.29195228632335 0.0
31 8000 0.0 27.994615374592716
31 3348 0.0 33.53314458272619
31 7515 0.0 22.348401710455732
s 32 0.0 12.362178644001874
t 32 122.1097456212092 0.0
32 4501 0.0 20.667540115926517
32 15146 0.0 20.732534611300473
s 33 0.0 12.915123839935635
t 33 260.9338929021983 0.0
33 1239 0.0 62.30186194363479
33 8265 0.0 53.13590905731753
s 34 0.0 7.530566643445101
t 34 76.82590733773802 0.0
34 8257 0.0 20.85226477230147
34 8099 0.0 20.657668302033517
t 35 119.15311310329595 0.0
35 13569 0.0 20.45661961855961
35 4930 0.0 18.272294828902755
35 2107 0.0 13.281692540477238
s 36 0.0 7.530553989161058
t 36 35.19702981276559 0.0
36 3986 0.0 9.919082015886751
36 7979 0.0 10.25327259614238
t 37 578.6644526909615 0.0
37 256 0.0 90.10976954321951
37 1056 0.0 90.5077078690597
37 14249 0.0 12.853986150829108
s 38 0.0 8.191551575365567
t 38 102.14203889817503 0.0
38 14544 0.0 25.13417046488819
38 6657 0.0 25.446647882421093
s 39 0.0 12.3621642684664
t 39 96.65621436846604 0.0
39 7441 0.0 18.10413406012106
39 1142 0.0 15.969369487147071
s 40 0.0 7.530570688438581
t 40 45.277032098923925 0.0
40 2468 0.0 12.247786996108143
40 3118 0.0 13.10279330465507
s 41 0.0 7.529969955915953
t 41 60.7563507402949 0.0
41 917 0.0 16.23107250211056
41 8028 0.0 18.61177701947797
s 42 0.0 7.985185919163092
t 42 7.5233087640795935 0.0
