c #vertices #edges weightDimension idOffset
mincutGraph 12 11 2 412
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 4288 0.0 5.069570481638271
t 4288 4.479928889895375 0.0
s 4976 0.0 7.687047799198233
t 4976 7.38275290444879 0.0
s 2802 0.0 5.26572588776586
t 2802 9.56387731384347 0.0
2802 4976 0.0 5.400515756606647
2802 5890 0.0 3.8479184139136717
s 5890 0.0 3.9201560477380526
t 5890 7.031070560325086 0.0
s 3176 0.0 5.130212368696521
t 3176 18.02542220918737 0.0
3176 5102 0.0 7.046413537689293
s 4792 0.0 6.0722218394584955
t 4792 12.406803267734476 0.0
4792 5102 0.0 5.841855490085973
4792 5534 0.0 4.505461819943764
s 2409 0.0 3.5918902312180805
t 2409 1.475592741342441 0.0
2409 4288 0.0 2.224795523950661
s 1322 0.0 6.002751670904977
t 1322 9.034911697348674 0.0
1322 5890 0.0 4.38826375429984
1322 1933 0.0 4.117812662269167
s 1933 0.0 5.286020667995408
t 1933 8.731879531712472 0.0
1933 5102 0.0 4.348886935652195
t 5102 12.6745123000671 0.0
s 5534 0.0 5.5805421411135665
t 5534 2.7262622364202307 0.0
s 2127 0.0 6.380599124971998
t 2127 20.93779099048843 0.0
2127 4288 0.0 6.659695798801862
2127 3176 0.0 8.404200986954057
