c #vertices #edges weightDimension idOffset
mincutGraph 7821 8761 2 954
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 6.2505181818610165
t 0 113.28026717854333 0.0
0 2164 0.0 37.61392368817202
0 1501 0.0 36.44518404117676
s 1 0.0 3.139256438407178
t 1 26.789361764750275 0.0
1 6756 0.0 17.198658493764132
1 7016 0.0 17.097656733712874
t 2 63.65391550957329 0.0
2 4220 0.0 9.565028459632607
2 365 0.0 13.419193110674588
2 4510 0.0 15.454469946995665
t 3 111.68276402988785 0.0
3 6580 0.0 34.120524304258495
3 6661 0.0 8.483778393562451
3 1017 0.0 29.460798725791044
s 4 0.0 15.288471745284918
t 4 23.348514418443628 0.0
4 3575 0.0 11.846259641579884
s 5 0.0 13.564946762421114
t 5 166.31243062928567 0.0
5 4404 0.0 25.368689163042507
5 4877 0.0 25.517433061732085
s 6 0.0 6.428046416740593
t 6 37.11336902156584 0.0
6 6705 0.0 12.060102970827131
6 619 0.0 11.917882992704579
s 7 0.0 13.941854325811832
t 7 57.33615275713575 0.0
7 6326 0.0 8.648535015956076
7 1324 0.0 13.951141480539953
s 8 0.0 23.265152958842364
t 8 349.36956999850406 0.0
8 3121 0.0 37.46791774319835
8 2253 0.0 30.046141612676198
s 9 0.0 5.275892461406988
t 9 54.116230869322926 0.0
9 4037 0.0 20.51952976042094
9 540 0.0 21.073856662080534
t 10 184.82940673851505 0.0
10 7520 0.0 42.79568873113324
10 817 0.0 40.79203313449409
10 833 0.0 9.120744578874596
s 11 0.0 6.435409222028049
t 11 43.18266686005711 0.0
11 5124 0.0 13.590320963720515
11 2295 0.0 14.09013948646568
s 12 0.0 9.935139923967348
t 12 210.82839121430777 0.0
12 5898 0.0 42.784262391848216
12 2813 0.0 42.68159952087737
s 13 0.0 8.471491838652938
t 13 63.205293497765 0.0
13 5752 0.0 15.108373417222788
13 2063 0.0 18.442480861562515
s 14 0.0 12.713704395481688
t 14 18.14946855360386 0.0
14 2673 0.0 9.442883628725287
t 15 58.74529292398353 0.0
15 3492 0.0 14.682696661496369
15 1349 0.0 8.064377548921575
15 794 0.0 17.607350997465584
s 16 0.0 9.139523244798267
t 16 68.8709612433396 0.0
16 4011 0.0 15.470464166142156
16 4925 0.0 16.09413097814423
s 17 0.0 8.20975543765975
t 17 61.35189779235353 0.0
17 1269 0.0 14.947927374534206
17 3915 0.0 17.166307997960626
s 18 0.0 9.079601759837413
t 18 35.51120513125954 0.0
18 2358 0.0 7.863233383316224
18 7511 0.0 12.603136792592727
s 19 0.0 14.671924142100215
t 19 21.770240972798724 0.0
19 203 0.0 11.321148874879547
s 20 0.0 13.358203386147526
t 20 20.378926957058617 0.0
20 6779 0.0 9.838906558268416
s 21 0.0 9.949085920752118
t 21 43.983562780331795 0.0
21 2436 0.0 9.141954008679772
21 7454 0.0 15.125975751040388
s 22 0.0 11.053260202962226
t 22 148.31726715355683 0.0
22 4843 0.0 28.043497767660224
22 6543 0.0 26.99474643329364
s 23 0.0 11.434655890807932
t 23 16.27906346778497 0.0
23 6056 0.0 8.101920568090147
s 24 0.0 10.976371860365223
t 24 61.41183712812342 0.0
24 7156 0.0 11.53268156053606
24 3878 0.0 13.863977381206418
s 25 0.0 6.194709665134835
t 25 24.052859763351908 0.0
25 6377 0.0 7.772360367567774
25 7610 0.0 10.138812286292902
t 26 388.54783285276807 0.0
26 2395 0.0 27.416032236158358
26 5357 0.0 29.927542733812967
26 1279 0.0 33.47643183001314
t 27 165.496056050029 0.0
27 7810 0.0 24.933838048261254
27 997 0.0 17.176114145310173
27 1354 0.0 19.31798638695762
s 28 0.0 20.540362317011596
t 28 277.4294223778533 0.0
28 760 0.0 28.653817224533373
28 4717 0.0 40.44194309662954
t 29 31.325601532016904 0.0
29 1749 0.0 14.974105573191398
29 3100 0.0 8.82674047996941
29 4847 0.0 8.329123257192485
s 30 0.0 8.423883973613771
t 30 7.24874771924917 0.0
30 2925 0.0 6.481181279406016
s 31 0.0 10.95320197612786
t 31 45.067248657113765 0.0
