c #vertices #edges weightDimension idOffset
mincutGraph 5 4 2 2217
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 2160 0.0 18.66047810565061
t 2160 33.47025743398366 0.0
s 17156 0.0 8.518854024994123
t 17156 24.80503422992171 0.0
s 53 0.0 9.048352312271442
t 53 9.387169601254122 0.0
53 17156 0.0 6.655768970897337
s 6458 0.0 19.190006507381234
t 6458 45.452994543459425 0.0
t 1118 53.058373288654266 0.0
1118 2160 0.0 14.639249175270857
1118 17156 0.0 7.871707054680507
1118 6458 0.0 13.653386443894966
