c #vertices #edges weightDimension idOffset
mincutGraph 6474 7259 2 805
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 211.91237855815604 0.0
0 2649 0.0 18.90206077170903
0 1978 0.0 36.67562275004343
0 1853 0.0 24.600629263997693
s 1 0.0 8.444913150568459
t 1 22.184068274311453 0.0
1 210 0.0 6.72607121712363
1 3789 0.0 6.754608666166927
t 2 16.128775024236013 0.0
2 6384 0.0 6.798968245720205
2 4312 0.0 5.98817939281942
2 6074 0.0 11.478877623415155
s 3 0.0 15.012975089863367
t 3 214.1696396548458 0.0
3 3559 0.0 30.88913535107341
3 2952 0.0 28.707539607465762
s 4 0.0 16.961128651814626
t 4 35.27369244262699 0.0
4 2751 0.0 12.119095800770529
t 5 3525.800738153954 0.0
5 1136 0.0 151.08476743575312
5 5930 0.0 130.07418717141917
5 1470 0.0 55.306839379494384
t 6 477.6582803080461 0.0
6 4241 0.0 15.427465410786647
6 4553 0.0 94.17930550585181
6 5417 0.0 83.17627943202325
s 7 0.0 1.522340655333662
t 7 0.7242253347092867 0.0
7 5411 0.0 1.1041719522810234
7 5812 0.0 1.3530860158437281
t 8 491.8801167480058 0.0
8 3078 0.0 19.77726244127412
8 137 0.0 49.981882434768195
8 2461 0.0 51.92166956142936
s 9 0.0 10.197242933645974
t 9 48.71172112458893 0.0
9 4211 0.0 9.55410006074536
9 5382 0.0 14.018724210116263
s 10 0.0 8.466187740102129
t 10 98.95542454601323 0.0
10 4320 0.0 23.981301566706346
10 5121 0.0 23.583231734396456
t 11 51.18608225828645 0.0
11 3088 0.0 7.79863591731035
11 711 0.0 19.275630927847306
11 2303 0.0 14.567531384673945
s 12 0.0 10.613325533643314
t 12 154.40192848446398 0.0
12 2929 0.0 34.287484934939314
12 2261 0.0 40.906324775180956
s 13 0.0 11.630962690282505
t 13 57.61665493029297 0.0
13 4060 0.0 10.763310489999984
13 4894 0.0 12.380902206887672
s 14 0.0 9.949419326315468
t 14 32.11238504433292 0.0
14 6339 0.0 8.67115760019871
14 1492 0.0 7.679333793242196
t 15 59.36112019663702 0.0
15 2325 0.0 14.450064618673409
15 4970 0.0 9.793218251667433
15 3643 0.0 12.275479214456805
s 16 0.0 5.2014311921561625
t 16 7.435055175963371 0.0
16 2709 0.0 6.121257430538013
16 4108 0.0 2.866641764369106
t 17 376.9352770750312 0.0
17 1732 0.0 43.57392765656456
17 667 0.0 37.432626159618266
17 5900 0.0 20.175589719943495
s 18 0.0 12.05100041902081
t 18 55.027787268388636 0.0
18 6107 0.0 16.53036077623596
18 1231 0.0 9.294458874749475
s 19 0.0 14.236318613528443
t 19 234.22095546885595 0.0
19 1404 0.0 33.41092703807645
19 5390 0.0 38.521847557713706
s 20 0.0 10.345883632498413
t 20 13.247011979636078 0.0
20 3674 0.0 7.363198029749891
t 21 5.616393147191316 0.0
21 4273 0.0 3.6592324440700565
21 3858 0.0 3.069744779378056
21 383 0.0 4.765292392599174
s 22 0.0 11.967902754798263
t 22 9.29159748110644 0.0
22 2202 0.0 17.03529644638554
22 4558 0.0 5.232194011547074
s 23 0.0 9.75379868108063
t 23 51.779152101396164 0.0
23 3162 0.0 13.195898620153027
23 5724 0.0 10.789006926626145
s 24 0.0 9.750741684010515
t 24 161.23256049091336 0.0
24 5205 0.0 33.09944005942899
24 4188 0.0 34.89243776761916
s 25 0.0 14.099278115966218
t 25 111.907626395621 0.0
25 2960 0.0 17.01167562893291
25 921 0.0 17.76861413543632
s 26 0.0 6.2607579737568715
t 26 55.30349599675998 0.0
26 691 0.0 20.125754436730315
26 54 0.0 23.76873879091531
t 27 492.7126842460102 0.0
27 6115 0.0 35.96746882575045
27 3943 0.0 30.66349092238624
27 1695 0.0 35.26123736082338
s 28 0.0 13.498762865676742
t 28 74.06005887483494 0.0
28 518 0.0 21.835534568566857
28 5129 0.0 12.220565975978486
s 29 0.0 9.352846639872967
t 29 28.945845273014626 0.0
29 1165 0.0 10.095576355762928
29 847 0.0 6.3411441423455
s 30 0.0 2.523460674635356
t 30 2.974807429782036 0.0
30 3466 0.0 2.3657980395957128
30 1307 0.0 3.3134617461832034
s 31 0.0 12.497578728226777
t 31 12.775231417327063 0.0
31 2126 0.0 10.29171060641982
s 32 0.0 5.823989657908796
t 32 56.59781240623687 0.0
32 2160 0.0 19.442021377629512
32 1145 0.0 20.432852631829604
s 33 0.0 5.741692201670057
t 33 8.902749740785675 0.0
33 5729 0.0 6.525625131186067
33 4676 0.0 3.1010891660810995
s 34 0.0 6.833526098109521
t 34 17.220952266812603 0.0
34 2704 0.0 6.751274239584499
34 5940 0.0 5.55755498341007
s 35 0.0 9.110732226668256
t 35 93.38202026668766 0.0
35 970 0.0 20.61226471786044
35 4621 0.0 21.647421067104144
s 36 0.0 13.984114890790648
t 36 200.37049541272455 0.0
36 5322 0.0 39.286733232382645
36 2475 0.0 31.422518520167493
s 37 0.0 23.422409352645005
t 37 47.20510710707959 0.0
37 3757 0.0 19.130594869965012
t 38 451.64964822467016 0.0
38 2647 0.0 19.232699680545352
38 3769 0.0 53.067342785182305
38 2523 0.0 47.28438902426339
s 39 0.0 13.219799408447626
t 39 116.42725611728746 0.0
39 1089 0.0 21.19350603838207
39 634 0.0 17.67233517591059
s 40 0.0 9.47165218887842
t 40 32.31085709181817 0.0
40 3637 0.0 7.802651863115424
40 5077 0.0 8.88124212617491
t 41 119.41496477841875 0.0
41 3632 0.0 18.774415551160235
41 3526 0.0 14.423312204803798
41 1767 0.0 17.47194535438534
t 42 1643.4676166759646 0.0
42 5009 0.0 187.52015965762445
42 2316 0.0 18.257452795420413
42 2572 0.0 183.25270898602764
t 43 115.28815280254139 0.0
43 2179 0.0 16.980656711539066
43 3940 0.0 19.22180729955159
43 3882 0.0 13.992072204902025
s 44 0.0 10.352229580855637
t 44 18.794289753789286 0.0
44 1909 0.0 10.714754367155852
44 3598 0.0 3.641097486046648
s 45 0.0 9.553641508158991
t 45 7.7770261691059 0.0
45 2139 0.0 1.6321821838250146
45 3375 0.0 9.577330128293251
s 46 0.0 15.192295560223123
t 46 75.73342202509049 0.0
46 2192 0.0 30.861319390209953
46 3395 0.0 17.19880310719047
s 47 0.0 10.554907536488667
t 47 98.51553046134171 0.0
47 3056 0.0 18.683598856292306
47 3697 0.0 21.839887493144296
s 48 0.0 11.951625065892024
t 48 94.1784616979055 0.0
48 1105 0.0 18.959408368592804
48 108 0.0 15.823070909191745
s 49 0.0 11.285017561117597
t 49 136.0815145827963 0.0
49 3552 0.0 25.62230753006769
49 2758 0.0 24.26046681238418
s 50 0.0 15.581970797843493
t 50 121.87111403755729 0.0
50 754 0.0 16.353266999059272
50 3450 0.0 19.016321494214196
s 51 0.0 8.478160843019458
t 51 82.95074233095498 0.0
51 2329 0.0 20.656213567097687
51 3404 0.0 19.6565229014923
s 52 0.0 5.083899415654857
t 52 131.88980304120844 0.0
52 5587 0.0 51.90913998466359
52 4957 0.0 52.00392126529841
t 53 193.88234098300222 0.0
53 2033 0.0 14.144300999629305
53 2753 0.0 27.869845953075735
53 3785 0.0 28.89497104139259
s 54 0.0 8.732452703796243
t 54 80.98047736525257 0.0
54 317 0.0 30.013668464369555
s 55 0.0 6.202124280742906
t 55 32.96321104424398 0.0
55 1723 0.0 12.838662461443962
55 525 0.0 10.676399132928804
s 56 0.0 12.974858477232951
t 56 17.271393777223224 0.0
56 984 0.0 9.88006417108633
t 57 34.14154960444947 0.0
57 2676 0.0 10.76484415822686
57 965 0.0 8.200491542206263
57 5436 0.0 8.439944693965707
t 58 39.787914535074464 0.0
58 64 0.0 16.280027350997308
58 3593 0.0 5.040969059009033
58 59 0.0 18.182006640315453
s 59 0.0 14.21124397542741
t 59 128.91678451479598 0.0
59 1816 0.0 23.799342989466975
t 60 170.71940065980775 0.0
60 5494 0.0 15.904573646619282
60 6407 0.0 22.149278202424068
60 5612 0.0 23.877679654704817
t 61 663.2862248770926 0.0
61 5588 0.0 37.74221901661813
61 4200 0.0 35.16054098789853
61 5566 0.0 50.89725220823681
s 62 0.0 14.35415877812328
t 62 122.89438843512082 0.0
62 4883 0.0 20.704298519447196
62 5286 0.0 17.337115198558045
t 63 239.22331011930328 0.0
63 4868 0.0 38.62708905310284
63 3498 0.0 12.400472461274633
63 5819 0.0 41.12925865857064
t 64 33.665699597206135 0.0
64 265 0.0 4.139578123146298
64 2655 0.0 16.96794088011169
s 65 0.0 17.712038783277197
t 65 145.45230156073075 0.0
65 2165 0.0 22.917470652780644
65 77 0.0 16.514869971460453
s 66 0.0 12.52794745677733
