c #vertices #edges weightDimension idOffset
mincutGraph 23 26 2 4976
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 3648 0.0 4.197889140055405
t 3648 4.275131912650765 0.0
3648 42438 0.0 2.0373999872025017
3648 11417 0.0 4.621518944165161
t 3425 30.82760951651607 0.0
3425 42274 0.0 4.604350646501223
3425 14898 0.0 6.6953401599900415
3425 31637 0.0 4.604350647088454
3425 16502 0.0 6.69534015926856
t 42274 4.445121094535573 0.0
t 8003 1.6878357722927215 0.0
8003 41170 0.0 2.2349583613365973
8003 13820 0.0 1.5104966933237802
t 42438 3.4658945002557697 0.0
t 16553 44.807082683056876 0.0
16553 19356 0.0 10.564874888484773
s 26156 0.0 3.402918064809641
t 26156 1.4468366558064827 0.0
t 14898 25.561804011718202 0.0
14898 17943 0.0 7.788500577929365
14898 19356 0.0 11.227005313546847
s 41170 0.0 5.062233381603476
t 41170 5.533253158656605 0.0
41170 42274 0.0 5.090713230513252
t 39092 8.971369800177884 0.0
t 31637 7.776472447106989 0.0
31637 42438 0.0 3.4477795026624074
t 16502 5.873851109326502 0.0
16502 41846 0.0 6.851166866684852
s 16630 0.0 5.072707544006401
t 16630 8.40531118702324 0.0
16630 39092 0.0 3.4932414375046537
16630 31637 0.0 5.169767508574284
s 41846 0.0 6.689606050300633
t 41846 4.947209418120244 0.0
s 8119 0.0 10.410337240797123
t 8119 8.333615973916794 0.0
8119 16553 0.0 8.611444049681955
s 17943 0.0 7.544626202015079
t 17943 7.294678921248737 0.0
17943 42274 0.0 1.9337416396588123
s 18136 0.0 6.02926575879386
t 18136 2.4254796582699125 0.0
18136 39092 0.0 5.184482977340929
s 11417 0.0 6.135457477395986
t 11417 4.064613941558941 0.0
s 22171 0.0 3.4022720349140285
t 22171 2.5161051529151535 0.0
22171 42438 0.0 3.7098670234513413
22171 41846 0.0 1.47907347037212
s 13820 0.0 2.0284575365350834
t 13820 1.5196169818550291 0.0
13820 26156 0.0 2.370445731242426
t 19356 34.25186026043032 0.0
19356 39092 0.0 6.633436534296821
s 11069 0.0 17.069249964937427
t 11069 36.18811663298999 0.0
11069 16553 0.0 12.424821177597531
s 702 0.0 2.0284575364652633
t 702 1.7811000321070902 0.0
702 8003 0.0 2.6830154363931293
702 16502 0.0 1.7561127113469561
