c #vertices #edges weightDimension idOffset
mincutGraph 9335 10529 2 1218
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 3027.186803620207 0.0
0 1094 0.0 748.7462050297208
0 6568 0.0 730.7817182101203
0 3675 0.0 19.741220469721473
s 1 0.0 15.141316508858537
t 1 9.688205090027218 0.0
1 8272 0.0 5.024274144668775
1 8770 0.0 20.040784442332022
s 2 0.0 12.196911460941983
t 2 24.829946237629894 0.0
2 1456 0.0 4.690218081347813
2 4124 0.0 15.0850463088842
s 3 0.0 28.977851268920606
t 3 385.24503372190645 0.0
3 992 0.0 31.993505845160442
3 2408 0.0 28.845416643183295
s 4 0.0 9.26822903106692
t 4 21.367760160708624 0.0
4 2786 0.0 7.08437870515996
4 3241 0.0 6.032550581818785
t 5 134.0747819111417 0.0
5 2705 0.0 28.264547903745516
5 2094 0.0 29.466594953846414
5 8863 0.0 9.494229307842108
s 6 0.0 10.480366641116618
t 6 41.72284316672125 0.0
6 3400 0.0 11.907366783382036
6 5065 0.0 8.1265353407948
s 7 0.0 7.152940503877923
t 7 21.643200995627396 0.0
7 6274 0.0 10.558262181689624
7 6861 0.0 6.234438101331444
s 8 0.0 18.132320135606516
t 8 118.48209291098237 0.0
8 6193 0.0 23.550116899654366
8 8150 0.0 13.149797475942483
t 9 213.3667027467422 0.0
9 3937 0.0 11.99194849281709
9 8233 0.0 40.76549638712151
9 5566 0.0 36.450513442632946
t 10 120.57415001075738 0.0
10 2819 0.0 19.87432088185228
10 2041 0.0 12.15666319926269
10 141 0.0 22.65088429314029
s 11 0.0 11.216083056749058
t 11 34.54856717676776 0.0
11 6823 0.0 9.106628150198556
11 699 0.0 7.634640936449983
s 12 0.0 8.702390474530697
t 12 72.18058642938524 0.0
12 1058 0.0 19.017646279842126
12 3285 0.0 16.59943456657268
s 13 0.0 8.332629050537857
t 13 592.5902682048514 0.0
13 900 0.0 145.5601718260871
13 4311 0.0 144.01929521938425
s 14 0.0 16.52114606313922
t 14 113.73681437387319 0.0
14 7984 0.0 15.070067768470167
14 2010 0.0 17.25189820143133
s 15 0.0 13.14766799682757
t 15 45.56454876934347 0.0
15 199 0.0 13.784936556858874
15 6828 0.0 7.039840644160458
t 16 53.66375811273513 0.0
16 1248 0.0 14.20386792752725
16 5783 0.0 7.93680778943598
16 3374 0.0 13.991466528624521
s 17 0.0 5.473333061308373
t 17 102.03514236633316 0.0
17 2955 0.0 37.50607841408589
17 3356 0.0 38.48674365635782
s 18 0.0 11.435477345041324
t 18 62.8766424041169 0.0
18 6042 0.0 11.071936222546466
18 4141 0.0 14.963312192833568
s 19 0.0 11.245367900482634
t 19 180.79575329142529 0.0
19 7747 0.0 32.240488042345284
19 6132 0.0 34.91084825855557
t 20 61.01718502257776 0.0
20 4675 0.0 10.09333183475916
20 1991 0.0 14.0987933178031
20 6287 0.0 12.419936384006137
t 21 167.89258126570206 0.0
21 5332 0.0 29.66844776143585
21 7284 0.0 12.513068779475665
21 7439 0.0 26.83512496702364
s 22 0.0 8.815086418650713
t 22 68.56802432103255 0.0
22 6945 0.0 15.601771513142316
22 3815 0.0 17.328912566017703
t 23 355.5650569743392 0.0
23 4660 0.0 27.4722269229096
23 6551 0.0 28.774979245168563
23 1787 0.0 29.86976606500381
t 24 6.918949861493309 0.0
24 869 0.0 3.7313893572207006
24 5498 0.0 7.028981480393958
24 9295 0.0 10.387036435808872
s 25 0.0 13.44357947645968
t 25 105.57462909825452 0.0
25 5052 0.0 20.88901198210769
25 6126 0.0 15.709756029840058
t 26 103.15944223349382 0.0
26 8448 0.0 35.49638242941738
26 996 0.0 5.817630409940604
26 575 0.0 35.725550226921314
t 27 34.70870521386659 0.0
27 2004 0.0 6.594750878831094
27 5892 0.0 11.303708526005162
27 3757 0.0 10.813179265754309
t 28 83.17421543131111 0.0
28 6966 0.0 22.212537274499716
28 1912 0.0 22.204131079182364
28 1498 0.0 7.602560315728431
s 29 0.0 10.82780245022067
t 29 41.088381052870965 0.0
29 1538 0.0 10.964112755674847
29 2231 0.0 8.129978560655214
s 30 0.0 7.642821898161239
t 30 43.918419065821276 0.0
30 8795 0.0 13.126032147967555
30 1406 0.0 11.566203907011165
s 31 0.0 13.63047462343318
t 31 22.473931054319717 0.0
31 8251 0.0 9.780677404696785
s 32 0.0 9.83475083146831
t 32 121.57840601332268 0.0
32 3075 0.0 25.026015345722197
32 5199 0.0 25.432479539726096
t 33 864.667315866036 0.0
33 6624 0.0 9.608804457926004
33 2449 0.0 207.10490014181258
33 5799 0.0 212.02395524631254
s 34 0.0 10.8514453667144
t 34 38.05156597277496 0.0
34 2866 0.0 12.906055760315082
34 5351 0.0 7.013200303459754
t 35 110.76531261878843 0.0
35 8434 0.0 22.993444750060274
35 7268 0.0 24.520825760839422
35 6311 0.0 9.644768593492442
t 36 254.0221254654336 0.0
36 1544 0.0 21.74190509495964
36 6057 0.0 24.004008374436136
36 3259 0.0 28.461298301172217
s 37 0.0 10.667895988923425
t 37 115.9936339351959 0.0
37 4053 0.0 24.133738617578857
37 7815 0.0 21.747237935396168
t 38 73.88515432602082 0.0
38 3402 0.0 16.6215535343353
38 891 0.0 11.280801234584924
38 6989 0.0 13.141227781956884
t 39 17.527466556413742 0.0
39 7528 0.0 3.7100772569614953
39 170 0.0 11.840521108657313
39 8094 0.0 10.050493978170628
s 40 0.0 10.872461296066245
t 40 50.634548037923594 0.0
40 9178 0.0 9.794288143276878
40 8525 0.0 12.177111119472212
s 41 0.0 11.414967971349256
t 41 268.4965907887869 0.0
41 4138 0.0 48.473546964850506
41 6879 0.0 52.41052063901836
s 42 0.0 9.874459533908233
t 42 112.39472618308955 0.0
42 4859 0.0 23.669321767008416
42 6047 0.0 23.016267491986476
s 43 0.0 4.174670185508269
t 43 3.638660185082385 0.0
43 4243 0.0 1.7462967994283403
43 6054 0.0 4.619976155081264
t 44 173.6943049966602 0.0
44 389 0.0 27.478200799865856
44 1672 0.0 30.293148256611467
44 6136 0.0 12.64243673285554
s 45 0.0 14.067387629748605
t 45 74.02405666366076 0.0
45 3799 0.0 16.04780192266251
45 9175 0.0 10.70377544453622
t 46 115.48430820680503 0.0
46 7856 0.0 16.222597155952723
46 2483 0.0 23.642106818511767
46 6606 0.0 14.482317492863912
s 47 0.0 16.776531739310904
t 47 33.32404170733579 0.0
47 5901 0.0 12.160228003348161
t 48 37.09082380943616 0.0
48 3920 0.0 16.682599970021627
48 4901 0.0 8.887321413519796
48 4283 0.0 10.027514940394191
s 49 0.0 5.820820328221776
t 49 30.53137502927316 0.0
49 371 0.0 15.254791924540694
49 4810 0.0 19.88778925271178
t 50 208.80014809153835 0.0
50 5635 0.0 19.430664450429237
50 4728 0.0 21.679196355236677
50 3148 0.0 27.14792549893592
s 51 0.0 11.046567943012441
t 51 136.3505552509232 0.0
51 1961 0.0 28.359979446937228
51 8621 0.0 24.857754826623882
t 52 62.20083088617244 0.0
52 1172 0.0 14.988925401331485
52 2549 0.0 8.663731962842204
52 5710 0.0 19.345179612689314
s 53 0.0 12.750327668333844
t 53 8.215107063134369 0.0
53 4054 0.0 39.11114211201854
53 5982 0.0 26.37108299345061
t 54 184.01498030102107 0.0
54 9058 0.0 18.858805621212277
54 6519 0.0 20.949792738917743
54 2940 0.0 22.520133987881973
s 55 0.0 11.305399282922249
t 55 119.57723011695211 0.0
55 6225 0.0 25.302063973688632
55 9193 0.0 21.310311698430002
s 56 0.0 7.217450985922539
t 56 26.411790312841696 0.0
