c #vertices #edges weightDimension idOffset
mincutGraph 14698 16263 2 1581
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 11.022170507643493
t 0 53.163361999033924 0.0
0 852 0.0 10.012717523217768
0 9110 0.0 12.751595268757354
s 1 0.0 3.029151356478274
t 1 2.11893035250272 0.0
1 13453 0.0 3.336619689088204
1 10031 0.0 1.3990257356873792
s 2 0.0 3.4823522035027725
t 2 28.4154755644928 0.0
2 14278 0.0 20.053013065932095
2 11623 0.0 22.257791557772986
t 3 98.706599872618 0.0
3 12503 0.0 25.827400670591096
3 858 0.0 23.197142795324172
3 11534 0.0 8.592744654600056
s 4 0.0 8.4881598850986
t 4 22.51526819886476 0.0
4 11388 0.0 7.136750389552123
4 111 0.0 6.476155499915085
s 5 0.0 7.014245867420989
t 5 53.789551205517625 0.0
5 12357 0.0 18.147333667201398
5 13432 0.0 22.68491608215361
s 6 0.0 9.86550466194539
t 6 54.38557850074756 0.0
6 4643 0.0 11.42540599652221
6 9855 0.0 12.989977661086241
t 7 293.16882226412713 0.0
7 9598 0.0 42.79566074371743
7 12431 0.0 35.35851210653486
7 13087 0.0 17.080493470511435
s 8 0.0 6.3938439236303894
t 8 18.53679309323936 0.0
8 12197 0.0 7.036560988913822
8 1725 0.0 6.278185872132996
t 9 59.04179954939693 0.0
9 8312 0.0 10.383751621595417
9 10058 0.0 11.764812360281093
9 10298 0.0 13.550722511638897
s 10 0.0 10.360208563949358
t 10 15.3920264216335 0.0
10 13763 0.0 12.884167029530278
10 10093 0.0 3.683319978627737
s 11 0.0 5.525578768492698
t 11 12.938118081099084 0.0
11 2783 0.0 4.826308628515429
11 6479 0.0 6.397189097246075
s 12 0.0 3.002600728431696
t 12 2.880711866000777 0.0
12 4402 0.0 3.9171683090015432
12 5807 0.0 1.962632678920965
t 13 220.65923024500762 0.0
13 14549 0.0 33.04238851902878
13 6550 0.0 13.371110058003916
13 1865 0.0 36.22706605641469
s 14 0.0 15.615567653582147
t 14 380.31902039416735 0.0
14 3462 0.0 49.01203072929264
14 12189 0.0 53.06250832175687
s 15 0.0 1.3508212617927642
t 15 0.5245938645644825 0.0
15 7555 0.0 0.7767035941798243
15 13772 0.0 1.5581997801374248
s 16 0.0 15.911461401011284
t 16 107.20613892111076 0.0
16 9393 0.0 15.266681638456697
16 7161 0.0 16.059351547272815
s 17 0.0 2.8525858948702276
t 17 3.989862075078149 0.0
17 7847 0.0 4.814292754126801
17 5772 0.0 7.325883702532252
s 18 0.0 8.423343982415762
t 18 61.24709565133479 0.0
18 13682 0.0 14.939794222537055
18 2758 0.0 18.75703925318725
s 19 0.0 9.02447774983378
t 19 52.22298927480114 0.0
19 1252 0.0 19.30472500598011
19 10644 0.0 13.2380133757587
t 20 136.83455615189183 0.0
20 8166 0.0 27.6338445582487
20 7129 0.0 21.857770181693322
20 11881 0.0 12.824699478572475
s 21 0.0 2.6818400553118225
t 21 12.693560896510114 0.0
21 11094 0.0 13.83482380162988
21 11833 0.0 12.01996373474255
t 22 47.15157507179353 0.0
22 12597 0.0 9.105549448921797
22 5254 0.0 10.861664595077817
22 8349 0.0 16.13998517193649
s 23 0.0 3.8245251207641795
t 23 1.7251119048896124 0.0
23 1845 0.0 2.7730309241799183
t 24 303.516515510481 0.0
24 4818 0.0 27.917317743033482
24 1752 0.0 21.749736201370126
24 4554 0.0 35.782876895638125
t 25 196.95421055358395 0.0
25 14034 0.0 53.93678355360375
25 8298 0.0 52.5832493687306
25 8894 0.0 7.5370664561391525
s 26 0.0 13.680339862326347
t 26 45.1025754658254 0.0
26 4954 0.0 7.306261595797712
26 8383 0.0 12.426965300916482
s 27 0.0 7.888537445156125
t 27 36.6637123559689 0.0
27 11269 0.0 10.08612887298754
27 6295 0.0 10.109236708472555
t 28 653.4395712403267 0.0
28 2848 0.0 36.025823247898764
28 4624 0.0 50.20038496766608
28 14078 0.0 36.30038254717262
s 29 0.0 13.21470933489427
t 29 32.934773306233865 0.0
29 3427 0.0 4.9870149164066415
29 12906 0.0 13.977337983011099
s 30 0.0 6.5640678192018616
t 30 23.96239499716047 0.0
30 12103 0.0 9.667762242398053
30 4585 0.0 14.823898476784517
s 31 0.0 4.0254304424278375
t 31 1.3633920646461843 0.0
31 14035 0.0 3.2814305247989477
s 32 0.0 12.58503609966799
t 32 107.60291231101263 0.0
32 10169 0.0 20.63216863838234
32 2031 0.0 17.13177433670662
t 33 43.17875114518416 0.0
33 9814 0.0 6.249983916667712
33 7674 0.0 13.96595681807637
33 8476 0.0 14.446499326320069
s 34 0.0 9.968854481437907
t 34 80.2639992937139 0.0
34 9522 0.0 17.622472649077302
34 14597 0.0 16.34632345062109
s 35 0.0 3.4287266862460983
t 35 40.01435529177727 0.0
35 8907 0.0 29.59792846795109
35 9486 0.0 27.622196415984636
s 36 0.0 12.170773801090514
t 36 86.6016322965817 0.0
36 11154 0.0 14.846970409323243
36 725 0.0 16.295691928246008
t 37 260.1874075420835 0.0
37 6589 0.0 29.758015062722972
37 10637 0.0 17.769858159349457
37 10958 0.0 31.83266366404646
t 38 27.524967830699072 0.0
38 2580 0.0 16.779997180377723
38 8808 0.0 17.79946137448284
38 9834 0.0 3.3575949285409012
t 39 56.3783045485058 0.0
39 3680 0.0 10.009734056618877
39 2834 0.0 12.168928416723144
39 7468 0.0 12.494958380617613
s 40 0.0 2.9262416634234154
t 40 18.479462604802755 0.0
40 6355 0.0 12.894458389092891
40 7612 0.0 12.634451578287026
s 41 0.0 3.5230215531649627
t 41 3.246237503603549 0.0
41 912 0.0 3.5669364278161657
41 10134 0.0 1.9016214003566587
s 42 0.0 4.730565871931505
t 42 38.1259803086766 0.0
42 5309 0.0 17.727015767571793
42 6365 0.0 16.334851143397405
s 43 0.0 6.229586105846931
t 43 32.13048819599953 0.0
43 2429 0.0 10.803180093636913
43 3549 0.0 10.748490010671057
s 44 0.0 10.042511067139445
t 44 45.54017981553248 0.0
44 593 0.0 12.863078111520984
44 8029 0.0 9.1161167787821
s 45 0.0 8.078998373855523
t 45 22.435228607925694 0.0
45 1634 0.0 6.491187617829102
45 4427 0.0 7.288091259130194
s 46 0.0 4.004008410478471
t 46 5.511119175706275 0.0
46 5123 0.0 4.384586144850064
46 12172 0.0 2.815587163284756
t 47 18.911698893816666 0.0
47 5632 0.0 9.973375936493944
47 6161 0.0 3.961878193715961
47 13069 0.0 9.607321641665612
s 48 0.0 5.648768957151825
t 48 14.526711780682867 0.0
48 12098 0.0 8.272149583620596
48 1321 0.0 5.20986284824399
s 49 0.0 9.313026696366004
t 49 24.522538121294616 0.0
49 1280 0.0 7.290057685245219
49 6121 0.0 6.781182826343293
t 50 378.7734922885165 0.0
50 208 0.0 27.99425207591314
50 418 0.0 32.78730222506667
50 3023 0.0 28.67380308216622
s 51 0.0 5.0420269252571766
t 51 7.944386098564189 0.0
51 13098 0.0 4.430448827633644
51 7804 0.0 3.69417173969148
t 52 57.10153379728314 0.0
52 2130 0.0 24.3686616532368
52 5930 0.0 21.284051576284792
52 11596 0.0 5.9138195435604235
s 53 0.0 4.23549004694755
t 53 15.545308796322951 0.0
53 6352 0.0 9.709682996284563
53 11009 0.0 7.64056701241207
t 54 216.9793502140248 0.0
54 9808 0.0 19.001096405518393
54 9253 0.0 23.473723750613726
54 11087 0.0 26.56982694985515
s 55 0.0 5.568333470569821
t 55 75.559420595167 0.0
55 9723 0.0 47.311282077929604
55 4814 0.0 42.86932402124919
s 56 0.0 9.897404035753683
t 56 176.5633411424717 0.0
56 7986 0.0 38.038693327052385
56 860 0.0 35.83030662389093
s 57 0.0 3.8294291551812076
t 57 11.472364895144644 0.0
57 13553 0.0 6.19947454621657
57 12684 0.0 6.395946812384772
s 58 0.0 5.660674571503497
t 58 3.91474093250093 0.0
58 7465 0.0 4.055480582071839
s 59 0.0 9.663334548590212
t 59 26.294979444769936 0.0
59 2226 0.0 10.310876275183643
59 7336 0.0 5.517062943676251
t 60 77.88995726321204 0.0
60 10048 0.0 13.54176530293802
60 6021 0.0 14.483320127572291
60 10362 0.0 25.129050168433317
s 61 0.0 5.556248745443578
t 61 12.851163789219422 0.0
61 11488 0.0 4.628004433694812
61 2365 0.0 7.339099094867449
t 62 64.67387825745533 0.0
62 9974 0.0 4.607997261278597
62 9703 0.0 28.52168603741812
62 13484 0.0 28.073824443011016
s 63 0.0 10.02819644737712
t 63 6.588040611782745 0.0
63 11169 0.0 11.12734754250616
63 1397 0.0 1.6641543209610528
s 64 0.0 2.2392296901359177
t 64 1.448663399217047 0.0
64 13514 0.0 1.4385959847875462
64 7295 0.0 2.0658244537520356
t 65 4934.151988647285 0.0
65 2246 0.0 209.21946772376265
65 8938 0.0 321.4919923832622
65 12794 0.0 118.57828567408013
s 66 0.0 4.3356301154447845
t 66 6.454423361456668 0.0
66 11361 0.0 3.711669893241245
66 14257 0.0 3.654681855321802
t 67 87.45407895991816 0.0
67 13033 0.0 7.4121262902172225
67 12652 0.0 24.55107819525342
67 3933 0.0 27.53433936018707
s 68 0.0 6.4504694865555186
t 68 10.35440744219617 0.0
68 1539 0.0 3.6854708529998024
68 10596 0.0 5.6428378775804955
s 69 0.0 10.28472879345645
t 69 148.77046924527187 0.0
69 502 0.0 29.282276371187955
69 5439 0.0 29.497922591976995
s 70 0.0 4.896574096111074
t 70 69.31300328120534 0.0
70 8675 0.0 28.365297765599824
70 6244 0.0 28.48434315626394
t 71 281.63736273701744 0.0
71 3186 0.0 39.726666043937456
71 6615 0.0 19.705263742604714
71 14316 0.0 29.652007600215427
s 72 0.0 11.286401551992034
t 72 36.69951526495918 0.0
72 6579 0.0 12.404913985335432
72 3030 0.0 6.543364144685029
s 73 0.0 9.121492752900318
t 73 5.829700805842076 0.0
73 2859 0.0 1.3011291611643474
73 14332 0.0 9.451340711629697
s 74 0.0 9.208051527277588
t 74 17.79026632932343 0.0
74 7880 0.0 9.590655561600888
74 4367 0.0 3.8879480112364337
s 75 0.0 6.0207643811690295
t 75 20.87466663749418 0.0
75 11923 0.0 6.939005064875222
75 11668 0.0 9.016563157058842
s 76 0.0 11.266282937864705
t 76 110.0270470290008 0.0
76 1718 0.0 22.22181508186809
76 11274 0.0 19.543540994596615
s 77 0.0 4.663881564323893
t 77 85.98779850844909 0.0
77 5511 0.0 44.44628433671907
77 9663 0.0 47.20903297815559
s 78 0.0 6.571268557138842
t 78 64.73987755956709 0.0
78 10881 0.0 26.417091070486215
78 8667 0.0 22.578497848773736
s 79 0.0 8.531825799394971
t 79 17.25235898918162 0.0
79 6004 0.0 4.687554593231586
79 12574 0.0 7.370403301678053
t 80 1278.6129585353538 0.0
80 9362 0.0 15.596540417288322
80 14636 0.0 166.65311218898324
80 1357 0.0 170.13847342670104
s 81 0.0 3.736451212020336
t 81 7.704218318829321 0.0
81 11330 0.0 9.535572597128086
81 474 0.0 6.374799848018773
t 82 192.610497166877 0.0
82 2694 0.0 14.4338776164361
82 5082 0.0 26.81168104661413
82 1437 0.0 29.20867136993537
s 83 0.0 13.611855270253814
t 83 45.320167945280886 0.0
83 12666 0.0 12.655971543525661
83 11755 0.0 7.2429191368394665
s 84 0.0 14.497293356995627
t 84 27.271829954880683 0.0
84 3271 0.0 3.762334014124194
84 13246 0.0 14.977538913917549
t 85 34.45707092248105 0.0
85 4914 0.0 13.892701928798179
85 1642 0.0 20.438080601587785
85 8010 0.0 7.734451910261978
s 86 0.0 3.980949501836088
t 86 34.11469778191496 0.0
86 5203 0.0 17.25936744581479
86 711 0.0 17.249090926270558
t 87 61.207405364525435 0.0
87 5824 0.0 10.030424467007478
87 6081 0.0 15.609101538036617
87 4404 0.0 12.208015544808664
s 88 0.0 1.8242972218772864
t 88 1.562153877317948 0.0
88 8258 0.0 2.8424789674294484
88 5893 0.0 1.7693095210213647
s 89 0.0 1.4701656287637108
t 89 0.6754334298224489 0.0
89 9443 0.0 0.9231432275687954
89 5260 0.0 1.658978918015605
s 90 0.0 6.396699937597606
t 90 51.625287360748864 0.0
90 6775 0.0 16.841692332144497
90 5257 0.0 16.21935747260109
s 91 0.0 1.19758177936022
t 91 0.4481881621944117 0.0
91 5566 0.0 1.0368434786543388
91 8638 0.0 0.889219740345425
s 92 0.0 7.84640648291453
t 92 74.56068669244196 0.0
92 673 0.0 19.917069241877332
92 1937 0.0 19.098643483705466
s 93 0.0 11.43876886240716
t 93 102.3389169636577 0.0
93 7431 0.0 28.633754562468987
93 8154 0.0 20.9600389966954
s 94 0.0 5.323039412781286
t 94 43.070038548221326 0.0
94 10144 0.0 16.848799290157128
94 578 0.0 16.19482280561324
t 95 15.253476304726899 0.0
95 8513 0.0 5.605772438240744
95 7128 0.0 10.447582920997739
95 1450 0.0 6.370935634362242
s 96 0.0 19.851971339081352
t 96 48.81825222514313 0.0
96 9024 0.0 22.013407494991707
96 4709 0.0 5.173485123240816
s 97 0.0 6.341659994292476
t 97 57.41241988287691 0.0
97 1875 0.0 18.336312906378417
97 4647 0.0 18.431674009797984
s 98 0.0 7.4276427062270045
t 98 32.93032109039105 0.0
98 12418 0.0 9.017384683235646
98 6183 0.0 12.68260070936574
s 99 0.0 3.114045271090597
t 99 40.463869354734165 0.0
99 13860 0.0 28.41055910101334
99 6607 0.0 27.301284983965708
s 100 0.0 15.382487608439645
t 100 162.3328016240569 0.0
100 12693 0.0 21.489024131699434
100 1356 0.0 28.68160877515065
t 101 12.18407354726774 0.0
101 9089 0.0 1.2706740879696372
101 14465 0.0 19.301085975147338
101 5820 0.0 19.19898509617109
s 102 0.0 11.402077693842546
t 102 45.48060146932587 0.0
102 922 0.0 11.396648334042881
102 6459 0.0 8.619192980414777
s 103 0.0 7.019371635828272
t 103 66.98484881821972 0.0
103 7476 0.0 19.987462842353473
103 11766 0.0 19.116442658517816
s 104 0.0 1.8791521320996045
t 104 1.1035039802554154 0.0
104 2691 0.0 1.3720352611749729
104 1225 0.0 1.657692191237542
s 105 0.0 3.8370397139675396
t 105 3.867525495625403 0.0
105 7602 0.0 5.403921457605836
105 10537 0.0 2.3342372515002614
s 106 0.0 10.082315872611586
t 106 14.921702702447003 0.0
106 8226 0.0 2.9747014911684593
106 2745 0.0 10.224515955778738
t 107 102.17403275320294 0.0
107 9207 0.0 23.819876492721207
107 4474 0.0 8.6283775296566
107 2731 0.0 24.45144543472691
s 108 0.0 2.7701059281483635
t 108 1.636104616881076 0.0
108 9239 0.0 1.1939475328036795
108 11981 0.0 2.8525702032400755
t 109 27.190738450403643 0.0
109 4512 0.0 13.648006419398735
109 10387 0.0 6.889377990246116
109 9434 0.0 8.962277174192163
s 110 0.0 10.300022673290574
t 110 36.61894344697224 0.0
110 12287 0.0 7.979149552380648
110 12479 0.0 9.755732163524947
t 111 21.547295607515697 0.0
111 3920 0.0 10.093816162398904
111 9450 0.0 6.746888708618176
t 112 27.93213132137835 0.0
112 8193 0.0 8.141289090794455
112 8644 0.0 10.477162688057929
112 2901 0.0 6.865494772864195
t 113 141.02101524425055 0.0
113 545 0.0 18.94206860041555
113 5307 0.0 17.36796557930454
113 6974 0.0 17.936661018433195
t 114 88.01805520696276 0.0
114 9686 0.0 20.818438198046636
114 9867 0.0 10.84153134327357
114 8780 0.0 16.383914727236927
s 115 0.0 6.018323159474503
t 115 15.386488870540928 0.0
115 13158 0.0 7.797927819784251
115 3278 0.0 5.1148877565340465
t 116 17.095474784008545 0.0
116 1415 0.0 10.521094528888346
116 10185 0.0 5.106966583875364
116 2717 0.0 14.821326960075105
s 117 0.0 4.7648727624703
t 117 11.72954513816633 0.0
117 3420 0.0 5.834052007058245
117 5071 0.0 5.187687157893446
s 118 0.0 5.342406351788478
t 118 42.04248238474185 0.0
118 6696 0.0 15.739156024735438
118 13578 0.0 16.622337005822303
s 119 0.0 12.564142408171346
t 119 19.112490358295023 0.0
119 4687 0.0 9.030556428912023
t 120 115.35896143378838 0.0
120 2818 0.0 15.532901599929446
120 12249 0.0 15.15538597311835
120 7531 0.0 19.428142163069925
s 121 0.0 4.6838914377794225
t 121 111.82593338866076 0.0
121 4702 0.0 49.668827686023896
121 14591 0.0 48.58832363286936
t 122 155.41172587172568 0.0
122 4209 0.0 25.65166123895667
122 3414 0.0 17.878086024116435
122 2414 0.0 17.413496249792683
s 123 0.0 10.974420676517624
t 123 104.48782747724243 0.0
123 9496 0.0 20.631549180157258
123 10443 0.0 19.282156793606326
s 124 0.0 8.041379375347116
t 124 38.853152496841105 0.0
124 3088 0.0 13.720146612292051
124 2639 0.0 9.811420549568052
s 125 0.0 14.634060092669854
t 125 79.73163626803648 0.0
125 4866 0.0 11.073670082313242
125 2838 0.0 16.70549807314314
t 126 98.86171120430271 0.0
126 9552 0.0 15.045022588591191
126 7317 0.0 14.390888028435402
