c #vertices #edges weightDimension idOffset
mincutGraph 12 11 2 4719
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 28176 0.0 6.026533200067281
t 28176 4.455625400846393 0.0
28176 40045 0.0 4.401502845903589
s 18545 0.0 7.5053647856063375
t 18545 6.640624590194674 0.0
18545 20375 0.0 5.502942627908157
t 29763 23.023507503381115 0.0
s 12597 0.0 6.771723324887521
t 12597 2.9658777824624094 0.0
s 6391 0.0 5.9636350151601105
t 6391 17.33457803111616 0.0
6391 12597 0.0 5.8394688022991685
6391 9321 0.0 8.73125305909783
t 20375 10.022092953165156 0.0
20375 29763 0.0 5.939027869401731
20375 36365 0.0 3.7318670925827315
s 21367 0.0 5.317726265166398
t 21367 1.6044558157671982 0.0
s 7000 0.0 6.446966572229877
t 7000 15.109465995669044 0.0
7000 29763 0.0 7.909337782767125
7000 21367 0.0 4.6879294065072745
t 9321 27.856269132792676 0.0
9321 29763 0.0 8.902808757335736
s 2091 0.0 11.540098821763646
t 2091 13.431110599516874 0.0
2091 9321 0.0 6.86143201371244
s 36365 0.0 3.4097355363843724
t 36365 4.460345022298558 0.0
36365 40045 0.0 2.7212104358191085
s 40045 0.0 4.290120181955389
t 40045 5.610957014141588 0.0
