c #vertices #edges weightDimension idOffset
mincutGraph 28517 31961 2 3475
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 10.51545003625373
t 0 169.9515865427824 0.0
0 19251 0.0 40.59138974508625
0 1214 0.0 35.24033713994273
t 1 72.54531892260766 0.0
1 21684 0.0 20.821348866109428
1 11351 0.0 7.51186831095752
1 9775 0.0 19.316658637316177
t 2 128.2776470958238 0.0
2 8193 0.0 28.693321893384038
2 931 0.0 11.501562524922141
2 11231 0.0 23.24701814976153
t 3 201.32438906036194 0.0
3 16081 0.0 9.73672897834883
3 4345 0.0 41.57557994110729
3 13086 0.0 41.71068237041538
s 4 0.0 9.383844055443486
t 4 8.238571919168306 0.0
4 10534 0.0 7.4171764943006515
s 5 0.0 9.564629044625331
t 5 9.58988011385993 0.0
5 26817 0.0 7.2528080391395875
t 6 1051.8914258793466 0.0
6 4532 0.0 68.56954168662061
6 19156 0.0 56.00346923084105
6 12093 0.0 37.589855769036305
s 7 0.0 9.022995724658909
t 7 70.5510859234233 0.0
7 28200 0.0 16.558928767548355
7 14202 0.0 16.042142467769658
s 8 0.0 5.280370050310833
t 8 3.2702026322758933 0.0
8 12614 0.0 3.848709543530366
s 9 0.0 9.558012257130635
t 9 50.94322826905571 0.0
9 12849 0.0 12.857017889758046
9 10468 0.0 19.851202504533056
s 10 0.0 8.141028284188186
t 10 84.441051343559 0.0
10 16520 0.0 20.744566654652132
10 10030 0.0 22.285724389260718
s 11 0.0 8.811820996007269
t 11 80.97434115172976 0.0
11 24874 0.0 18.587642210396087
11 5805 0.0 19.343071756970627
s 12 0.0 13.989247234052984
t 12 22.046430054080258 0.0
12 21717 0.0 10.378553541299803
s 13 0.0 17.30273154210641
t 13 152.3084614098999 0.0
13 13906 0.0 17.648439477965645
13 20971 0.0 25.565788102871487
t 14 52.31750508902019 0.0
14 18069 0.0 14.065602465658959
14 20887 0.0 16.81097822594671
14 953 0.0 7.507300812948981
s 15 0.0 11.656874193098734
t 15 119.83913700351732 0.0
15 11282 0.0 22.65270109769193
15 862 0.0 20.67318620491889
t 16 73.94952098477862 0.0
16 19285 0.0 18.512102041776863
16 6151 0.0 7.990676742653037
16 2587 0.0 20.027236202574965
s 17 0.0 4.26717763954892
t 17 16.85325089322246 0.0
17 23521 0.0 8.680943843148832
17 24622 0.0 11.148830270358435
s 18 0.0 4.53732886638729
t 18 22.693461380549227 0.0
18 18984 0.0 10.938943526610046
18 11982 0.0 13.43217962676602
s 19 0.0 5.94288945894187
t 19 75.05281438066017 0.0
19 19110 0.0 27.56416956562724
19 19070 0.0 30.434929834029575
t 20 66.8406298472658 0.0
20 12459 0.0 10.592654627130095
20 26509 0.0 18.182508521005293
20 19439 0.0 12.864805293449358
s 21 0.0 11.474575872548826
t 21 35.95330039482613 0.0
21 18442 0.0 6.462315679201888
21 11453 0.0 11.71346983849741
t 22 69.24483243750666 0.0
22 2673 0.0 18.86670387578136
22 21028 0.0 10.279221103414592
22 5081 0.0 13.787323186328893
s 23 0.0 33.32989546555818
t 23 35.43697504544002 0.0
23 10490 0.0 31.13231797409424
s 24 0.0 9.857846758051746
t 24 37.98101881559061 0.0
24 21685 0.0 8.156563836160151
24 16443 0.0 10.534896791071594
s 25 0.0 4.39783237522443
t 25 5.587406485647581 0.0
25 6119 0.0 4.544017532063458
25 11199 0.0 2.6180785627236243
s 26 0.0 4.438427537819889
t 26 21.117599745207265 0.0
26 15505 0.0 23.64667311866654
26 28441 0.0 19.664765109167362
s 27 0.0 14.188357710709706
t 27 181.66076884394445 0.0
27 17261 0.0 27.009776019278846
27 367 0.0 26.211593628822325
s 28 0.0 10.114754156043006
t 28 46.65817337872731 0.0
28 4388 0.0 12.969074415424771
28 5863 0.0 9.279782851929461
s 29 0.0 10.593991719620307
t 29 273.95330638412366 0.0
29 24642 0.0 53.51924127797918
29 1390 0.0 51.81577965466298
s 30 0.0 13.340405523420815
t 30 80.77179474452652 0.0
30 665 0.0 25.86531147678144
30 17161 0.0 15.400488113738163
s 31 0.0 15.597064907295733
t 31 80.41856445964862 0.0
31 14647 0.0 12.036214781749397
31 14829 0.0 13.94639104337872
s 32 0.0 17.996634720526135
t 32 280.70692249962224 0.0
32 7943 0.0 31.23633233275946
32 1608 0.0 35.24361638587372
t 33 249.12682519945193 0.0
33 11106 0.0 31.717555459850374
33 15128 0.0 42.90911006188302
33 21695 0.0 17.7263041577574
s 34 0.0 9.563097653918371
t 34 104.15439342679252 0.0
34 18632 0.0 23.67461245182246
34 23404 0.0 21.784482307564325
t 35 291.3736670920306 0.0
35 21699 0.0 14.085847672329361
35 22680 0.0 41.59410561534957
35 23498 0.0 45.273073383908745
s 36 0.0 9.36173965941753
t 36 98.6154197781826 0.0
36 23683 0.0 21.073165295670623
36 3645 0.0 22.86439168722111
s 37 0.0 11.605659581753846
t 37 42.091041977813894 0.0
37 4119 0.0 9.029893982819852
37 19821 0.0 9.56006717423344
s 38 0.0 8.365525070854416
t 38 6.358429761454862 0.0
38 25264 0.0 6.674283283090179
38 26865 0.0 14.941915615747241
s 39 0.0 7.853620150076785
t 39 29.73320585924433 0.0
39 9370 0.0 9.785007298165459
39 11645 0.0 7.750767950772874
t 40 100.1969696681201 0.0
40 18067 0.0 10.545351507775075
40 11831 0.0 19.02407150107723
40 9432 0.0 21.313540358495665
s 41 0.0 13.158867930388835
t 41 17.611315457094424 0.0
41 23388 0.0 10.132918466769286
t 42 110.25397717922115 0.0
42 10561 0.0 15.917615844484656
42 11914 0.0 18.62116799428471
42 683 0.0 14.282064459981124
t 43 55.24452510302116 0.0
43 16161 0.0 19.536055603530333
43 14884 0.0 13.126739794275949
43 20378 0.0 9.545947098515583
s 44 0.0 18.929821363591852
t 44 201.81016522269312 0.0
44 871 0.0 22.579700085618423
44 1067 0.0 24.224989144740853
s 45 0.0 5.912949996485897
t 45 16.160618542190868 0.0
45 2166 0.0 5.508602573002306
45 7111 0.0 8.566041941931674
s 46 0.0 9.86392047977135
t 46 238.33789265492337 0.0
46 6481 0.0 50.055388128277485
46 26264 0.0 53.48105752542208
s 47 0.0 5.089523482039508
t 47 22.927524313758614 0.0
47 26965 0.0 10.028637420598917
47 26972 0.0 9.03570362928308
t 48 25.78802298051888 0.0
48 27051 0.0 8.143828105859365
48 22285 0.0 8.223020832068455
48 2398 0.0 6.965077844731184
t 49 1340.889465508223 0.0
49 12928 0.0 31.89841041144776
49 5896 0.0 84.39240699993191
49 10200 0.0 87.58560463034189
t 50 130.99359318302115 0.0
50 8040 0.0 10.523761796571028
50 19068 0.0 24.904356841943674
50 12991 0.0 26.767029785082233
s 51 0.0 11.469519613207398
t 51 93.28959356597099 0.0
51 14768 0.0 18.727734608895005
51 27991 0.0 16.414214429046115
s 52 0.0 8.752518864749128
t 52 203.75917095093155 0.0
52 5523 0.0 69.08237124235586
52 21590 0.0 75.7782487206074
s 53 0.0 4.741448597306463
t 53 7.02541712494349 0.0
53 5624 0.0 4.351498973185789
53 23070 0.0 3.346586558386862
t 54 53.841074499110654 0.0
54 7681 0.0 15.965326184120835
54 14984 0.0 9.563691830646293
54 22638 0.0 11.395449943430888
s 55 0.0 14.42955155116433
t 55 107.47927779627477 0.0
55 3459 0.0 14.922467124361065
55 20868 0.0 20.144356500869147
t 56 63.85588009761512 0.0
56 23447 0.0 14.828776195510335
56 16488 0.0 10.353456225083912
56 4445 0.0 12.516588604297718
s 57 0.0 10.27900985421991
t 57 8.217553330339758 0.0
57 24811 0.0 3.77571816111182
57 9199 0.0 13.792463046653067
s 58 0.0 10.127124286030838
t 58 12.551429185647114 0.0
58 21194 0.0 7.248409944779765
s 59 0.0 6.4621666476160735
