c #vertices #edges weightDimension idOffset
mincutGraph 14640 16121 2 1499
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 5.688834816267778
t 0 22.06130043572839 0.0
0 5537 0.0 9.19074674817826
0 6717 0.0 7.792940128979203
t 1 66.57116682030568 0.0
1 215 0.0 23.716754838238725
1 4503 0.0 6.1392126757935
1 5691 0.0 26.796282591763433
t 2 19.287855175280406 0.0
2 5076 0.0 8.594438767604743
2 8760 0.0 4.515050447435845
2 3183 0.0 9.264886367942058
s 3 0.0 7.400250929793428
t 3 5.373609520568248 0.0
3 11407 0.0 5.769367519810058
s 4 0.0 4.27212676812455
t 4 85.8290207393606 0.0
4 9281 0.0 40.67693984092892
4 6622 0.0 40.233746168286146
t 5 22.313840329907535 0.0
5 5493 0.0 7.1322434666620484
5 13957 0.0 9.204616154180956
5 2329 0.0 6.268791223054479
s 6 0.0 7.629863042021189
t 6 32.83934060762391 0.0
6 7382 0.0 17.645140484333275
6 6264 0.0 11.598305822197908
s 7 0.0 4.888956928524021
t 7 3.048897484382297 0.0
7 14200 0.0 1.2493242952796748
7 7209 0.0 4.975999721029653
s 8 0.0 9.029203217450881
t 8 65.5539218321644 0.0
8 10696 0.0 15.570610060870116
8 5305 0.0 14.914929491406083
t 9 303.38978738503994 0.0
9 12866 0.0 36.9578062968524
9 11915 0.0 19.006726547242
9 14286 0.0 31.926806024619044
s 10 0.0 8.816615831457272
t 10 62.63627246942699 0.0
10 6832 0.0 15.107962684046564
10 8800 0.0 14.67802256423221
t 11 8.35100101020667 0.0
11 3605 0.0 7.630027861645295
11 12377 0.0 5.213393823607799
11 7678 0.0 3.632170143883164
s 12 0.0 8.479041991445667
t 12 96.53516161949491 0.0
12 7111 0.0 23.79652711102845
12 5917 0.0 22.824095373861542
t 13 104.50925793908897 0.0
13 8889 0.0 15.212118560311264
13 12621 0.0 30.439695385250285
13 2830 0.0 18.20980868824685
s 14 0.0 12.231093317131291
t 14 240.84031508946305 0.0
14 13458 0.0 39.38836042429195
14 7850 0.0 41.02751594670095
s 15 0.0 9.033500841990806
t 15 56.40934441230596 0.0
15 3443 0.0 15.307897570126709
15 9974 0.0 12.490240427534149
s 16 0.0 6.6835490253659104
t 16 20.608593795589798 0.0
16 2039 0.0 25.043197326570827
16 2103 0.0 18.63827414271545
t 17 47.157124500977055 0.0
17 7908 0.0 13.306232016681697
17 6088 0.0 9.876316965450465
17 13439 0.0 9.569007737146654
s 18 0.0 6.611490264733773
t 18 32.79445708265283 0.0
18 5377 0.0 12.55600173506896
18 14152 0.0 17.410837464399844
s 19 0.0 0.429691256891596
t 19 2.3611041194654625 0.0
19 7163 0.0 11.754081705131355
19 7023 0.0 11.60861811933014
s 20 0.0 4.428991516517694
t 20 1.1753443482901207 0.0
20 9909 0.0 3.8656908356518116
s 21 0.0 12.730950382665071
t 21 94.60933690104748 0.0
21 6636 0.0 15.46239793294457
21 12430 0.0 17.1054766029808
s 22 0.0 10.035832291846353
t 22 4.912130971344148 0.0
22 5837 0.0 17.442222468463992
22 79 0.0 7.443549035553273
t 23 160.74480774175962 0.0
