c #vertices #edges weightDimension idOffset
mincutGraph 5575 6158 2 604
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 350.0064070914384 0.0
0 2233 0.0 38.98539560150238
0 1228 0.0 33.826176979922266
0 2189 0.0 20.709361649944945
t 1 362.1515764555197 0.0
1 712 0.0 24.249482839041043
1 682 0.0 32.030139700666396
1 2509 0.0 32.450015671318624
s 2 0.0 2.825093724717089
t 2 0.9458399689257133 0.0
2 4332 0.0 2.054504526691208
s 3 0.0 18.274962550266295
t 3 41.736443256954345 0.0
3 197 0.0 12.9185330755352
t 4 299.1102805422482 0.0
4 1586 0.0 34.6203221228813
4 276 0.0 26.256799502863746
4 4974 0.0 22.784244899335512
s 5 0.0 17.804932239626527
t 5 32.5948371805916 0.0
5 3290 0.0 13.65611917487002
s 6 0.0 8.723531144258454
t 6 264.3421898856151 0.0
6 4194 0.0 80.32465776390589
6 3541 0.0 86.30133171618525
s 7 0.0 9.34419781056097
t 7 105.62421787422772 0.0
7 666 0.0 31.489575802124584
7 942 0.0 25.869931203301604
s 8 0.0 13.329437333662163
t 8 111.21258157092393 0.0
8 3875 0.0 18.99771446696517
8 1252 0.0 17.219089243514322
s 9 0.0 6.541648740222626
t 9 25.775742889210107 0.0
9 3777 0.0 27.778296077898144
9 397 0.0 21.585335445213573
s 10 0.0 6.624346232562573
t 10 118.38522004805003 0.0
10 199 0.0 35.87269813724553
10 108 0.0 35.920341347246996
s 11 0.0 8.95798333162567
t 11 114.09457266186584 0.0
11 4489 0.0 30.265578349691886
11 5486 0.0 35.903544347363855
s 12 0.0 9.087718266828867
t 12 109.28764638994 0.0
12 5496 0.0 24.541727519972785
12 3180 0.0 27.813175456959858
s 13 0.0 12.59520441916397
t 13 218.69182889031003 0.0
13 2581 0.0 35.81409697245771
13 3353 0.0 34.93732978235227
s 14 0.0 5.336828035382495
t 14 2.0458262487769066 0.0
14 3943 0.0 1.0553384203971463
14 1148 0.0 6.110333126530561
s 15 0.0 12.399088902573919
t 15 172.13754730746547 0.0
15 1347 0.0 27.87153894615968
15 4228 0.0 31.47388616972817
s 16 0.0 13.902628291075969
t 16 327.99238145482326 0.0
16 2640 0.0 47.67343273077805
16 5156 0.0 47.71400810498634
t 17 34.58501425181181 0.0
17 2713 0.0 39.276416618479544
17 1884 0.0 23.78712957700181
17 4445 0.0 15.653949511658489
t 18 93.88473921964564 0.0
18 3984 0.0 7.166342711338966
18 4882 0.0 26.532293167902758
18 2055 0.0 26.371652772776972
s 19 0.0 5.850840344695911
t 19 0.12627226555676518 0.0
19 5578 0.0 0.07282531787329095
19 956 0.0 5.9096530126944185
t 20 320.44520242032723 0.0
20 5460 0.0 35.740495416091655
20 3925 0.0 42.846919910620564
20 2022 0.0 18.21044870169237
t 21 2424.813446056486 0.0
21 609 0.0 84.70086491014555
21 1186 0.0 102.0959319042788
21 234 0.0 57.256185833087486
s 22 0.0 9.78856398131494
t 22 144.62063420087367 0.0
22 83 0.0 33.406129813991946
22 3165 0.0 30.111686410884815
s 23 0.0 19.467403861291267
t 23 47.36672309396376 0.0
23 2598 0.0 13.70541538358106
t 24 48.62458388568631 0.0
24 5394 0.0 24.419814104635662
24 3037 0.0 26.60355182518605
24 4926 0.0 4.405540906515568
s 25 0.0 7.199109387606312
t 25 96.61512470657148 0.0
25 5136 0.0 26.983089208638127
25 597 0.0 28.631318665175897
s 26 0.0 9.937347104004166
t 26 181.81101426311756 0.0
26 882 0.0 48.64938811218318
26 46 0.0 42.75904512954199
s 27 0.0 7.404586260135212
t 27 75.33151597319815 0.0
27 405 0.0 20.449321064476074
27 539 0.0 21.04243201456639
s 28 0.0 11.495807180103695
t 28 212.65987622668595 0.0
28 2496 0.0 38.99192653607925
28 4201 0.0 43.99485026341001
s 29 0.0 9.691184840519973
t 29 9.74009978811129 0.0
29 3573 0.0 7.412879330287381
s 30 0.0 10.29842279210439
t 30 101.01628444595147 0.0
30 434 0.0 22.110991296340032
30 788 0.0 19.618064109775467
s 31 0.0 13.419592798574026
t 31 112.19550413450392 0.0
31 3765 0.0 16.72219441194414
31 1741 0.0 21.323658008816466
s 32 0.0 11.33193979502987
t 32 16.036748937680045 0.0
32 2337 0.0 8.017888432026057
t 33 457.7570239535287 0.0
33 3203 0.0 31.534091817080036
33 2264 0.0 32.44975232236527
33 4586 0.0 33.66339690016361
t 34 1831.8646572230784 0.0
34 709 0.0 56.68633115907892
34 1847 0.0 66.59202762093297
34 4239 0.0 76.35080322053848
t 35 624.1211690484819 0.0
35 516 0.0 43.42475548525622
35 470 0.0 30.534658364325242
35 607 0.0 43.85784723585245
t 36 331.4770075490275 0.0
36 434 0.0 22.58179500966711
36 4614 0.0 33.46557175960101
36 5366 0.0 30.072665846580573
s 37 0.0 9.951125111493898
t 37 68.78064786678745 0.0
37 5510 0.0 13.828008008362335
37 4251 0.0 16.833412267090793
s 38 0.0 7.838152285078521
t 38 570.1825678155168 0.0
38 3829 0.0 198.6152407939605
38 2429 0.0 204.03185546080553
t 39 155.79526694023627 0.0
39 3441 0.0 26.05223446602523
39 5228 0.0 24.684421767476522
39 2317 0.0 12.764340274336313
s 40 0.0 2.989346927526065
t 40 60.21995682821971 0.0
40 2289 0.0 40.4279562422794
40 524 0.0 40.78391615151752
t 41 319.11156410143394 0.0
41 4924 0.0 37.75439943245127
41 2557 0.0 48.91520208932568
41 2685 0.0 18.765339093603735
s 42 0.0 13.931329297026783
t 42 88.61676009299265 0.0
42 3066 0.0 16.778406255549715
42 47 0.0 13.069057694134749
s 43 0.0 11.441830329591845
t 43 277.2853182806058 0.0
43 1137 0.0 51.60281316581136
43 1000 0.0 56.55996707748796
s 44 0.0 9.21209609826836
t 44 84.54012636947684 0.0
44 3061 0.0 18.86746653118665
44 2744 0.0 18.981849513367326
s 45 0.0 4.192147360325718
t 45 1.8318379229709405 0.0
45 1924 0.0 4.972653873419571
45 2999 0.0 1.1216627115650288
t 46 182.7831891903648 0.0
46 3152 0.0 9.141473676120897
46 2754 0.0 46.78313609418508
s 47 0.0 15.154240589546577
t 47 96.40141995770496 0.0
47 3597 0.0 17.602951063167588
t 48 530.2945574954807 0.0
48 2912 0.0 45.92114326449108
48 3312 0.0 42.483418555598206
48 156 0.0 25.27394540858764
s 49 0.0 4.944334620694492
t 49 6.1503552271444555 0.0
49 1218 0.0 6.852228097216866
49 413 0.0 2.8746890835222625
s 50 0.0 1.111979696336076
t 50 0.3864058890720807 0.0
50 419 0.0 1.0248911812901755
