c #vertices #edges weightDimension idOffset
mincutGraph 7150 7755 2 623
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 2.999744915798804
t 0 0.98297128495739 0.0
0 2837 0.0 2.2462923730012347
s 1 0.0 5.771855426720942
t 1 28.113738732694735 0.0
1 4099 0.0 11.1328153981397
1 1134 0.0 14.814218244797104
s 2 0.0 16.29521624517262
t 2 30.07271027747587 0.0
2 5970 0.0 17.957563408061095
2 2661 0.0 3.906283200596884
s 3 0.0 6.711265406466416
t 3 10.10579199921241 0.0
3 5304 0.0 3.0487881160390846
3 3854 0.0 6.925549341571807
t 4 114.60319526164312 0.0
4 5457 0.0 21.11688843710056
4 4676 0.0 15.767942510461351
4 4836 0.0 14.543209090751306
s 5 0.0 4.845094273799063
t 5 11.842155724676182 0.0
5 1521 0.0 5.0091836090953
5 6372 0.0 7.691934428609257
t 6 134.35898677626264 0.0
6 5008 0.0 21.32889233049614
6 1241 0.0 24.172845025001003
6 4783 0.0 12.618147217689247
s 7 0.0 8.261140481493678
t 7 15.815901633206991 0.0
7 6768 0.0 7.751018545453545
7 1031 0.0 4.120360897921797
s 8 0.0 7.684253164568392
t 8 130.06777104550798 0.0
8 2725 0.0 35.23350494038241
8 2463 0.0 38.08585639822445
t 9 11.477797698397547 0.0
9 6163 0.0 6.504558532178865
9 2964 0.0 6.200248088637477
9 4212 0.0 3.7991769736149585
t 10 233.08805005294096 0.0
10 4401 0.0 37.901082795891845
10 5490 0.0 33.03347248351186
10 489 0.0 14.273917554173513
s 11 0.0 10.538621282673583
t 11 49.2829336834285 0.0
11 216 0.0 13.052375776861437
11 3546 0.0 21.755956880396386
t 12 79.76816539314018 0.0
12 144 0.0 17.017841616276424
12 355 0.0 19.01663112997107
12 454 0.0 9.386551413751338
t 13 38.83850517085455 0.0
13 4773 0.0 14.849014514169603
13 5160 0.0 10.503331921257317
13 6959 0.0 7.766858509153088
s 14 0.0 6.230309783020681
t 14 23.310621399840535 0.0
14 3492 0.0 7.5115871526990245
14 4909 0.0 9.331600150162934
t 15 43.924636374081246 0.0
15 1556 0.0 17.069109097515643
15 4409 0.0 7.958685220473591
15 6873 0.0 12.143115700625557
s 16 0.0 19.754383971664137
t 16 947.4813521691606 0.0
16 5893 0.0 97.33535594386014
16 7020 0.0 95.98128295453249
s 17 0.0 1.784625347557268
t 17 0.9952773845236906 0.0
17 1584 0.0 1.760214256139514
17 5579 0.0 1.1928759675728509
s 18 0.0 3.7929314413739577
t 18 0.783816550717241 0.0
18 2955 0.0 3.355739837150051
t 19 50.300809596136865 0.0
19 1674 0.0 9.33790638147063
19 4698 0.0 10.773466584765503
19 6890 0.0 14.2552968023958
s 20 0.0 7.368260664382638
t 20 45.666696166257054 0.0
20 475 0.0 16.500379306514752
20 3307 0.0 12.886366806790397
t 21 95.2535318697774 0.0
21 3763 0.0 9.506912149805594
21 6035 0.0 20.25640554113322
21 1654 0.0 21.08079109863564
s 22 0.0 2.4500014664052356
t 22 2.7452259805255377 0.0
22 4352 0.0 2.3322049686197683
22 4534 0.0 2.8769948115556265
t 23 26.72850216755902 0.0
23 3712 0.0 7.583264700395488
23 2258 0.0 10.85762156127403
23 5871 0.0 7.081558147157522
t 24 189.96771907911747 0.0
24 2837 0.0 19.74797638239725
24 3277 0.0 22.685410240884387
24 3023 0.0 20.733272377221677
s 25 0.0 7.648618382486823
t 25 115.27703363161758 0.0
25 5090 0.0 30.24284111557074
25 7107 0.0 31.790695478042544
s 26 0.0 4.915449044578383
t 26 13.562344378141447 0.0
26 871 0.0 5.665284742333146
26 4267 0.0 8.298399499196492
s 27 0.0 5.265134353753971
t 27 50.55625474014317 0.0
27 2772 0.0 20.55087940424391
27 1943 0.0 19.313471095979075
s 28 0.0 1.8972736004449844
t 28 0.5581178964644644 0.0
28 451 0.0 0.6193861182260574
28 4406 0.0 1.8023553785892508
s 29 0.0 8.356798631008392
t 29 8.509775581287062 0.0
29 5194 0.0 5.916986298093219
s 30 0.0 2.65628889582669
t 30 11.01783470623257 0.0
30 1520 0.0 19.24693980501474
30 626 0.0 16.888898080066866
s 31 0.0 5.3283522338730815
t 31 25.086586192993398 0.0
31 2918 0.0 10.678849408914868
31 6697 0.0 9.420769240199942
t 32 33.09740998867788 0.0
32 402 0.0 19.673760849325983
32 2291 0.0 3.5016644209076846
32 4516 0.0 19.00395510119997
t 33 245.4219893541206 0.0
33 242 0.0 22.265846671987568
33 3813 0.0 22.920345328554554
33 2152 0.0 27.23384009165673
s 34 0.0 8.73168118254931
t 34 5.311798405084473 0.0
34 1983 0.0 7.415043602487485
t 35 731.6183555495171 0.0
35 5137 0.0 41.11601874022492
35 4537 0.0 39.92055224117871
35 410 0.0 42.3890812635828
s 36 0.0 3.8213448255233793
t 36 276.5336621448487 0.0
36 2774 0.0 153.78850984301815
36 4454 0.0 152.53885264164683
s 37 0.0 4.811205512618954
t 37 2.5549084036714147 0.0
37 3751 0.0 4.932364927721941
37 1038 0.0 1.0620798153542075
t 38 88.13496240817761 0.0
38 2713 0.0 31.814135757124035
38 3786 0.0 11.593269719946836
38 5005 0.0 22.32888290430368
s 39 0.0 3.4631955349733548
t 39 294.88266880835 0.0
39 1272 0.0 195.69562353935797
39 2494 0.0 197.42491358797722
s 40 0.0 4.022854464831114
t 40 57.184247168602695 0.0
40 6855 0.0 28.49859488331335
40 2683 0.0 29.056645233574375
s 41 0.0 10.364012614925818
t 41 11.536138728162916 0.0
41 562 0.0 7.865073853348509
s 42 0.0 7.400254041668269
t 42 69.38238371573011 0.0
42 5829 0.0 23.30839670412162
42 4695 0.0 28.336366583295334
t 43 520.0905572641029 0.0
43 5833 0.0 17.895275260141172
43 6297 0.0 74.48336265610465
43 5087 0.0 64.81591777095758
s 44 0.0 5.506870545479111
t 44 21.56171861976641 0.0
44 681 0.0 8.899903155999985
44 6971 0.0 7.934388843392698
s 45 0.0 0.6988006778229582
t 45 0.15260074625978487 0.0
45 5387 0.0 0.7632968838833888
45 7053 0.0 0.4427769529257341
s 46 0.0 13.280613209483402
t 46 85.59477284183026 0.0
46 2752 0.0 14.108387591964352
46 6548 0.0 14.93632244512142
s 47 0.0 10.973764708160871
t 47 9.186488818198624 0.0
47 1280 0.0 9.147414702299235
s 48 0.0 6.480488861239646
t 48 27.919814976152857 0.0
48 6816 0.0 10.343511307655097
48 1334 0.0 8.649884165043298
s 49 0.0 8.689045526516994
t 49 49.518480794134526 0.0
49 6484 0.0 13.840828627071861
49 5433 0.0 11.428594064310841
s 50 0.0 10.04335537540835
t 50 149.37757982979562 0.0
50 1103 0.0 29.749627355487767
50 2159 0.0 31.53579037649595
t 51 64.78447278575238 0.0
51 1929 0.0 7.005692460792763
51 5578 0.0 18.70775060499041
51 605 0.0 18.96373479958218
t 52 383.4938459379143 0.0
52 1363 0.0 79.27914232903642
52 3815 0.0 12.30470106712182
52 3951 0.0 72.32586493664405
t 53 34.17103913812007 0.0
53 887 0.0 10.999721272881258
53 408 0.0 11.21752766640545
53 5583 0.0 6.43100611936067
s 54 0.0 0.8087355708908887
t 54 1.6615185382341857 0.0
54 2395 0.0 13.694513353438309
54 2895 0.0 14.468022256978871
t 55 23.992097521514783 0.0
55 2811 0.0 6.777048602265628
55 6238 0.0 7.975841510469422
55 6799 0.0 7.731407870805524
s 56 0.0 13.72729888692899
t 56 5.831453599970736 0.0
56 3028 0.0 12.851349486291287
s 57 0.0 21.717258974977188
t 57 55.8755738837265 0.0
57 4178 0.0 15.693347486355847
s 58 0.0 13.190930535477492
t 58 12.814848592223129 0.0
58 5849 0.0 11.076758541040988
s 59 0.0 7.705307285290134
t 59 84.73025372493422 0.0
59 4837 0.0 22.54553629501567
59 1995 0.0 22.16312363178119
t 60 1591.5078806214333 0.0
60 6593 0.0 300.3095441669354
60 5705 0.0 11.690814175337021
60 5244 0.0 295.5667117418112
s 61 0.0 58.948559032117835
t 61 286.8203505954274 0.0
61 870 0.0 48.220030417797375
t 62 39.97880363653917 0.0
62 2548 0.0 9.591748901201493
62 5466 0.0 8.898421498123685
62 6922 0.0 15.19554081110741
s 63 0.0 8.370002856479287
