c #vertices #edges weightDimension idOffset
mincutGraph 5 4 2 2231
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 35541 0.0 3.750027031256424
t 35541 3.707915943811691 0.0
s 24711 0.0 4.473656582158383
t 24711 2.4552255349194376 0.0
24711 35541 0.0 3.192734026728832
s 14856 0.0 1.8348050491927166
t 14856 1.1606893558563496 0.0
14856 35541 0.0 2.3359920277573627
s 38312 0.0 3.004118559263278
t 38312 1.1104566854765552 0.0
s 9661 0.0 1.8348050500848085
t 9661 1.1606893564030412 0.0
9661 14856 0.0 1.2717406059443168
9661 38312 0.0 2.123866456090515
