c #vertices #edges weightDimension idOffset
mincutGraph 27920 30027 2 2131
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 8.96770117178342
t 0 35.791164293057484 0.0
0 22520 0.0 49.57318715920828
0 22552 0.0 40.748095920614674
t 1 10.9553630152183 0.0
1 26849 0.0 8.064223711334431
1 24718 0.0 2.7248446418008596
1 18927 0.0 8.314456103121314
t 2 22.584744968426545 0.0
2 6993 0.0 5.295135707565235
2 996 0.0 8.677985488758964
2 18246 0.0 9.29877930473829
s 3 0.0 15.139149300313504
t 3 151.25756140270747 0.0
3 3588 0.0 20.26881358243269
3 18127 0.0 23.177492687597226
s 4 0.0 9.70562661051481
t 4 63.60638721079262 0.0
4 1059 0.0 15.996175044054082
4 16940 0.0 13.118073091691377
s 5 0.0 7.580750108026611
t 5 46.01250460478459 0.0
5 27154 0.0 12.470255459568614
5 9883 0.0 16.007628190391443
t 6 730.8869368027049 0.0
6 8401 0.0 86.53908904991444
6 19513 0.0 66.86976749242504
6 2190 0.0 152.18062671242137
t 7 34.98893279610945 0.0
7 6176 0.0 10.104066351928248
7 6321 0.0 11.522806195674871
7 2873 0.0 6.983285045654567
s 8 0.0 9.769978866479404
t 8 24.45167052416371 0.0
8 12612 0.0 5.539509213922798
8 27915 0.0 8.931354954316095
t 9 1161.2574657715081 0.0
9 23939 0.0 85.55859961123518
9 6602 0.0 95.28501157676678
9 4159 0.0 27.753427011984225
s 10 0.0 28.881461464658837
t 10 373.34086591529757 0.0
10 14458 0.0 43.481757235998344
10 347 0.0 26.55851301899851
s 11 0.0 3.3898264115844725
t 11 52.66829188323345 0.0
11 9637 0.0 31.38622045736858
11 4937 0.0 32.03918227410834
t 12 15.383738000327604 0.0
12 4352 0.0 2.71529665833726
12 13072 0.0 11.331988878608412
12 12069 0.0 11.684545876262135
t 13 141.77489160026937 0.0
13 8344 0.0 27.747934284509952
13 12652 0.0 23.04865105682127
13 18462 0.0 12.436577493963082
s 14 0.0 3.7438125817009102
t 14 1.7442714861465545 0.0
14 6046 0.0 2.658307855547242
s 15 0.0 15.12318692704547
t 15 376.09195839496743 0.0
15 6165 0.0 49.738709881665294
15 22393 0.0 52.10220812125093
t 16 9.425127497791742 0.0
16 1124 0.0 6.406384427585598
16 6218 0.0 3.2467359083759857
16 15503 0.0 5.830852386369539
s 17 0.0 9.446039193324857
t 17 23.3916027273233 0.0
17 21176 0.0 10.272466303331058
17 16220 0.0 4.972751477783191
s 18 0.0 11.70169415870379
t 18 110.66627438628294 0.0
18 16774 0.0 21.49723050686586
18 5387 0.0 18.972819932568207
t 19 60.33265699937032 0.0
19 18321 0.0 10.786670593549044
19 18817 0.0 11.862243649824283
19 23633 0.0 13.112081096330467
s 20 0.0 5.237493600257897
t 20 3.222504124690005 0.0
20 15699 0.0 3.070616511369407
s 21 0.0 9.927403748353335
t 21 78.61022998585673 0.0
21 21857 0.0 16.495514964959877
21 7050 0.0 16.704524938192645
s 22 0.0 2.4043045538350483
t 22 21.14242488200913 0.0
22 21922 0.0 17.816327905291132
22 21047 0.0 17.59275215813225
s 23 0.0 5.646225116788431
t 23 2.8851632003360788 0.0
23 20657 0.0 1.021979513979123
23 9671 0.0 5.737970041264608
s 24 0.0 14.073850592685384
t 24 105.44895359368603 0.0
24 12299 0.0 15.460816007681991
24 23117 0.0 18.165523751132323
s 25 0.0 5.236919613201103
t 25 62.42444150791683 0.0
25 17144 0.0 25.236620298480233
25 12809 0.0 24.033390023250483
t 26 254.2565556746712 0.0
26 11732 0.0 45.83269035649331
26 24650 0.0 11.73405090034829
26 26059 0.0 43.4534230417428
s 27 0.0 6.028611094396314
t 27 20.627612368306544 0.0
27 19008 0.0 9.043325412002671
27 22059 0.0 6.844232064572839
s 28 0.0 4.068565700965877
t 28 6.427154228412891 0.0
28 25302 0.0 4.815622734088236
28 2844 0.0 3.1891228327449843
s 29 0.0 2.820930442073656
t 29 27.41469309366171 0.0
29 14321 0.0 21.644940020532093
29 21278 0.0 20.56024777535469
s 30 0.0 0.5945884023445931
t 30 0.576783353333191 0.0
30 3668 0.0 1.9401889096628013
30 9148 0.0 2.0241086234259744
t 31 62.74140977547965 0.0
31 23266 0.0 14.117072732795938
31 27892 0.0 8.889572060393228
31 2069 0.0 16.786152080792206
s 32 0.0 7.037324813133924
t 32 32.27611292757098 0.0
32 1190 0.0 11.94262989154038
32 25914 0.0 9.193113241937665
t 33 45.80152827164314 0.0
33 5585 0.0 11.796891524465716
33 11433 0.0 7.792255559115453
33 20717 0.0 13.584070406904726
s 34 0.0 9.049774218365439
t 34 26.3334601895313 0.0
34 11106 0.0 10.549846556062729
34 21421 0.0 5.825075308964573
t 35 82.68672061914144 0.0
35 22661 0.0 6.798715627366829
35 22230 0.0 24.34436170891965
35 7529 0.0 25.540825220886788
t 36 11.304888153288578 0.0
36 23688 0.0 5.223991108478092
36 21228 0.0 4.554042721315428
36 26973 0.0 5.7643135430522525
t 37 264.38010445772807 0.0
37 22694 0.0 30.55507077090847
37 17370 0.0 19.622446703427606
37 12973 0.0 27.447265657980484
s 38 0.0 6.333540508301007
t 38 5.365592789693437 0.0
38 15442 0.0 7.113536370143254
38 436 0.0 1.7893368888894383
