c #vertices #edges weightDimension idOffset
mincutGraph 18863 20938 2 2100
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 28.859300411419948 0.0
0 1681 0.0 8.021850713421875
0 18774 0.0 11.10382665847269
0 1783 0.0 7.208331984549157
t 1 215.68343333170594 0.0
1 3234 0.0 15.021822454823498
1 3671 0.0 29.154793056538917
1 15983 0.0 35.02927227799717
s 2 0.0 11.400185079243972
t 2 40.85172677438093 0.0
2 459 0.0 8.202971433627141
2 7806 0.0 16.97764138535822
t 3 80.55543472651395 0.0
3 9332 0.0 18.175682040395085
3 3243 0.0 16.89479460346849
3 3004 0.0 9.641514765729019
t 4 50.774091216668964 0.0
4 3937 0.0 6.240471091350831
4 11687 0.0 24.227730775905368
4 15322 0.0 20.047406842669993
t 5 17.811877808774053 0.0
5 16066 0.0 11.186134919942596
5 9079 0.0 3.184695605274604
5 10412 0.0 11.649542111072444
s 6 0.0 14.509303097801087
t 6 58.06362142397617 0.0
6 6182 0.0 14.273179244420414
6 14429 0.0 8.444010312762089
s 7 0.0 13.807887730232387
t 7 71.48314157509465 0.0
7 5939 0.0 10.383799363209832
7 16555 0.0 16.636000074772838
t 8 264.07033127878793 0.0
8 1219 0.0 24.690896947540406
8 795 0.0 21.390610522295216
8 3166 0.0 32.55570691741083
t 9 28.23517836659138 0.0
9 6112 0.0 3.539407531256331
9 14276 0.0 15.95784718608052
9 12955 0.0 16.277414979691525
t 10 33.578265990455265 0.0
10 18369 0.0 20.30897248094142
10 11302 0.0 19.80718839389816
10 7945 0.0 3.3974353623717763
s 11 0.0 2.137455610874568
t 11 1.8371214929367081 0.0
11 12742 0.0 1.7191408280149818
11 1134 0.0 2.7612954630803936
t 12 96.49167562158402 0.0
12 4856 0.0 18.611332906156665
12 8921 0.0 10.871841930301281
12 8447 0.0 24.21182197576905
s 13 0.0 6.484428091824445
t 13 14.486010689825747 0.0
13 18128 0.0 6.864272791628519
13 9498 0.0 4.64583484451626
s 14 0.0 5.884765066985526
t 14 10.822018716763926 0.0
14 11496 0.0 5.201663623737941
14 12173 0.0 4.2890648598085885
s 15 0.0 13.483184716594527
t 15 181.60655570192964 0.0
15 565 0.0 28.323627870190844
15 12412 0.0 27.35091750655756
t 16 114.80288235565567 0.0
16 5210 0.0 15.361369895254958
16 14060 0.0 15.111409012380355
16 9613 0.0 19.90025711261296
t 17 538.9259477201398 0.0
17 13937 0.0 47.19458706675175
17 1021 0.0 23.885153691714898
17 16814 0.0 46.23575943196739
t 18 122.9466561321335 0.0
18 9191 0.0 19.596662087302498
18 7307 0.0 13.732208298383929
18 9452 0.0 18.813080534752135
s 19 0.0 7.712955996863652
t 19 22.918803532470996 0.0
19 4854 0.0 6.239977907122915
19 11526 0.0 8.311555475333503
s 20 0.0 9.960617661843726
t 20 228.17687624159643 0.0
20 18722 0.0 49.50458201841927
20 11308 0.0 46.65154148683616
s 21 0.0 5.274020386244913
t 21 35.88319926894033 0.0
21 14979 0.0 13.60983012550548
21 8428 0.0 14.686085110050866
s 22 0.0 12.831120209077342
t 22 141.19267447471813 0.0
22 17766 0.0 24.002167031822164
22 15279 0.0 22.246824668473092
s 23 0.0 3.287678865025274
t 23 20.74920589630409 0.0
23 15911 0.0 12.770509122264421
23 15165 0.0 12.694221716105755
s 24 0.0 13.627495564093515
t 24 154.54888533766768 0.0
24 9286 0.0 22.694494366538642
24 18027 0.0 26.857696244033235
s 25 0.0 2.077447775755466
t 25 1.3486841442897801 0.0
25 4192 0.0 1.3061867814831447
25 13555 0.0 2.330319255203906
s 26 0.0 5.528379634834771
t 26 30.721714807489633 0.0
26 2926 0.0 11.400886732266363
26 15263 0.0 11.508751189274692
s 27 0.0 20.397523638885076
t 27 41.24814008353941 0.0
27 12493 0.0 16.1408371133484
s 28 0.0 8.637118073996803
t 28 90.75786201562408 0.0
28 15985 0.0 21.510369010668065
28 8681 0.0 21.402633682038523
t 29 23.76240529291917 0.0
29 2438 0.0 7.553945442945841
29 13830 0.0 7.969886212331182
29 1869 0.0 6.8311310632588205
s 30 0.0 13.86311265100872
t 30 67.62572893185485 0.0
30 10884 0.0 9.763507205872177
30 14923 0.0 16.644782468321623
s 31 0.0 27.171839966056655
t 31 138.92241260034172 0.0
31 17412 0.0 13.433073247343913
31 7771 0.0 37.31168635030438
s 32 0.0 11.397947519344243
t 32 14.878176941334154 0.0
32 620 0.0 8.3925175581923
t 33 71.28291656108331 0.0
33 6483 0.0 39.616284410963914
33 8566 0.0 4.532194733833691
33 15230 0.0 37.03646747829681
s 34 0.0 20.53629618397783
t 34 50.79503725981927 0.0
34 18647 0.0 20.625885363978472
34 4665 0.0 4.973323057527455
s 35 0.0 1.1394828282006642
t 35 0.40575659866618946 0.0
35 13036 0.0 1.1513246477760086
35 9694 0.0 0.7499015340302053
s 36 0.0 4.155288099960869
t 36 0.14466241391727197 0.0
36 18048 0.0 4.22994748615172
36 18738 0.0 0.10167030003893028
s 37 0.0 12.301187192752527
t 37 107.30514722654293 0.0
37 11750 0.0 25.361394759592137
37 5263 0.0 18.483982187625973
t 38 57.540131988170835 0.0
38 11697 0.0 15.036503840138911
38 13414 0.0 7.698945667081035
38 10348 0.0 16.131367707405897
s 39 0.0 17.07651752034621
t 39 145.03321597857052 0.0
39 6307 0.0 18.30532479151758
39 18411 0.0 19.841147629693335
t 40 46.7278437172094 0.0
40 16948 0.0 7.060922460395199
40 1833 0.0 14.76218282166915
40 11594 0.0 13.24596132881583
s 41 0.0 10.757422933387463
t 41 45.19820601582429 0.0
41 9849 0.0 13.456519019500963
41 15518 0.0 8.406801459961635
s 42 0.0 6.3885912435744086
t 42 12.754405649552968 0.0
42 15433 0.0 6.934715494095388
42 17306 0.0 4.057041631106443
t 43 7.550933850215607 0.0
43 18177 0.0 14.604216177797825
43 14564 0.0 1.5293223677150656
43 16491 0.0 13.517101187979076
t 44 56.871533283744014 0.0
44 9731 0.0 15.286562557730274
44 16501 0.0 24.758493270730515
44 17660 0.0 11.167351158102012
s 45 0.0 10.856240006891756
t 45 52.572827908643774 0.0
45 16568 0.0 9.712125802328218
45 13742 0.0 15.09481311575541
s 46 0.0 19.24157753444925
t 46 32.85736539322828 0.0
46 5668 0.0 15.443231520078102
s 47 0.0 6.0039357219611285
t 47 67.41423680278444 0.0
47 1330 0.0 22.52688926867421
47 13645 0.0 22.851005505941853
t 48 33.601608908117015 0.0
48 2990 0.0 10.774977833769585
48 6094 0.0 11.021844311371105
48 3871 0.0 6.461241516683261
t 49 205.44242646964 0.0
49 12790 0.0 25.618263647512645
49 4734 0.0 16.076582790408096
49 18287 0.0 29.296296992275717
t 50 81.95583247466931 0.0
50 11251 0.0 15.346277635009866
50 8468 0.0 17.55763590363372
50 17162 0.0 10.773683206325016
t 51 10.4132537273883 0.0
51 372 0.0 7.847285643178162
51 10327 0.0 8.48892713742478
51 685 0.0 2.6627599388770236
t 52 115.43997421035058 0.0
52 3878 0.0 12.047645897846412
52 13453 0.0 24.97779596966256
52 11118 0.0 19.571242646534085
s 53 0.0 11.185007886831219
t 53 50.13515767424811 0.0
53 5955 0.0 8.964976072198272
53 3483 0.0 14.280077506518145
s 54 0.0 13.628729332544129
t 54 58.7919485457144 0.0
54 11128 0.0 10.046005710892654
54 12297 0.0 20.662611440179464
s 55 0.0 3.2722134900715174
t 55 9.163549733835836 0.0
55 11762 0.0 6.34763127574278
55 2746 0.0 5.608075160840961
s 56 0.0 7.898590381818731
t 56 57.75384706232317 0.0
56 9321 0.0 16.13915948935566
56 4095 0.0 14.663002837842834
s 57 0.0 6.24466190828943
t 57 4.707723366375396 0.0
57 8033 0.0 4.493944172492471
s 58 0.0 8.548422786099696
t 58 39.36036137856407 0.0
58 15875 0.0 10.070955463319752
58 2728 0.0 10.236963039371503
s 59 0.0 8.09995623915598
t 59 17.09927349604883 0.0
59 14460 0.0 4.675219791370244
59 11645 0.0 7.412047181667153
s 60 0.0 5.066828799356697
t 60 0.8141527565102227 0.0
60 17028 0.0 5.080820738022002
60 18260 0.0 0.3213884887731484
s 61 0.0 9.395035401478738
t 61 10.608124705384963 0.0
61 10500 0.0 6.783689360949141
t 62 46.165634299633055 0.0
62 3472 0.0 16.43813210854512
62 18533 0.0 6.001775353865983
62 10650 0.0 19.384418137876406
t 63 242.35928307787458 0.0
63 9490 0.0 13.785709696541641
63 8204 0.0 35.9375813851671
63 2254 0.0 35.73060332461443
t 64 275.0998330147271 0.0
64 13060 0.0 24.307445420300752
64 13588 0.0 22.63527234408014
64 4814 0.0 33.29171629387622
s 65 0.0 9.837094767565068
t 65 66.11198271101327 0.0
65 6346 0.0 13.962519269987782
65 16285 0.0 14.743452556763712
s 66 0.0 15.87111147036193
t 66 196.06933476167225 0.0
66 4679 0.0 27.83413841856549
66 6238 0.0 24.895775910543477
t 67 14.983213176270787 0.0
67 2693 0.0 5.320918101225651
67 3782 0.0 5.80142877783842
67 11261 0.0 6.86653497985534
t 68 64.45019673893052 0.0
68 2950 0.0 13.419826067720116
68 5638 0.0 9.803284176494326
68 2312 0.0 18.133367891323097
s 69 0.0 12.042246966334147
t 69 35.86347374536646 0.0
69 99 0.0 5.957530864171245
69 1464 0.0 13.325281882920086
s 70 0.0 6.108328045107998
t 70 49.015455280880175 0.0
70 17259 0.0 17.0450510584951
70 9855 0.0 16.05290796481552
t 71 27.197611696794723 0.0
71 7938 0.0 19.58045196478562
71 12902 0.0 20.8459572445945
71 18734 0.0 2.980429252999578
t 72 33.763009779929845 0.0
72 6720 0.0 19.25565003811928
72 18033 0.0 18.335697135948518
72 15563 0.0 3.72577462886807
s 73 0.0 7.595369338387619
t 73 127.09057481373074 0.0
73 4814 0.0 33.54173464022386
73 12303 0.0 33.88737916319133
s 74 0.0 10.234555438887227
t 74 232.1766182376135 0.0
74 15256 0.0 50.914076914495276
74 18377 0.0 47.16048040278824
s 75 0.0 14.127453050475532
t 75 124.67685775469725 0.0
75 4439 0.0 20.134742502846013
75 16458 0.0 18.199824167124195
t 76 49.675280024489076 0.0
76 1411 0.0 13.31445252415928
76 8662 0.0 9.602974734477188
76 15832 0.0 10.417742648385717
t 77 118.33381051704109 0.0
77 17766 0.0 23.74313010018128
77 954 0.0 19.765596105068077
77 2271 0.0 11.99639047487871
s 78 0.0 11.765650441573186
t 78 13.615163287724194 0.0
78 7684 0.0 9.16759535946914
s 79 0.0 14.22529339454903
t 79 54.811690814832446 0.0
79 15128 0.0 7.794217878245292
79 4572 0.0 15.161894393377656
s 80 0.0 9.654059220648769
t 80 54.5795346767678 0.0
80 5537 0.0 11.770534200190134
80 5982 0.0 12.984618402420187
t 81 40.766883010603756 0.0
81 14816 0.0 14.37279656341881
81 6660 0.0 11.532694417086326
81 13177 0.0 7.137545424902592
t 82 62.992797985534054 0.0
82 14469 0.0 20.99364615753215
82 16215 0.0 10.183152599223117
82 12392 0.0 14.106791823105196
t 83 9.638067861270113 0.0
83 8146 0.0 5.308345933195403
83 669 0.0 4.105151702431665
83 12797 0.0 4.9702312867163645
s 84 0.0 10.902730605392762
t 84 202.4647925841653 0.0
84 7651 0.0 39.33529079620691
84 13611 0.0 37.19693976717967
s 85 0.0 10.365733582769037
t 85 91.55045301712947 0.0
85 15799 0.0 17.679716042564593
85 17885 0.0 20.867293411255314
s 86 0.0 8.395331810080018
t 86 76.9589776858165 0.0
86 8906 0.0 18.55548764779457
86 8687 0.0 21.512993346176984
s 87 0.0 12.825182073894476
t 87 31.690361436212964 0.0
87 3649 0.0 5.099172478395451
87 17777 0.0 14.923836272556676
s 88 0.0 10.180089814703189
t 88 87.32170234762755 0.0
88 16150 0.0 19.354884592741307
88 9816 0.0 17.19863168926362
s 89 0.0 20.819660163866402
t 89 121.17723791331711 0.0
89 6091 0.0 12.582120023447585
89 2749 0.0 28.117866085724682
t 90 49.616696375068216 0.0
90 5702 0.0 21.44114610576108
90 16856 0.0 5.505021027832549
90 10414 0.0 19.031655537852334
t 91 57.39945269681863 0.0
91 12993 0.0 30.629444065086652
91 17331 0.0 28.031776553706628
91 1758 0.0 4.708109671868808
s 92 0.0 10.870512931471637
t 92 82.82211947991075 0.0
92 11379 0.0 15.469333750436085
92 4905 0.0 17.30651430496037
s 93 0.0 12.281035832511536
t 93 64.05817176696408 0.0
93 14986 0.0 19.455397996540647
93 3532 0.0 11.223898665675867
t 94 73.48189959435624 0.0
94 14949 0.0 17.236842502185464
94 6647 0.0 12.806608448641327
94 5179 0.0 11.475753522274825
s 95 0.0 9.888721795543225
t 95 60.97482107437594 0.0
95 1478 0.0 27.571979849803768
95 13880 0.0 19.242737282662233
s 96 0.0 0.602526328903508
t 96 0.11344936780026753 0.0
96 8403 0.0 0.377920133099756
96 17653 0.0 0.6837602643192662
s 97 0.0 14.378529727572406
t 97 142.72613446835933 0.0
97 1351 0.0 21.297115938985716
97 12429 0.0 20.942847033134537
s 98 0.0 5.861613614057803
t 98 13.437333609699515 0.0
98 10375 0.0 7.180033480814157
98 15514 0.0 4.597156514990217
t 99 171.83858393647745 0.0
99 2176 0.0 60.64224717118315
99 8824 0.0 59.07785832494769
s 100 0.0 9.360690368486901
t 100 9.503566265284299 0.0
100 3698 0.0 7.05258600924471
s 101 0.0 10.321956148582519
t 101 10.47237712659846 0.0
101 17579 0.0 8.056846342314437
s 102 0.0 5.443658927027894
t 102 3.6681875440241347 0.0
102 10062 0.0 3.8669336409076887
s 103 0.0 15.63361023813686
t 103 80.59261061668006 0.0
103 2248 0.0 15.590232745832939
103 9657 0.0 11.037125895644275
s 104 0.0 8.916852007014915
t 104 107.80349809749424 0.0
104 14548 0.0 24.859021963065715
104 17033 0.0 28.291540920228147
s 105 0.0 12.77303481497226
t 105 89.80424978028896 0.0
105 18397 0.0 15.556564638999836
105 8254 0.0 15.335109111762318
s 106 0.0 5.788778392055291
t 106 13.137057963688667 0.0
106 3987 0.0 5.655174804374256
106 13485 0.0 10.224845684587802
t 107 11.485790503500322 0.0
107 405 0.0 5.40718751991472
107 267 0.0 5.306218328853816
107 4719 0.0 4.797100616691429
t 108 763.4641986914346 0.0
108 1480 0.0 21.244587140207955
108 218 0.0 72.93129714015714
108 12778 0.0 72.41899068226155
t 109 499.6032398113598 0.0
109 10292 0.0 40.21815731924556
109 10628 0.0 33.9047970830661
109 17388 0.0 30.187363882868627
s 110 0.0 14.340779984057365
t 110 55.85874225301634 0.0
110 14080 0.0 9.049310986015588
110 16794 0.0 20.48454987009692
s 111 0.0 14.35367003670908
t 111 90.03258310547979 0.0
111 6949 0.0 19.344048348827435
111 2360 0.0 12.55037369310903
s 112 0.0 10.238256659206511
t 112 151.03496430403695 0.0
112 17921 0.0 30.401053867670466
112 11290 0.0 29.64698284877205
s 113 0.0 8.47749529000796
t 113 202.61414511151224 0.0
113 7348 0.0 47.82381293002193
113 17501 0.0 48.30792462048765
s 114 0.0 15.746830459518332
t 114 149.64587212735486 0.0
114 10494 0.0 21.611221381865786
114 17487 0.0 19.77544868752672
s 115 0.0 16.035382772893463
t 115 135.74988512590625 0.0
115 14168 0.0 17.690733418292947
115 172 0.0 20.140658912187426
s 116 0.0 17.329401021917505
t 116 20.351994283541046 0.0
116 14784 0.0 17.487858320692517
116 9745 0.0 2.3488399002135956
t 117 123.12843304529716 0.0
117 10995 0.0 25.45148581486778
117 6669 0.0 16.37065957974617
117 12622 0.0 15.607140797327895
s 118 0.0 1.0364917167600753
t 118 0.3357234625220196 0.0
118 14242 0.0 0.8058416810041039
118 3573 0.0 0.854470167551776
s 119 0.0 7.774732803321163
t 119 1.1198693778678508 0.0
119 10741 0.0 7.500074525180084
s 120 0.0 12.98053416378703
t 120 40.63095297962545 0.0
120 8050 0.0 16.944672785917223
120 18740 0.0 6.8438300541613115
s 121 0.0 5.454622042558242
t 121 12.190465243479366 0.0
121 14640 0.0 5.419261595470074
121 4811 0.0 5.068811785980054
s 122 0.0 13.253631030274915
t 122 150.02028516779313 0.0
122 2820 0.0 24.46333375896582
122 16957 0.0 22.98594747085983
t 123 217.91524900382655 0.0
123 546 0.0 16.321492588319515
123 14885 0.0 26.77588341603104
123 15198 0.0 32.370475085390005
s 124 0.0 11.461164636687148
t 124 96.72503460394984 0.0
124 5459 0.0 18.260069230572256
124 11252 0.0 17.466830275442224
s 125 0.0 3.0220318346003423
t 125 2.8539613781935995 0.0
125 10003 0.0 2.5835764116925866
125 2008 0.0 2.2700553238715617
s 126 0.0 10.520453730608478
t 126 155.81952824745568 0.0
126 9128 0.0 29.734169403144218
126 12733 0.0 30.66853302352312
s 127 0.0 12.634361039091404
t 127 32.40949753699932 0.0
127 3096 0.0 5.184037776234618
127 11080 0.0 12.949973056324044
s 128 0.0 6.059807362930505
t 128 70.79937154893582 0.0
128 18148 0.0 28.31514572888154
128 16778 0.0 25.39004978777562
t 129 399.55461449201186 0.0
129 4595 0.0 25.828937427887983
129 12985 0.0 32.32686422605088
129 8826 0.0 46.86465827052319
s 130 0.0 2.9162804757672363
t 130 1.295237000378903 0.0
130 7968 0.0 0.8882801302149393
130 5962 0.0 3.048562514399305
s 131 0.0 16.110026446553498
t 131 171.29637100719341 0.0
131 5090 0.0 21.26690160539215
131 9746 0.0 26.809708656431646
s 132 0.0 5.5185383389438485
t 132 9.516957936124491 0.0
132 6544 0.0 4.212451168552585
132 1443 0.0 4.637585319979631
s 133 0.0 3.9387202807892896
t 133 1.1266874045014257 0.0
133 15135 0.0 3.324056467680312
s 134 0.0 15.868305142777118
t 134 69.20617066438396 0.0
134 12008 0.0 8.746373636693077
134 2042 0.0 17.545236690004117
s 135 0.0 13.597354646922437
t 135 22.883461151627095 0.0
135 9876 0.0 6.292123032406109
135 13598 0.0 19.210693491444793
s 136 0.0 11.402822744481988
t 136 251.69884898058632 0.0
136 2088 0.0 48.03474062516744
136 8188 0.0 44.784112927438294
s 137 0.0 10.52641494475546
t 137 32.385032448181526 0.0
137 15507 0.0 11.053464280446361
137 3695 0.0 6.298150769082494
t 138 28.448443984833002 0.0
138 14248 0.0 9.246527031530597
138 3178 0.0 8.381602146385985
138 4012 0.0 7.106683992956078
t 139 66.47487613654282 0.0
139 12802 0.0 16.064026753173987
139 16467 0.0 14.474246220802872
139 3227 0.0 9.2761479780343
t 140 339.55004170690665 0.0
140 10642 0.0 43.51589477238044
