c #vertices #edges weightDimension idOffset
mincutGraph 5595 6101 2 521
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 2.49428544764593
t 0 16.920108318566957 0.0
0 1043 0.0 14.148536552400847
0 5194 0.0 13.651986271755481
t 1 36.56111550482461 0.0
1 1013 0.0 5.580099521014073
1 4200 0.0 13.118281348773579
1 3433 0.0 14.492422876975631
s 2 0.0 4.954706994766084
t 2 16.6045909788042 0.0
2 4097 0.0 8.903454088581753
2 2371 0.0 6.763501229238403
s 3 0.0 7.8524356744422965
t 3 3.127484363486973 0.0
3 3995 0.0 7.00946471290043
s 4 0.0 2.998153260083256
t 4 50.33146331865892 0.0
4 2231 0.0 33.63243730247401
4 2847 0.0 33.59086485890246
s 5 0.0 5.340541625222202
t 5 75.88567869769656 0.0
5 4101 0.0 28.859462530266857
5 5385 0.0 28.420478078910243
t 6 33.58904145313903 0.0
6 896 0.0 6.983209192905668
6 2689 0.0 11.410328115957668
6 1318 0.0 16.268397283075863
s 7 0.0 2.1402200430910865
t 7 1.774719704638267 0.0
7 1261 0.0 2.0021788209158613
7 334 0.0 1.9462184866275907
s 8 0.0 9.627882000711216
t 8 10.438770909488527 0.0
8 5004 0.0 7.138997892911307
t 9 221.83221707947416 0.0
9 5228 0.0 28.981662303291728
9 2269 0.0 17.2022260163932
9 5118 0.0 26.096802995725024
t 10 126.76730214743081 0.0
10 1330 0.0 21.832616729580476
10 820 0.0 19.45321753265129
10 2842 0.0 13.176259186692914
t 11 30.798268293949548 0.0
11 1223 0.0 73.04973485637822
11 3560 0.0 70.41287206546542
11 4024 0.0 2.7732124787036208
t 12 793.4142327875023 0.0
12 2947 0.0 25.332839682277243
12 2957 0.0 82.3529684159253
12 5006 0.0 68.66586208347097
t 13 6.0259825461080805 0.0
13 1892 0.0 2.774051241253097
13 2468 0.0 4.468127753669162
13 3917 0.0 4.676465819654474
s 14 0.0 2.2535253545516074
t 14 22.34911535543738 0.0
14 3690 0.0 19.83556877818119
14 5215 0.0 19.98283994614281
s 15 0.0 9.071588443708826
t 15 26.528837123319498 0.0
15 864 0.0 6.815178655401807
15 3529 0.0 8.078927922110193
s 16 0.0 5.1799395155732935
t 16 24.595027133021237 0.0
16 915 0.0 12.878425776339542
16 1672 0.0 10.127372478624299
s 17 0.0 2.2745831024703813
t 17 1.6957214257414766 0.0
17 4998 0.0 1.7667231558931416
17 393 0.0 1.9959187584581788
t 18 258.29330793946906 0.0
18 1688 0.0 50.8340460449329
18 2458 0.0 47.61121981852352
18 1662 0.0 11.042325587166053
s 19 0.0 23.951017667740675
t 19 58.93007779287173 0.0
19 4486 0.0 18.38448961964812
s 20 0.0 9.59398581527682
t 20 49.06300430446887 0.0
20 3766 0.0 12.91380919153655
20 4047 0.0 10.369829478927869
s 21 0.0 12.692271315420296
t 21 11.65489261709702 0.0
21 3867 0.0 10.695550051440458
s 22 0.0 12.051986345317
t 22 91.67297350034957 0.0
22 3160 0.0 15.38334438394802
22 2975 0.0 18.079184969077495
s 23 0.0 10.646714027271637
t 23 64.06505898765123 41.22403606346704
23 191 0.0 31.196330935467305
s 24 0.0 8.518781556159833
t 24 19.46693260562741 0.0
24 1926 0.0 16.695944691856216
24 4726 0.0 8.816534451014148
s 25 0.0 10.09347497214804
t 25 372.0758524330634 0.0
25 3473 0.0 115.85550949249942
25 3229 0.0 108.26020616660507
t 26 1057.4954639341076 0.0
26 4018 0.0 38.12690541238691
26 5399 0.0 55.638945773846636
26 4201 0.0 69.83823584566213
s 27 0.0 12.388195659794196
t 27 16.67429608945084 0.0
27 1396 0.0 9.203139177870927
t 28 406.01473693527373 0.0
28 1648 0.0 42.48330692468945
28 3168 0.0 35.05737014750912
28 2060 0.0 23.16954704095899
s 29 0.0 3.0625125923090977
t 29 12.567492280957401 0.0
29 3392 0.0 8.501133271658812
29 1036 0.0 8.250877887758055
s 30 0.0 10.81998510674811
t 30 65.01876407723876 0.0
30 769 0.0 13.39609646758513
30 3042 0.0 12.979732679108078
t 31 4.379754447995527 0.0
31 2962 0.0 5.2305665279271905
31 280 0.0 1.69304134438322
31 5592 0.0 5.25582008238544
s 32 0.0 8.947796252871433
t 32 111.72844609036873 0.0
32 3493 0.0 25.08094227684461
32 525 0.0 25.83789344047908
s 33 0.0 1.0166705500583653
t 33 2.15431137899527 0.0
33 2168 0.0 5.298439627108429
33 4297 0.0 4.758240320562187
t 34 144.73968777904796 0.0
34 1540 0.0 18.362274748911062
34 4582 0.0 19.22152859676129
34 4877 0.0 17.400530972281462
t 35 190.2215872872224 0.0
35 4257 0.0 27.500210416812365
35 1140 0.0 13.97821384786431
35 2363 0.0 32.58419855874065
t 36 9.448899553418011 0.0
36 4784 0.0 8.129815105457695
36 2726 0.0 3.613874871537189
36 3464 0.0 5.844842707903476
s 37 0.0 4.660741782706738
t 37 2.687205044704057 0.0
37 71 0.0 3.364904142010661
s 38 0.0 2.2153966912743983
t 38 7.139399611848868 0.0
38 2339 0.0 8.846522611858667
38 2826 0.0 7.5046509883948085
s 39 0.0 10.141083297911118
t 39 11.44185342238659 0.0
39 4421 0.0 7.554868237015232
s 40 0.0 14.796240666834558
t 40 17.578543978189252 0.0
40 3967 0.0 12.191287296960878
t 41 166.10134261734618 0.0
41 5026 0.0 16.45618619180189
41 1353 0.0 37.884924642684666
41 2521 0.0 25.51375594964017
s 42 0.0 3.160900252624752
t 42 16.624477755514533 0.0
42 2917 0.0 11.110417003511722
42 4325 0.0 10.527055624303436
s 43 0.0 13.892086146245578
t 43 6.388052346402075 0.0
43 5324 0.0 12.940002903471598
t 44 160.32608444167468 0.0
44 2114 0.0 44.550117873148245
44 792 0.0 29.076484482576184
44 4990 0.0 17.890273126572644
t 45 319.69611104839703 0.0
45 1770 0.0 42.22319138598324
45 1723 0.0 44.08199340103239
45 2027 0.0 15.16554520867553
s 46 0.0 11.148670020582646
t 46 15.0923721791563 0.0
46 2704 0.0 7.991958994527518
s 47 0.0 13.622532912149598
t 47 66.20576066237972 0.0
47 5512 0.0 18.658804454390737
47 4029 0.0 9.989497059272908
s 48 0.0 8.120487160911507
t 48 20.60697241645729 0.0
48 2818 0.0 8.709663017419722
48 1468 0.0 5.181243513198788
s 49 0.0 5.971874554134198
t 49 20.887866059786134 0.0
49 1152 0.0 7.008900642209628
49 2908 0.0 8.921727097688933
s 50 0.0 6.601446024073062
t 50 70.28619295975862 0.0
50 1317 0.0 21.31567841824747
50 5581 0.0 22.02954805355387
s 51 0.0 12.575744535039009
t 51 11.98316484848969 0.0
51 1712 0.0 1.905758313569705
51 3718 0.0 12.719326451059455
s 52 0.0 4.982658733000847
t 52 8.560802718201 0.0
52 5426 0.0 4.108209923528098
52 4541 0.0 4.389359990234306
s 53 0.0 6.569393745747451
t 53 39.110955811079286 0.0
53 1277 0.0 12.334805790600392
53 5086 0.0 12.369059966640778
s 54 0.0 5.48273020458617
t 54 4.615013763588057 0.0
54 5261 0.0 5.508507326869963
54 286 0.0 1.700181481159747
t 55 33.12724216118825 0.0
55 1720 0.0 13.12749618445871
55 2091 0.0 12.90305060871587
55 396 0.0 5.200083863565017
t 56 466.4994069932123 0.0
56 2436 0.0 28.555901277537888
56 4854 0.0 36.71226581427211
56 4984 0.0 34.7430838360488
s 57 0.0 9.850554365530915
t 57 10.827023786924284 0.0
57 5501 0.0 7.383397409487087
s 58 0.0 7.722317003988548
t 58 6.455937718474352 0.0
58 4586 0.0 5.824190619082807
s 59 0.0 6.700014127012546
t 59 3.0771820724936862 0.0
59 2607 0.0 5.709312616191909
