c #vertices #edges weightDimension idOffset
mincutGraph 12703 13957 2 1281
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 10.479109688679898
t 0 42.218616503175134 0.0
0 8422 0.0 8.209125314291258
0 7918 0.0 12.012717966187513
t 1 66.1273567795716 0.0
1 7511 0.0 8.004326269590946
1 8106 0.0 19.199031671417053
1 4479 0.0 16.617759958443745
t 2 3552.3694634986705 0.0
2 3237 0.0 101.52617069785475
2 6950 0.0 153.89221250642777
2 9560 0.0 78.48460637393084
t 3 72.39181266154505 0.0
3 1691 0.0 23.86809802907284
3 3196 0.0 7.3419920605211315
3 6141 0.0 20.64320165213581
s 4 0.0 6.208940635199729
t 4 10.074696100760672 0.0
4 10678 0.0 5.368246049100753
4 2299 0.0 3.777119535198123
s 5 0.0 9.649713451647884
t 5 94.81468132535596 0.0
5 11462 0.0 19.93719676461056
5 3399 0.0 23.56984535611731
s 6 0.0 7.994041623213619
t 6 61.238524181770394 0.0
6 3715 0.0 17.78108667449825
6 3656 0.0 15.355623113411495
t 7 125.39409093646938 0.0
7 2116 0.0 18.876232195872007
7 1927 0.0 18.05334699203284
7 4907 0.0 14.858603265295846
t 8 70.16973764677041 0.0
8 1111 0.0 8.392415458056881
8 7083 0.0 17.502156694665864
8 2046 0.0 21.528571111454113
s 9 0.0 4.387191724199665
t 9 23.78644652535327 0.0
9 5467 0.0 14.065245858446929
9 9919 0.0 11.767611556513078
s 10 0.0 13.839858183029499
t 10 127.8021278509845 0.0
10 11573 0.0 19.922581325777145
10 9131 0.0 19.535995405846247
t 11 31.9410813191149 0.0
11 12609 0.0 9.550662191075318
11 7571 0.0 7.901796604034922
11 10604 0.0 8.561217046056383
t 12 121.7458701236509 0.0
12 6528 0.0 16.19834640424427
12 4515 0.0 15.032420766823723
12 11941 0.0 22.005969296598007
s 13 0.0 13.601277280114948
t 13 22.197363776773454 0.0
13 2020 0.0 4.239038062505853
13 1735 0.0 16.629500655101868
s 14 0.0 10.086561574764396
t 14 116.07253472439257 0.0
14 11746 0.0 23.391915306697985
14 5507 0.0 23.760938043184375
t 15 33.20108408660176 0.0
15 5892 0.0 13.234027056077485
15 794 0.0 5.175002982802983
15 10378 0.0 12.976437679198641
t 16 99.50245651002871 0.0
16 2806 0.0 8.892995318276302
16 3770 0.0 22.63224151751535
16 2861 0.0 23.04568005055127
s 17 0.0 16.858907834973262
t 17 87.65144084483148 0.0
17 1754 0.0 14.34917713122791
17 3501 0.0 12.518573780452293
s 18 0.0 8.486932579659813
t 18 26.848595332884095 0.0
18 10453 0.0 13.87063178085281
18 6271 0.0 7.409783323880815
t 19 16.888767532713395 0.0
19 4801 0.0 11.733211645994924
19 9829 0.0 7.719827733256567
19 974 0.0 5.40134234505826
s 20 0.0 7.9371524830402285
t 20 4.326198176909849 0.0
20 4743 0.0 6.7332524941750505
s 21 0.0 4.253461963372883
t 21 4.238762671560086 0.0
21 140 0.0 4.693923644530551
21 2734 0.0 1.9930917416519787
s 22 0.0 7.714389286555147
t 22 6.601136630672924 0.0
22 7203 0.0 1.7178331961867073
22 6599 0.0 7.756808340980054
s 23 0.0 5.091779869601532
t 23 10.377009030661348 0.0
23 3697 0.0 6.4062593638462735
23 756 0.0 4.078724324582034
t 24 7700.721964418073 0.0
24 12676 0.0 372.65981159501115
24 10854 0.0 67.307983517519
24 2479 0.0 322.1958614447012
t 25 171.14058385709077 0.0
25 7633 0.0 17.79869636860897
25 6154 0.0 25.43196985429015
25 2367 0.0 19.265425558971476
t 26 1504.6327386326475 0.0
26 9057 0.0 24.50745175512349
26 3058 0.0 123.65318624687434
26 11410 0.0 123.18993532074695
s 27 0.0 9.841423707773723
t 27 80.91348594589203 0.0
27 3058 0.0 28.338915927390673
27 8152 0.0 21.110633507932338
s 28 0.0 2.7834257768826545
t 28 3.3269288772586094 0.0
28 1342 0.0 2.754631051185338
28 5375 0.0 2.7777770808065294
s 29 0.0 1.3647216252034555
t 29 0.5820203483566626 0.0
29 12532 0.0 0.953990274191307
29 9116 0.0 1.2674043865261069
s 30 0.0 6.411851120252977
t 30 13.106048134411477 0.0
30 7876 0.0 4.240167603233416
30 6745 0.0 6.682666949798897
s 31 0.0 4.9915430157351
t 31 8.05570847339192 0.0
31 2771 0.0 4.300460836185081
31 12316 0.0 3.878125862741712
s 32 0.0 5.350712443969384
t 32 16.244526750331964 0.0
32 12309 0.0 6.749697297366417
32 7934 0.0 6.530043379548086
s 33 0.0 6.780036155453573
t 33 3.754665952474877 0.0
33 1197 0.0 1.1160218575187524
33 1389 0.0 6.7346065233092105
s 34 0.0 7.431195059871902
t 34 6.465481823791587 0.0
34 10792 0.0 5.423555209576934
t 35 14.22307295617326 0.0
35 12147 0.0 6.902150178736062
35 9879 0.0 5.596755840549638
35 8925 0.0 5.166456012036958
s 36 0.0 8.755609839329018
t 36 6.888479414112597 0.0
36 8134 0.0 7.007435929272554
t 37 73.67275494474909 0.0
