c #vertices #edges weightDimension idOffset
mincutGraph 8 7 2 3058
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 23632 0.0 5.6628327935049345
t 23632 3.998100087294137 0.0
23632 48732 0.0 4.1417836352393405
s 49074 0.0 3.4698390698198267
t 49074 3.029370086819389 0.0
s 48627 0.0 4.891226861166132
t 48627 2.6681095856119454 0.0
s 46760 0.0 2.8820557964139244
t 46760 5.13580431985023 0.0
46760 48627 0.0 3.6809513448058433
t 18234 5.310567228938411 0.0
18234 49074 0.0 3.884417962239471
18234 46760 0.0 4.068111337391622
18234 48732 0.0 2.8700469270272926
s 43803 0.0 5.448656833718466
t 43803 3.355836702979813 0.0
s 11020 0.0 3.374337335815952
t 11020 2.943275447850501 0.0
11020 49074 0.0 1.7461156127777941
11020 43803 0.0 3.865355252869098
s 48732 0.0 3.469839069576438
t 48732 4.917725726040613 0.0
