c #vertices #edges weightDimension idOffset
mincutGraph 10168 11374 2 1225
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 9.202077574293844
t 0 157.85984617711756 0.0
0 9665 0.0 36.5653550888892
0 5301 0.0 34.48184391053444
s 1 0.0 7.015200169690406
t 1 5.8981861129090225 0.0
1 5525 0.0 5.055822167540931
s 2 0.0 9.219014119302098
t 2 47.37168594751256 0.0
2 6292 0.0 10.519412976238703
2 9928 0.0 12.419564617764085
s 3 0.0 14.206564066089552
t 3 178.99265787157825 0.0
3 4795 0.0 27.895751499897393
3 5052 0.0 25.297929775427193
t 4 352.19042259694675 0.0
4 6241 0.0 37.84908772451739
4 9383 0.0 27.221238779343462
4 4750 0.0 25.87925374291977
s 5 0.0 14.695134580053809
t 5 26.556307215573295 0.0
5 5962 0.0 10.475894685774492
s 6 0.0 3.7525859143989453
t 6 2.2764180829794642 0.0
6 8249 0.0 4.3488593123322845
6 6923 0.0 1.285078399264925
s 7 0.0 10.742820132964848
t 7 81.37775561321749 0.0
7 4199 0.0 15.180069151480582
7 9311 0.0 18.03831857353692
t 8 205.0287728883373 0.0
8 2976 0.0 14.373010952042268
8 6596 0.0 28.720068418131547
8 1131 0.0 30.602682506795578
s 9 0.0 31.778264673337823
t 9 424.10218908068344 0.0
9 8468 0.0 27.92079016416748
9 396 0.0 35.61798669482582
s 10 0.0 12.96363390290281
t 10 138.62130088297968 0.0
10 1153 0.0 22.852763630279608
10 1286 0.0 21.942313556938398
s 11 0.0 11.944430200658015
t 11 108.89758156237107 0.0
11 5971 0.0 18.671952786699613
11 1883 0.0 19.881497249366426
s 12 0.0 6.80032708951058
t 12 19.21483461831571 0.0
12 5329 0.0 8.59176229377115
12 9597 0.0 5.660697342273264
t 13 36.9278388618536 0.0
13 288 0.0 26.441047401615293
13 8098 0.0 4.001873051793768
13 2703 0.0 29.439673548056472
t 14 233.2716555350946 0.0
14 732 0.0 19.97987449009973
14 845 0.0 29.867985821542455
14 2254 0.0 23.390010537700864
s 15 0.0 11.957941489721625
t 15 87.98463747565118 0.0
15 5186 0.0 14.849810302961036
15 599 0.0 17.773123715920715
s 16 0.0 12.760263984167848
t 16 39.59624476787241 0.0
16 6630 0.0 6.2156083858828195
