c #vertices #edges weightDimension idOffset
mincutGraph 5 4 2 1389
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 12931 0.0 5.720480457119782
t 12931 1.771770339151838 0.0
s 3605 0.0 10.170313038618394
t 3605 13.64461853163287 0.0
3605 9573 0.0 10.518315601962886
3605 13531 0.0 2.683224887930579
s 9573 0.0 12.968228259683217
t 9573 13.647819302263583 0.0
s 7720 0.0 3.399891490390802
t 7720 8.527607248295142 0.0
7720 12931 0.0 5.06563031384582
7720 13531 0.0 5.6946734882883
s 13531 0.0 5.022908553680266
t 13531 6.738796620517139 0.0
