c #vertices #edges weightDimension idOffset
mincutGraph 6 5 2 820
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 2400 0.0 3.984508915379175
t 2400 6.055727978622339 0.0
2400 5805 0.0 3.039644520763649
s 13545 0.0 8.152164064361441
t 13545 7.818536730168626 0.0
s 667 0.0 5.150846743665738
t 667 7.803794760607898 0.0
667 2400 0.0 5.005770330246272
667 10814 0.0 3.2468272133917715
s 5805 0.0 5.089730923140901
t 5805 7.735486356343275 0.0
5805 13545 0.0 5.92830495870383
s 9245 0.0 5.980728044865321
t 9245 4.118632410671057 0.0
9245 10814 0.0 4.131069536367518
s 10814 0.0 3.9845089162345024
t 10814 6.031151199467575 0.0
