c #vertices #edges weightDimension idOffset
mincutGraph 5 4 2 6717
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 33764 0.0 2.1059949432087604
t 33764 1.8663947493976765 0.0
33764 39193 0.0 4.156590754888351
s 27398 0.0 2.5275597278809254
t 27398 0.7215484304497235 0.0
s 39193 0.0 8.7711726562742
t 39193 16.67342328702437 0.0
s 8811 0.0 2.6466986373176833
t 8811 2.189066774769564 0.0
8811 33764 0.0 2.424145096419166
8811 27398 0.0 1.8711897878643746
s 34956 0.0 10.98059399743932
t 34956 13.919055771853358 0.0
34956 39193 0.0 8.045882703941864
