c #vertices #edges weightDimension idOffset
mincutGraph 4559 5072 2 530
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 61.904331624844815 0.0
0 386 0.0 18.35108167694641
0 3781 0.0 8.463772284786652
0 3197 0.0 14.860307334174395
s 1 0.0 10.86329661226429
t 1 104.46842290837485 0.0
1 3190 0.0 20.588391611105624
1 2855 0.0 19.552262671750402
s 2 0.0 7.115805170825511
t 2 22.504726375469655 0.0
2 2872 0.0 7.294600775111557
2 2890 0.0 7.220517123432794
t 3 125.02060068887137 0.0
3 840 0.0 19.188207606929364
3 4170 0.0 29.69927131428641
3 510 0.0 15.034986807150414
t 4 154.06994309882234 0.0
4 497 0.0 24.152198882754632
4 1399 0.0 16.33251147017208
4 3215 0.0 18.90824899163714
s 5 0.0 13.616506167396565
t 5 53.07146973164048 0.0
5 465 0.0 12.321225373770726
5 2167 0.0 8.795851105012073
s 6 0.0 8.477677751574701
t 6 28.09949060933471 0.0
6 2868 0.0 13.472320781983086
6 3284 0.0 7.383263231444951
t 7 142.49003880266076 0.0
7 2099 0.0 20.54498328188533
7 1381 0.0 22.803749994605422
7 4520 0.0 14.084886087079875
s 8 0.0 9.420040438827693
t 8 124.62927341693059 0.0
8 552 0.0 27.19870163031576
8 4061 0.0 26.644475960548622
s 9 0.0 7.3162474428947935
t 9 15.915568383407972 0.0
9 695 0.0 8.512136649394252
9 2967 0.0 4.350746337554356
s 10 0.0 10.399397513071497
t 10 45.42094173484671 0.0
10 4370 0.0 13.178418912504494
10 861 0.0 8.751488536156174
t 11 33.98450514586429 0.0
11 155 0.0 13.039820579722406
11 2923 0.0 5.739773747810164
11 3855 0.0 11.8450663898805
s 12 0.0 10.390639130598956
t 12 96.20936078925737 0.0
12 3968 0.0 23.568216778227935
12 558 0.0 18.986054641164923
s 13 0.0 20.44307440555978
t 13 552.7468267234656 0.0
13 4465 0.0 59.26120815669556
13 4168 0.0 54.209854150638364
s 14 0.0 11.27691186440498
t 14 26.35177805297261 0.0
14 733 0.0 5.039083902847692
14 2526 0.0 10.491252556714217
t 15 1613.5142074830537 0.0
15 1430 0.0 147.52270066750864
15 2760 0.0 157.64711636056848
15 3295 0.0 23.504382920327586
t 16 59.29386086739209 0.0
16 769 0.0 5.050747949905654
16 4035 0.0 23.505993812387462
16 3399 0.0 23.80580153150231
t 17 327.1677937361505 0.0
17 2039 0.0 38.933018231202944
17 4359 0.0 39.66874411405786
17 969 0.0 17.072443911738347
s 18 0.0 10.27376736366893
t 18 19.701458846149993 0.0
18 2388 0.0 10.966301812434343
18 582 0.0 3.8352939381945053
s 19 0.0 4.9985675465844945
t 19 33.20625953040758 0.0
19 899 0.0 13.448423560887537
19 3780 0.0 15.055172130942408
s 20 0.0 2.896747799050907
t 20 2.622233690664123 0.0
20 1960 0.0 2.7452250171089037
20 1659 0.0 1.9929671227069685
t 21 128.06043435574804 0.0
21 3216 0.0 27.549957817885165
21 2818 0.0 23.922898556727027
21 3332 0.0 10.805423704388108
t 22 33.21094450568971 0.0
22 3632 0.0 23.050384860791283
22 913 0.0 24.2220557192647
22 2043 0.0 3.0500659875732654
s 23 0.0 7.561786264162151
t 23 6.902965604000411 0.0
23 545 0.0 21.774470872295723
23 524 0.0 14.25342232401399
s 24 0.0 8.324829763813277
t 24 32.92986050318592 0.0
24 3733 0.0 7.91224812641906
24 3706 0.0 11.576268466178442
s 25 0.0 7.632345698132592
t 25 14.998891537904635 0.0
25 3394 0.0 6.812351487156193
25 3142 0.0 4.44126205169507
s 26 0.0 4.692254427028442
t 26 2.646006535746582 0.0
26 2312 0.0 3.3904801047892223
s 27 0.0 11.828907254446193
t 27 41.22472804378406 0.0
27 201 0.0 8.606910985605644
27 4525 0.0 9.72347406103425
s 28 0.0 6.03940726749179
t 28 18.191691240773682 0.0
28 4150 0.0 7.531422188043759
28 4171 0.0 6.212999519782622
s 29 0.0 7.29635977762187
t 29 112.02639955573969 0.0
29 3658 0.0 30.70838567580062
29 4251 0.0 31.508637804782097
s 30 0.0 3.6210568300785795
t 30 2.4459856174893373 0.0
30 2784 0.0 1.3509788618458427
30 825 0.0 3.86486693833069
s 31 0.0 6.577336122187054
t 31 16.43385254821384 0.0
31 1952 0.0 4.998559137501622
31 3289 0.0 8.16495360400279
s 32 0.0 12.87474111855018
t 32 43.78827572135382 0.0
32 1061 0.0 13.749412992406663
32 2138 0.0 6.864916249229346
t 33 100.4167083657737 0.0
33 2340 0.0 12.839072703501543
33 343 0.0 15.646497169950363
33 3199 0.0 20.01043893374019
s 34 0.0 5.660149756169128
t 34 37.279653308234884 0.0
34 3233 0.0 13.31447427277741
34 2997 0.0 15.206952113835802
s 35 0.0 12.955929061743744
t 35 129.71327651533664 0.0
35 2725 0.0 22.904004663632065
35 3541 0.0 20.10781119862218
s 36 0.0 3.667645421902343
t 36 4.203632169228145 0.0
36 3783 0.0 3.5673903136539247
36 3991 0.0 2.4753316107749455
s 37 0.0 3.9704287468983823
t 37 4.926345136579132 0.0
37 1552 0.0 3.147278001670551
37 3369 0.0 3.2089771585094424
t 38 52.50847590625119 0.0
38 629 0.0 9.141166595234093
38 1832 0.0 24.291693495395837
38 2088 0.0 16.803089488979854
s 39 0.0 9.927133974992795
t 39 87.05989790314294 0.0
39 1019 0.0 23.609877844116532
39 3067 0.0 18.498310995876476
t 40 1216.4611630430854 0.0
40 1110 0.0 163.02944522062847
40 1548 0.0 153.27890697192257
40 1230 0.0 18.234743980235628
s 41 0.0 5.735259995573527
t 41 10.279127255311893 0.0
41 2824 0.0 6.2214406747100375
41 4216 0.0 3.6430375834796087
s 42 0.0 12.864073043705416
t 42 86.46082782661803 0.0
42 2248 0.0 15.161171518950843
42 3323 0.0 23.994809347847553
s 43 0.0 6.1014250167587125
t 43 47.05304906005453 0.0
43 795 0.0 15.449256585504141
43 3085 0.0 16.280416284027307
t 44 76.96064326837336 0.0
44 663 0.0 21.13560638396497
44 3772 0.0 22.82797164573232
44 1743 0.0 7.299672663317585
s 45 0.0 7.077188043540461
t 45 9.777285067512228 0.0
45 976 0.0 9.333598874125974
45 2510 0.0 3.3185646073968686
t 46 20.980285636853765 0.0
46 773 0.0 5.484452392962813
46 2168 0.0 8.029022127626217
46 3768 0.0 8.236087160505809
t 47 121.48252880855173 0.0
47 3859 0.0 23.773442929124105
47 3675 0.0 17.001720866811986
47 878 0.0 14.429486178472047
t 48 103.21212158866088 0.0
48 1617 0.0 12.630548977373723
48 466 0.0 18.823873884040765
48 2130 0.0 16.671212651498916
s 49 0.0 10.84700573159868
t 49 137.10243336263005 0.0
49 2410 0.0 25.313373136807677
49 2011 0.0 27.017532995279293
s 50 0.0 11.228181366200578
t 50 67.37171200844043 0.0
50 3697 0.0 12.520538339592333
50 2959 0.0 14.235248813393323
s 51 0.0 0.7051067343781388
t 51 0.15536734594883533 0.0
51 1524 0.0 0.48091796485235727
51 3735 0.0 0.6759663447619116
s 52 0.0 13.820556321645045
t 52 83.3153843038376 0.0
52 217 0.0 12.91410368627749
52 2015 0.0 15.161994573234404
t 53 20.786529941346302 0.0
53 736 0.0 3.5880061039629063
53 1073 0.0 11.655745502289763
53 374 0.0 12.562739714704037
t 54 50.695841137212206 0.0
54 1282 0.0 11.254959243353214
54 4426 0.0 9.00920661584461
54 2109 0.0 14.336359493116205
t 55 44.55296680165329 0.0
55 3673 0.0 3.559590630187819
55 191 0.0 25.35149553359452
55 287 0.0 25.03665423922253
s 56 0.0 10.508067400573296
t 56 76.55040645247146 0.0
56 280 0.0 15.101271507411239
56 909 0.0 15.969165667871488
s 57 0.0 9.770323792869103
t 57 112.70359093540675 0.0
57 3058 0.0 23.119218452424587
57 473 0.0 24.50863397857215
t 58 11.592077051956043 0.0
58 2898 0.0 6.129390620022304
58 1081 0.0 8.529058828833293
58 4089 0.0 4.0746082823889065
s 59 0.0 10.356481426961809
t 59 29.902256712170534 0.0
59 3780 0.0 8.324850693542459
59 1813 0.0 7.235747037297351
t 60 109.44683119295509 0.0
60 565 0.0 7.1910725504022315
60 3275 0.0 30.925383651766055
60 239 0.0 30.48884340180442
s 61 0.0 12.842584668872469
t 61 182.01321056689795 0.0
61 2667 0.0 50.70780445305554
61 1166 0.0 61.775078091958676
t 62 55.69971727773338 0.0
62 3105 0.0 11.387581925956857
62 627 0.0 12.968702821975153
62 3883 0.0 10.195839380975926
s 63 0.0 9.205660340033036
t 63 41.39312715476942 0.0
63 3339 0.0 10.62760648147328
63 1389 0.0 9.66551590966078
t 64 51.56340434835944 0.0
64 4471 0.0 17.031469249299192
64 1437 0.0 6.298361398661259
64 3055 0.0 16.452603287550893
s 65 0.0 7.2093696202211355
t 65 60.411460960283534 0.0
65 432 0.0 18.153873892304553
65 1383 0.0 16.760747647777315
t 66 111.10716327768193 0.0
66 4544 0.0 13.264477868378787
66 338 0.0 54.254206002727514
66 3448 0.0 41.83887571362431
s 67 0.0 13.19822838073678
t 67 57.99721373979085 0.0
67 2739 0.0 9.115511128685965
67 4006 0.0 17.920476438310587
t 68 74.62380007159919 0.0
68 1333 0.0 18.674225920527952
68 3717 0.0 9.735778809920722
68 2190 0.0 15.357890325529382
s 69 0.0 11.276912057413478
t 69 45.6979902262232 0.0
69 1841 0.0 13.670223033050632
69 3525 0.0 8.109139986679013
s 70 0.0 10.771803976711668
t 70 58.760173896126936 0.0
70 4558 0.0 11.706404141243777
70 495 0.0 12.71376219620401
s 71 0.0 3.2059891784970396
t 71 3.2119895666943794 0.0
71 2354 0.0 3.281551716388694
71 3368 0.0 2.0937298330713214
s 72 0.0 3.536090671191124
t 72 3.9074803855272826 0.0
72 3274 0.0 2.9847428709143164
72 2251 0.0 2.6879911529795226
s 73 0.0 16.842626791874
t 73 29.99332540246795 0.0
73 2235 0.0 12.788370389988946
s 74 0.0 6.260763072407013
t 74 9.286935463814658 0.0
74 3640 0.0 2.9667104014029406
74 575 0.0 6.928096770157634
t 75 147.7923152706409 0.0
75 3859 0.0 21.054366169669013
75 3076 0.0 21.156117287238885
75 1835 0.0 14.98082571232947
s 76 0.0 10.753783236810214
t 76 10.181716542039123 0.0
76 1496 0.0 8.650843584663058
s 77 0.0 8.227847567045309
t 77 139.4089634982023 0.0
77 2857 0.0 35.28339738490363
77 3756 0.0 33.92484527848341
s 78 0.0 11.785495343320328
t 78 37.92226194799599 0.0
78 2434 0.0 9.995749755493584
78 2840 0.0 7.650409330287008
t 79 89.37871176629588 0.0
79 3232 0.0 6.833508497601426
79 3117 0.0 33.771377726899786
79 4461 0.0 38.45931951530985
s 80 0.0 9.176644080952363
t 80 72.49975572345737 0.0
80 685 0.0 16.222416487427967
80 1630 0.0 16.731700062826587
s 81 0.0 6.238894173496208
t 81 3.703697828820212 0.0
81 3145 0.0 4.915080543115476
t 82 161.7241517002928 0.0
82 481 0.0 4.880342556447039
82 3921 0.0 67.47639486803652
82 2859 0.0 66.73222625790659
t 83 16.35409889388023 0.0
83 3894 0.0 9.828279960660735
83 2327 0.0 8.214788418642634
83 2412 0.0 4.055557135242339
s 84 0.0 3.5906529738018707
t 84 146.66692582324976 0.0
84 3440 0.0 212.76606983920095
84 4542 0.0 209.45517927930896
s 85 0.0 8.135422514676847
t 85 7.143037083407825 0.0
85 654 0.0 6.129054864832859
s 86 0.0 6.3060844026533145
t 86 14.690090701502529 0.0
86 2360 0.0 5.660162991500195
86 1982 0.0 5.5916312299236255
s 87 0.0 7.376660210019408
t 87 21.907708596002728 0.0
87 4517 0.0 5.956379673160299
87 1846 0.0 9.128467725717362
s 88 0.0 6.016307559343002
t 88 13.185651048295384 0.0
88 2866 0.0 4.833257537782422
88 4156 0.0 5.920541461881396
s 89 0.0 13.04444942793071
t 89 201.22460389213495 0.0
89 2242 0.0 30.989702937614528
89 503 0.0 32.47193274463599
t 90 291.47035144452775 0.0
90 1248 0.0 24.87737248517943
90 4069 0.0 24.13893354998532
90 3769 0.0 30.218428129683915
s 91 0.0 10.774282824741688
t 91 99.82830293017412 0.0
91 1872 0.0 20.193958764981186
91 684 0.0 18.733656587408472
s 92 0.0 11.165832409512962
t 92 108.6032238587438 0.0
92 4296 0.0 19.48143520057674
92 1305 0.0 21.922888293335618
t 93 75.18322754182824 0.0
93 3185 0.0 30.496586214733828
93 1027 0.0 29.950751126756366
93 2026 0.0 5.0221333652418
s 94 0.0 9.67836684235365
t 94 24.04670690130699 0.0
94 2498 0.0 5.060047165410369
94 2925 0.0 10.039664636251432
s 95 0.0 8.899152055767768
t 95 23.244980223932302 0.0
95 4514 0.0 10.77334590171158
95 3899 0.0 5.250186871709127
s 96 0.0 11.095843014382549
t 96 8.731607999206297 0.0
96 3677 0.0 9.390654771960643
s 97 0.0 14.866583940081693
t 97 203.13972256740726 0.0
97 3159 0.0 30.511053579052042
97 1241 0.0 27.35921157252139
t 98 230.29108131723427 0.0
98 4211 0.0 45.791761349984675
98 1418 0.0 30.198215981451508
98 1388 0.0 20.02683674833354
s 99 0.0 4.7782341406937325
t 99 2.605033768582823 0.0
99 2201 0.0 3.5188084041695733
s 100 0.0 9.90243640526586
t 100 29.8396130815065 0.0
100 3346 0.0 6.0348838646402045
100 4395 0.0 11.861376023200242
t 101 17.450513259679983 0.0
101 2864 0.0 8.445546489135369
101 1351 0.0 7.939431327966859
101 2985 0.0 4.455800987280942
t 102 1226.7846402152638 0.0
102 3540 0.0 76.30804541810765
102 2485 0.0 97.31828168178811
102 3678 0.0 35.71409646623353
s 103 0.0 4.958287903644009
t 103 9.29521247198371 0.0
103 2705 0.0 6.915979821120922
103 2830 0.0 3.8452084976899177
t 104 17.588348520774908 0.0
104 752 0.0 8.581924482632084
104 722 0.0 5.906272628737128
104 3327 0.0 5.962052224989619
s 105 0.0 0.7371014653302893
t 105 3.328869691060955 0.0
105 604 0.0 9.780334161518454
105 4140 0.0 9.521980666114636
t 106 69.1603359732692 0.0
106 2546 0.0 18.248096111809957
106 3320 0.0 12.155212218556171
106 3800 0.0 11.573519883835134
s 107 0.0 5.861320165504069
t 107 35.126737562025085 0.0
107 4494 0.0 21.40091733872365
107 3727 0.0 16.867643654916904
s 108 0.0 8.31646324782014
t 108 21.468648458859565 0.0
108 772 0.0 5.590286889700004
108 2333 0.0 8.0472802358215
s 109 0.0 14.34262830736079
t 109 114.13280712935618 0.0
109 245 0.0 19.162415023245252
109 2808 0.0 16.33285318104629
s 110 0.0 7.34917408345101
t 110 114.14003514559687 0.0
110 3702 0.0 31.81455692493562
110 665 0.0 34.165530637766764
t 111 48.522829513949866 0.0
111 439 0.0 9.438565317441327
111 2265 0.0 10.283249310381464
111 2988 0.0 14.073543347661039
s 112 0.0 10.795135165544828
t 112 33.425344083211044 0.0
112 4163 0.0 12.552380316735494
112 2635 0.0 6.193896185818964
s 113 0.0 4.047516143594735
t 113 32.95616213119172 0.0
113 752 0.0 16.706463582973093
113 4179 0.0 16.287720847882603
t 114 5.611610248823758 0.0
