c #vertices #edges weightDimension idOffset
mincutGraph 8 7 2 1192
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 467 0.0 10.91966547064871
t 467 56.934691303536724 0.0
467 5737 0.0 10.579398230788476
467 8939 0.0 16.43536485822643
s 15300 0.0 0.8212351542460586
t 15300 7.914442514522612 19.845282008500167
s 15335 0.0 2.6296677822858188
t 15335 2.0505446034930084 0.0
s 5737 0.0 12.477602645668805
t 5737 53.77007884596429 0.0
s 8939 0.0 12.477602645045783
t 8939 102.07085413034808 0.0
8939 15300 0.0 19.665917519394814
s 4044 0.0 4.930393270077635
t 4044 6.029257124054648 0.0
4044 15335 0.0 2.9074472529592468
s 8828 0.0 1.7447785032379537
t 8828 0.1429983991894737 0.0
8828 15335 0.0 1.5694329614532392
s 3614 0.0 11.456409072294228
t 3614 36.325421500088 0.0
3614 5737 0.0 10.70072270312429
3614 4044 0.0 6.947253892714988
