c #vertices #edges weightDimension idOffset
mincutGraph 11596 12701 2 1132
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 16.566104996964697 0.0
0 2002 0.0 5.9949771615662515
0 8370 0.0 7.276595872664552
0 9876 0.0 5.668829058930892
t 1 49.34178711865161 0.0
1 1136 0.0 17.234586711369488
1 4531 0.0 15.59229099824344
1 7774 0.0 6.344145347121234
s 2 0.0 4.8794613882258115
t 2 465.6532985898448 0.0
2 2803 0.0 361.9996135245334
2 11117 0.0 366.1547941716837
t 3 165.90015678486296 0.0
3 1658 0.0 21.18732630635293
3 4492 0.0 18.74590235272438
3 574 0.0 19.070975993962794
s 4 0.0 12.985396100450306
t 4 19.339691441720273 0.0
4 8512 0.0 9.54511214521521
s 5 0.0 7.108205531505872
t 5 48.76974850468528 0.0
5 8305 0.0 13.747108180569475
5 2741 0.0 15.090602465497819
s 6 0.0 9.088746851455024
t 6 5.216597385186859 0.0
6 9594 0.0 1.4374073371149554
6 8731 0.0 10.019826724838982
s 7 0.0 7.721564355923114
t 7 169.12380417323777 0.0
7 7926 0.0 49.15645020349049
7 5063 0.0 53.10751930467558
s 8 0.0 8.896301942018637
t 8 106.20474724597797 0.0
8 8664 0.0 24.23660004177624
8 43 0.0 24.340543268354597
t 9 23.995034371961925 0.0
9 2993 0.0 9.3026745573509
9 5323 0.0 13.463273088815843
9 9387 0.0 22.342121453813988
t 10 65.64975067498102 0.0
10 738 0.0 16.1652225862011
10 11637 0.0 9.781390010043394
10 10406 0.0 13.445715269527957
s 11 0.0 9.018002942577445
t 11 6.731196040342377 0.0
11 2467 0.0 7.373751165595295
t 12 41.95005238130692 0.0
12 5313 0.0 12.645976861693798
12 10244 0.0 10.336704242478865
12 4325 0.0 8.141855014759074
t 13 32.202895532677545 0.0
13 608 0.0 11.199605290539814
13 10627 0.0 10.113584248552
13 788 0.0 6.431631033959847
s 14 0.0 10.988725939776508
t 14 16.636796363723906 0.0
14 8229 0.0 14.380571251746181
14 7334 0.0 4.311627689536736
s 15 0.0 6.439235743816392
t 15 20.286083334107886 0.0
15 6166 0.0 7.2763271920444295
15 8845 0.0 6.894843107261756
t 16 21.149782750342734 0.0
16 432 0.0 3.364679627852169
16 10321 0.0 12.591717278646428
16 10101 0.0 12.84874193215455
t 17 23.61033334269018 0.0
17 1744 0.0 11.967204428347735
17 3657 0.0 13.760989406461018
17 11247 0.0 4.128940288772799
s 18 0.0 13.922301520033367
t 18 88.9168359331452 0.0
18 5195 0.0 14.185377641283608
18 9231 0.0 14.941772468569726
s 19 0.0 0.08687386997164684
t 19 8.08996202178119E-4 0.0
19 7124 0.0 0.04656742672312975
t 20 153.40484634151963 0.0
20 8128 0.0 16.554672944031967
20 11657 0.0 23.302532275860077
20 7115 0.0 18.691629062340674
s 21 0.0 10.817398300815489
t 21 81.26417132073509 0.0
21 9291 0.0 15.214555899594037
21 6380 0.0 17.223901838945952
s 22 0.0 5.79628866260505
t 22 25.160043588717205 0.0
22 2284 0.0 12.105327689706051
22 318 0.0 9.073978887387396
s 23 0.0 8.054521265703231
t 23 31.322784644383475 0.0
23 2018 0.0 11.81216404309297
23 7583 0.0 7.822450757997586
t 24 549.4346857023346 0.0
24 3302 0.0 40.54156959666608
24 6344 0.0 39.520216635524136
24 7869 0.0 29.554288371354154
s 25 0.0 1.3227767055562933
t 25 0.5467931913470916 0.0
25 3154 0.0 1.190167426472708
25 7235 0.0 0.9493283081499163
s 26 0.0 12.238862043757859
t 26 93.18174287108809 0.0
26 1361 0.0 16.38396284402167
26 4098 0.0 16.437937217484887
s 27 0.0 11.653405384640791
t 27 52.26432971973225 0.0
27 6786 0.0 11.475270455726402
27 2947 0.0 10.033626322449502
t 28 138.06245748478918 0.0
28 2519 0.0 17.21980759042784
28 7383 0.0 22.78144051765576
28 1837 0.0 16.068844642299585
s 29 0.0 8.276559573388132
t 29 73.19721410566541 0.0
29 3840 0.0 17.718101322803214
29 5289 0.0 19.989192391880575
s 30 0.0 8.202468532671332
t 30 7.965225788266127 0.0
30 655 0.0 5.952803086956811
t 31 76.30573579173972 0.0
31 5235 0.0 13.714693346665888
31 2908 0.0 11.37148336598641
31 1693 0.0 19.53605154305952
s 32 0.0 8.676752201983087
t 32 32.84966731927604 0.0
32 9977 0.0 21.37581667198969
32 8909 0.0 13.613172359045686
s 33 0.0 12.12615005228499
t 33 48.34520052717393 0.0
33 4342 0.0 8.121711776696634
33 4760 0.0 13.250439899619865
t 34 25.328746813286685 0.0
34 8164 0.0 16.596917912241658
34 8249 0.0 17.82116882928686
34 7404 0.0 3.1999140186872417
t 35 23.934360514249995 0.0
35 6728 0.0 10.072525059232209
35 4121 0.0 4.804725715901309
35 10013 0.0 10.502188898318984
t 36 14.409075219693506 0.0
36 7538 0.0 6.406612126562347
36 917 0.0 6.024139588639962
36 2492 0.0 5.0981895392297485
s 37 0.0 3.672326417837286
t 37 19.067455099527386 0.0
37 5729 0.0 10.423186598592768
37 8860 0.0 10.748521980272676
t 38 11.34025652052074 0.0
38 8832 0.0 3.168855428002956
38 1289 0.0 7.2144712064517815
38 11358 0.0 7.506426180640689
s 39 0.0 7.158119702055565
t 39 6.287484413419204 0.0
39 6807 0.0 5.037214922917033
s 40 0.0 6.085121742586249
t 40 99.58079868859684 0.0
40 2832 0.0 35.795564701241126
40 11355 0.0 33.79257807261053
s 41 0.0 3.7317552293879217
t 41 15.041477142982249 0.0
41 390 0.0 8.8652827845033
41 1791 0.0 8.06145565830537
s 42 0.0 10.630470999597222
t 42 83.44108096788014 0.0
42 10770 0.0 17.07193362139419
42 9683 0.0 16.18088538493142
t 43 78.52741550060618 0.0
43 11360 0.0 23.580374957443972
43 7741 0.0 6.662543406658562
s 44 0.0 3.3543766326443643
t 44 2.2914893325188093 0.0
44 1187 0.0 7.562802355963244
44 11036 0.0 4.306467137457654
s 45 0.0 5.945112079900193
t 45 11.045111762611796 0.0
45 967 0.0 4.2798004773308405
45 7341 0.0 5.33002990525938
t 46 19.015820969050324 0.0
46 6769 0.0 10.104757307171711
46 7409 0.0 8.64609624841416
46 348 0.0 4.421768751133144
s 47 0.0 5.163289817538663
t 47 1.5416298391508074 0.0
47 10773 0.0 4.9124515907694075
s 48 0.0 8.0145778393183
t 48 24.353320948072533 0.0
48 9441 0.0 8.098932619024339
48 9304 0.0 6.634344197154501
s 49 0.0 6.991020665746348
t 49 21.907669641105084 0.0
49 4580 0.0 6.8489349064427785
49 7835 0.0 7.560798476901492
t 50 133.95936155350478 0.0
50 3696 0.0 14.225909744485097
50 8289 0.0 19.193853811611817
50 5689 0.0 21.573301396819218
s 51 0.0 7.020960678039074
t 51 16.378449623547642 0.0
51 10868 0.0 6.586471677202827
51 10270 0.0 5.233883070678882
t 52 118.95405563662594 0.0
52 81 0.0 27.801326255706293
52 7169 0.0 38.640663425184805
52 9911 0.0 13.070623388201925
t 53 61.03709836474124 0.0
53 4738 0.0 18.598036255818986
53 1977 0.0 17.433926571555066
53 8041 0.0 7.005087666449706
t 54 52.51075082579647 0.0
54 7220 0.0 16.972719551458383
54 1096 0.0 6.2627966830416
54 5197 0.0 17.159973662438972
s 55 0.0 5.061072581847894
t 55 20.39869804692591 0.0
55 3156 0.0 8.06310324433898
55 5550 0.0 9.421886571602172
s 56 0.0 11.662847452243984
t 56 187.37331830743577 0.0
56 10544 0.0 32.13482646873715
56 10398 0.0 34.33938313793362
s 57 0.0 5.813587713574175
t 57 11.047277415624897 0.0
57 7348 0.0 4.831246279662307
57 10142 0.0 4.738898036376649
t 58 10.776572083968805 0.0
58 7570 0.0 7.555998898723706
58 9323 0.0 2.959782012401909
58 6716 0.0 8.819815913628398
s 59 0.0 12.430166526523047
t 59 18.148962022592013 0.0
59 9669 0.0 9.033017486987973
s 60 0.0 12.328173488119564
t 60 179.00959287973456 0.0
60 6647 0.0 29.041154935795607
60 4623 0.0 31.488241922659995
s 61 0.0 10.586291672255385
t 61 8.973653850521458 0.0
61 10472 0.0 12.625025678646418
61 11165 0.0 2.564650100735566
t 62 205.03361961583454 0.0
62 1998 0.0 12.483994733335964
62 3566 0.0 34.233206475108666
62 11439 0.0 32.97019891251342
t 63 26.34887823399479 0.0
63 10368 0.0 9.056233673217568
63 6711 0.0 6.12810629648629
63 3432 0.0 12.424918079954622
s 64 0.0 6.197809273730355
t 64 76.94625107377641 0.0
64 9243 0.0 25.45309718367421
64 11372 0.0 27.489064625678328
s 65 0.0 11.397336621541276
t 65 61.02740943355579 0.0
65 8722 0.0 12.459909295941012
65 3209 0.0 11.83078062176791
s 66 0.0 12.610716549043715
t 66 56.48579472034103 0.0
66 2819 0.0 10.490904104751113
66 2247 0.0 11.462634888716954
s 67 0.0 10.811796448046643
t 67 12.98018522946418 0.0
67 8760 0.0 8.061868245029821
s 68 0.0 5.327653410452564
t 68 3.4811050994211175 0.0
68 2537 0.0 3.810541822041928
s 69 0.0 11.429200284379005
t 69 129.24179571642054 0.0
69 7138 0.0 23.347457244289306
69 8429 0.0 23.30658056128158
t 70 14.730129262607312 0.0
70 6195 0.0 6.621201501758238
70 7877 0.0 5.616487750930588
70 7710 0.0 5.476912736302804
s 71 0.0 7.262851254804648
t 71 127.63874815688577 0.0
71 9448 0.0 36.81211264929526
71 7387 0.0 39.5830486429352
t 72 141.19257902693835 0.0
72 4195 0.0 22.524876246922034
72 5051 0.0 12.536769389942146
72 2382 0.0 25.837077477379207
s 73 0.0 8.677925991614499
t 73 9.257347549967598 0.0
73 3637 0.0 6.073783676398178
s 74 0.0 9.082527505090319
t 74 13.624551584664026 0.0
74 4583 0.0 3.0001674263090576
74 2044 0.0 9.56521356117064
s 75 0.0 10.719753397692585
t 75 70.26780160909699 0.0
75 7504 0.0 13.562841148691879
75 6463 0.0 14.978307265780726
s 76 0.0 18.573898533981808
t 76 63.95992653540562 0.0
76 10969 0.0 6.9758150998182336
76 5005 0.0 18.773646652369806
s 77 0.0 7.986398344153863
t 77 12.486392536300414 0.0
77 378 0.0 3.2043999592683994
77 3582 0.0 7.928626130744557
s 78 0.0 9.230821885000822
t 78 114.22880088853505 0.0
78 248 0.0 25.577694647935747
78 7002 0.0 24.90446275203855
s 79 0.0 10.706931758055696
t 79 56.30615975402554 0.0
79 2038 0.0 10.760528068534663
79 11565 0.0 13.481538059871378
s 80 0.0 6.889605291456482
t 80 17.30381549002688 0.0
80 1750 0.0 5.07776477425845
80 10507 0.0 9.136914368638982
t 81 38.531684399154344 0.0
81 1371 0.0 23.102209340448976
81 6171 0.0 5.600152842776137
s 82 0.0 4.3641721683322805
t 82 46.26770131310782 0.0
82 2215 0.0 21.386516221064063
82 4698 0.0 22.378618448345154
s 83 0.0 13.730090716334747
t 83 21.9804247969433 0.0
83 7298 0.0 10.0476822619461
s 84 0.0 5.001405734874346
t 84 57.56499966229353 0.0
84 966 0.0 23.667447265154056
84 6951 0.0 23.02492584378514
s 85 0.0 8.681258743032956
t 85 5.81955257236101 0.0
85 201 0.0 7.220318542487695
s 86 0.0 3.5217223896044008
t 86 2.8839551697581305 0.0
86 120 0.0 3.8839346677880293
86 11161 0.0 1.6378094867847253
t 87 145.0678567959405 0.0
87 11137 0.0 11.766280313478363
87 2915 0.0 26.694876400209075
87 330 0.0 24.70624473208393
s 88 0.0 7.3419791149030305
t 88 58.80396552431017 0.0
88 6199 0.0 16.04860907084451
88 2506 0.0 18.05205586915054
s 89 0.0 7.096897408712814
t 89 53.284339339804205 0.0
89 2278 0.0 15.849788506565497
89 2187 0.0 15.152102266301423
t 90 11.734900645843144 0.0
90 5328 0.0 6.942927571952424
90 9123 0.0 4.7673692938139
90 1356 0.0 4.924682140229202
s 91 0.0 11.919555670133741
t 91 118.16508927475896 0.0
91 5944 0.0 21.140399250460767
91 9887 0.0 20.350223175793317
t 92 65.97773721562581 0.0
92 979 0.0 7.00579911258418
92 4442 0.0 19.60647313199511
92 8143 0.0 18.89972238857319
s 93 0.0 5.1023160448280676
t 93 7.010055573964158 0.0
93 1736 0.0 2.7477935558577795
93 7055 0.0 5.795170269001522
