c #vertices #edges weightDimension idOffset
mincutGraph 5 4 2 986
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 4019 0.0 3.0462571363905018
t 4019 16.095662064884742 0.0
4019 5679 0.0 10.798660395957683
s 5539 0.0 3.337295322616758
t 5539 3.4804812723364043 0.0
s 4628 0.0 5.486118606397733
t 4628 3.6598753129411326 0.0
4628 5539 0.0 3.744486007927051
s 1272 0.0 10.164775312485022
t 1272 10.600892846725582 0.0
1272 4019 0.0 10.599567608667371
1272 5539 0.0 2.098184061667692
s 5679 0.0 12.390220561354779
t 5679 9.320279921687778 0.0
