c #vertices #edges weightDimension idOffset
mincutGraph 1717 1887 2 185
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 6.09161825888335
t 0 67.7945851458378 0.0
0 1121 0.0 24.192032596096524
0 37 0.0 27.162991008435977
s 1 0.0 5.126046412379829
t 1 3.1444720468690246 0.0
1 448 0.0 5.270819539431394
1 1280 0.0 1.2268605447172165
t 2 305.0114794258085 0.0
2 980 0.0 55.30808706773757
2 599 0.0 15.775513106242952
2 31 0.0 67.49438365458013
s 3 0.0 19.682964050725776
t 3 137.99710088892425 0.0
3 678 0.0 21.854126276015542
3 1566 0.0 14.322855760807771
t 4 719.5580406762513 0.0
4 1248 0.0 47.767069988875576
4 1062 0.0 59.18130154226204
4 442 0.0 30.294260814489764
t 5 165.41613841880044 0.0
5 1488 0.0 24.953945909362353
5 433 0.0 13.291943973725084
5 813 0.0 29.102452875233606
s 6 0.0 8.565852779098861
t 6 320.50872558024 0.0
6 593 0.0 79.74589461346741
6 525 0.0 77.2056930435991
s 7 0.0 6.523193718276596
t 7 4.652282965367459 0.0
7 568 0.0 4.897351251827056
s 8 0.0 11.012343347982332
t 8 281.7668374386687 0.0
8 1198 0.0 59.17713493479437
8 1455 0.0 54.48518848395947
t 9 3295.0597503798435 0.0
9 800 0.0 92.2213392249449
9 346 0.0 72.9797111044112
9 428 0.0 105.34698871681056
s 10 0.0 12.937040576074772
t 10 20.90212783429951 0.0
10 372 0.0 9.150381771697695
s 11 0.0 4.39152499618645
t 11 13.651858651678868 0.0
11 276 0.0 8.366731681828098
11 44 0.0 6.333494328483787
s 12 0.0 17.10270357456254
t 12 34.69328850409545 0.0
12 710 0.0 12.401150123067856
t 13 43.576459976379574 0.0
13 969 0.0 10.68371399407116
13 299 0.0 12.187915027520317
13 1532 0.0 8.318480606679268
s 14 0.0 7.903323444285392
t 14 113.43691874019238 0.0
14 1650 0.0 32.15180219259398
14 998 0.0 36.40185930259211
s 15 0.0 7.959369187607432
t 15 4.053087170782243 0.0
15 79 0.0 6.867915867048163
s 16 0.0 19.103004389445598
t 16 187.19000212388693 0.0
16 466 0.0 20.415410363729443
16 141 0.0 23.73199473476194
s 17 0.0 10.566164110796606
t 17 158.06551477431407 0.0
17 541 0.0 30.721030039775467
17 1471 0.0 30.134164469508526
s 18 0.0 7.3529229330538595
t 18 79.89959623871691 0.0
18 416 0.0 22.711447317915884
18 1408 0.0 21.745946611343353
s 19 0.0 4.890553451798129
t 19 9.421853732785028 0.0
19 1684 0.0 4.443715191901823
19 621 0.0 4.691686776621561
s 20 0.0 9.11234178178914
t 20 68.75057404859345 0.0
20 150 0.0 30.224079634131133
20 602 0.0 38.39002447566524
s 21 0.0 9.941277050171479
t 21 45.9235487538721 0.0
21 521 0.0 17.567003359458766
21 730 0.0 10.505153405099088
s 22 0.0 12.609025370521866
t 22 14.133098291004256 0.0
22 516 0.0 10.12420330120096
t 23 169.7019560632121 0.0
23 966 0.0 17.432420937664062
23 951 0.0 25.52922879189019
23 1197 0.0 19.491401026963217
s 24 0.0 8.639598296733746
t 24 59.31198765894303 0.0
24 1429 0.0 15.120778797051669
24 1599 0.0 20.3156246785466
t 25 77.73483713248118 0.0
25 212 0.0 30.824397729727803
25 1303 0.0 5.827785567324674
25 843 0.0 34.11884075275051
s 26 0.0 3.2601516313982115
t 26 5.581324366976448 0.0
26 947 0.0 4.658538667366575
26 1114 0.0 3.4254638579730177
t 27 417.1383364596744 0.0
27 1203 0.0 25.141495534824372
27 265 0.0 35.78968493913707
27 95 0.0 35.19665565182002
s 28 0.0 9.137394856868099
t 28 244.9539311408165 0.0
28 817 0.0 70.14854867596908
28 222 0.0 64.63479585736624
s 29 0.0 8.585533819061782
t 29 160.53921322051627 0.0
29 256 0.0 37.979270055400356
29 1267 0.0 37.44914697413032
s 30 0.0 4.390250534974276
t 30 21.28990187345376 0.0
30 841 0.0 11.30027472016183
30 1695 0.0 14.067361322044079
t 31 976.0837063634144 0.0
31 1593 0.0 36.10586558998348
31 1034 0.0 93.68285008922429
s 32 0.0 4.4322093886278395
t 32 7.529460507673104 0.0
32 578 0.0 7.529561447708841
32 1478 0.0 11.657722104209963
s 33 0.0 11.570046408166247
t 33 102.35575810361476 0.0
33 813 0.0 29.172416823599395
33 94 0.0 21.17016018241215
s 34 0.0 13.498155094614697
t 34 228.1906480798446 0.0
34 857 0.0 36.42415450750198
34 1372 0.0 33.81067984108867
t 35 128.95519549966164 0.0
35 1305 0.0 10.038437254451326
35 1646 0.0 76.89394304801667
35 1135 0.0 67.51579704974232
t 36 364.3801363145576 0.0
36 848 0.0 50.24012231498762
36 1104 0.0 54.74470804197707
36 289 0.0 14.727607964080761
s 37 0.0 6.091618258767705
t 37 67.79458514444664 0.0
37 1503 0.0 31.058289488277655
t 38 80.21877886185018 0.0
38 243 0.0 13.004769811651421
38 500 0.0 16.9388912474836
38 1307 0.0 12.41572486206445
s 39 0.0 4.937527785874471
t 39 23.664263803502678 0.0
39 1256 0.0 19.54502112138273
39 1402 0.0 15.433217130279168
s 40 0.0 11.513321511856198
t 40 83.69373239676432 0.0
40 1480 0.0 14.817198687114793
40 442 0.0 16.91901589580925
s 41 0.0 16.567187269285586
t 41 29.386417179560617 0.0
41 730 0.0 12.526141140843267
t 42 332.1845716725746 0.0
42 1618 0.0 39.25356737877691
42 660 0.0 31.36958209153136
42 1051 0.0 21.24533040218207
t 43 640.9280428575439 0.0
43 1204 0.0 51.58700933193259
43 187 0.0 25.033184763796474
43 909 0.0 60.00911267408167
s 44 0.0 4.389331329200965
t 44 11.51108253300305 0.0
44 957 0.0 5.311752577164383
t 45 720.1849005034163 0.0
45 737 0.0 51.82325393244462
45 437 0.0 57.36052511556253
45 926 0.0 27.84260247332291
s 46 0.0 13.130343894603984
t 46 61.79225798134374 0.0
46 1314 0.0 14.608500269220151
46 716 0.0 9.613645639398035
t 47 308.85403396289985 0.0
47 68 0.0 76.43841111293969
47 825 0.0 15.444850758323755
47 1038 0.0 89.9641185120363
t 48 892.2106572425796 0.0
48 274 0.0 83.38388937712448
48 726 0.0 22.509683649628144
48 958 0.0 92.86347974550203
s 49 0.0 4.391528455715409
t 49 13.651871444896262 0.0
49 1459 0.0 6.333498899209481
49 54 0.0 8.366747532920192
s 50 0.0 5.456924727004337
t 50 3.37630585141405 0.0
50 458 0.0 4.0474392581927
s 51 0.0 5.729869009191152
t 51 31.14675544126971 0.0
51 723 0.0 11.162262236687745
51 1337 0.0 13.653675525310215
s 52 0.0 18.605794847071227
t 52 35.70710369033618 0.0
52 293 0.0 14.249616564084443
s 53 0.0 13.771163119474506
t 53 320.77684442904103 0.0
53 453 0.0 51.11298811367829
53 909 0.0 58.14951389292699
t 54 23.52469559275192 0.0
54 1396 0.0 7.856235976047947
54 507 0.0 6.3182371397404
s 55 0.0 14.739335153662445
t 55 10.999996288783414 0.0
55 1584 0.0 13.165622731734206
s 56 0.0 8.34981971422657
t 56 75.62250594237543 0.0
56 1328 0.0 18.672023480001812
56 646 0.0 22.227333971078433
s 57 0.0 7.06115113503906
t 57 8.161871202146866 0.0
57 1268 0.0 2.349750153095216
57 683 0.0 7.031273828709248
s 58 0.0 6.389009364142828
t 58 129.64025933432944 0.0
58 359 0.0 44.44730675312104
58 871 0.0 42.24613948525196
s 59 0.0 9.808572216832236
t 59 41.115033179427044 0.0
59 787 0.0 17.54807341611464
59 819 0.0 10.085918763214572
s 60 0.0 28.953174817084925
t 60 223.15228890441003 0.0
60 1586 0.0 18.389694472440464
60 156 0.0 24.408237159111664
t 61 113.1968670891296 0.0
61 1488 0.0 23.48471947538021
61 1397 0.0 20.39409741045493
61 1239 0.0 11.105033268118735
s 62 0.0 10.698390397502694
t 62 206.45777705068411 0.0
62 1658 0.0 38.631133002913906
62 639 0.0 39.643384607164506
s 63 0.0 6.970488583808805
t 63 4.7365192815723365 0.0
63 832 0.0 5.446159232331014
t 64 117.71759859927846 0.0
64 261 0.0 13.188967783059045
64 662 0.0 24.274548128330512
64 678 0.0 18.146317162653293
s 65 0.0 11.856768730469785
t 65 260.2561938752257 0.0
65 1009 0.0 60.255906547861876
65 679 0.0 52.845048164769906
s 66 0.0 6.655424013899026
t 66 8.942584587522697 0.0
66 1115 0.0 6.639900364033125
66 1007 0.0 2.74995394544129
t 67 429.7186703191561 0.0
67 552 0.0 56.66233168513252
67 1673 0.0 16.956373871638515
67 346 0.0 66.00880347136413
s 68 0.0 5.302886544569319
t 68 140.91163690036205 0.0
68 878 0.0 72.72048742719188
t 69 183.4268224524742 0.0
69 1601 0.0 20.022026614932663
69 1083 0.0 18.323469554510282
69 1375 0.0 27.279425713743237
t 70 1138.6617735360182 0.0
70 801 0.0 59.5159010033729
70 647 0.0 42.671052778205954
70 1625 0.0 55.8116712410366
s 71 0.0 2.5006387064358386
t 71 43.55122091162713 0.0
71 1193 0.0 34.84617503075113
71 350 0.0 35.0066545463088
t 72 160.5122367828398 0.0
72 609 0.0 16.404943813025987
72 1090 0.0 24.21855492280714
72 1491 0.0 36.38436500638245
t 73 447.25397506429874 0.0
73 1350 0.0 13.056600991957279
73 1276 0.0 68.51486974807538
73 1167 0.0 69.59502428671286
s 74 0.0 7.509527417594861
t 74 313.84783245921074 0.0
74 961 0.0 83.70407409041754
74 1476 0.0 84.43549859210121
t 75 1239.0459975084975 0.0
75 962 0.0 33.21968277367499
75 89 0.0 74.76821382678693
75 1453 0.0 83.84342539559803
t 76 8.278804849943327 0.0
76 946 0.0 2.310548001261964
76 228 0.0 8.242186588145444
76 423 0.0 7.379393082715054
s 77 0.0 14.534273478448995
t 77 9.250725136436621 0.0
77 530 0.0 13.193339624684375
s 78 0.0 13.939731004581905
t 78 64.23037890476651 0.0
78 1316 0.0 9.535657005965941
78 429 0.0 14.728519017021712
t 79 113.83592240112266 0.0
79 1511 0.0 42.21271275263711
79 826 0.0 46.776636662206585
s 80 0.0 3.9162457891658966
t 80 5.732419903251248 0.0
80 1296 0.0 2.9589009500236325
80 792 0.0 5.240140816153631
t 81 260.49197275723157 0.0
81 1641 0.0 61.28595238817707
81 1020 0.0 64.59349018614226
81 1452 0.0 8.933293875512566
s 82 0.0 6.478621809805551
t 82 123.21794202043182 0.0
82 1014 0.0 45.622028490903396
82 119 0.0 49.49458887236669
s 83 0.0 12.920774949397606
t 83 69.6461581572434 0.0
83 1403 0.0 10.784928606058843
83 637 0.0 17.066164774894748
s 84 0.0 22.134183276613467
t 84 151.34979108525417 0.0
84 662 0.0 16.888305968036086
84 1561 0.0 18.343261067075133
s 85 0.0 15.66614259370024
t 85 42.29441240787748 0.0
85 611 0.0 18.46199027389789
85 931 0.0 5.754031521512324
s 86 0.0 3.9196896277200164
t 86 77.94788116423649 0.0
86 301 0.0 49.36014838236722
86 1039 0.0 47.144658484775796
s 87 0.0 11.012343347956435
t 87 250.8557356996043 0.0
87 228 0.0 47.49755804788071
87 1455 0.0 51.702084793692755
s 88 0.0 12.292557243321012
t 88 100.64796506896363 0.0
88 297 0.0 16.3780642679458
88 1662 0.0 20.300949850854487
t 89 1116.771279888937 0.0
89 1425 0.0 48.528552066892566
89 342 0.0 47.18454833195868
s 90 0.0 8.932017124385476
t 90 10.336707237363736 0.0
90 1573 0.0 18.004983247160776
90 316 0.0 9.21885780649526
s 91 0.0 27.524061488291427
t 91 67.35744095321628 0.0
91 960 0.0 22.092576453202945
t 92 242.61121781582338 0.0
92 530 0.0 17.262433902745578
92 1606 0.0 33.23954753454885
92 793 0.0 28.112665223454258
t 93 839.9375388750761 0.0
93 1379 0.0 31.211058796123915
93 359 0.0 64.58819348465211
93 1031 0.0 54.010198959199535
s 94 0.0 6.122406670377684
t 94 42.953889934663565 0.0
94 1315 0.0 17.074961854502554
t 95 223.3575595314304 0.0
95 677 0.0 12.707197275119055
95 1400 0.0 36.83081375902529
s 96 0.0 6.770081004202987
t 96 276.70976543415924 0.0
96 665 0.0 94.30582550887473
96 731 0.0 91.11912546046665
s 97 0.0 8.379327787604858
t 97 77.93715936200117 0.0
97 380 0.0 20.03072853174731
97 525 0.0 24.411868043948527
s 98 0.0 4.3929908792752
