c #vertices #edges weightDimension idOffset
mincutGraph 14 13 2 3570
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 23650 0.0 13.454882795320918
t 23650 16.517517206642342 0.0
s 34946 0.0 6.525101416989809
t 34946 3.9159489005003536 0.0
s 1443 0.0 11.430667201252472
t 1443 9.98780981992239 0.0
1443 33064 0.0 9.343164188091771
s 31075 0.0 6.938345993660148
t 31075 11.299322761177079 0.0
t 18916 22.39649047693003 0.0
18916 34946 0.0 5.259315325992499
18916 26774 0.0 8.899128772128298
s 8389 0.0 4.647801854899799
t 8389 6.368636182454347 0.0
8389 25939 0.0 3.096108303605564
t 11911 7.068559824523917 0.0
11911 31075 0.0 8.039850618272075
11911 33064 0.0 8.65288411322138
11911 24125 0.0 1.8107865997182768
t 33064 37.35808634066768 0.0
s 15146 0.0 9.201258366152231
t 15146 46.38891364008803 0.0
15146 23650 0.0 10.678539962951858
15146 18916 0.0 11.575600695376771
s 4555 0.0 3.2734421165791634
t 4555 5.293306761775054 0.0
4555 31075 0.0 3.283046430550108
4555 8389 0.0 4.218517483362386
s 23059 0.0 1.9003511245343216
t 23059 0.06084687530077171 0.0
23059 24125 0.0 1.858484252841508
s 25939 0.0 4.368086212887805
t 25939 2.3847179023000793 0.0
s 26774 0.0 4.483036170328295
t 26774 19.94559719371552 0.0
26774 33064 0.0 10.020522124352379
s 24125 0.0 2.2918725763696584
t 24125 1.6414624705610246 0.0
