c #vertices #edges weightDimension idOffset
mincutGraph 16684 18440 2 1772
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 9.63977727435391
t 0 57.091404995741584 0.0
0 7762 0.0 13.233411497469346
0 3766 0.0 12.42106052946042
s 1 0.0 14.02525486004747
t 1 218.1349444599497 0.0
1 9253 0.0 38.74449412773577
1 280 0.0 48.43319809019593
s 2 0.0 10.517372198400498
t 2 127.46993419259718 0.0
2 9169 0.0 30.667853725631623
2 5254 0.0 25.61163803641765
t 3 4785.924666842504 0.0
3 2816 0.0 98.6328480577385
3 13908 0.0 98.86508842552396
3 986 0.0 152.4056793045365
s 4 0.0 6.033532794808115
t 4 12.815283786453488 0.0
4 2197 0.0 6.646100213201924
4 15461 0.0 4.346982998397919
s 5 0.0 17.596819166628777
t 5 157.4476848633274 0.0
5 1512 0.0 22.419058153873383
5 937 0.0 18.35688834380895
s 6 0.0 12.119681051101857
t 6 97.7477744115775 0.0
6 13592 0.0 17.167247412911028
6 460 0.0 24.16659735732874
s 7 0.0 10.60652093494019
t 7 4.091167530889713 0.0
7 14231 0.0 0.77144382328281
7 1800 0.0 10.634538632042782
s 8 0.0 14.431053777676825
t 8 83.52347395497698 0.0
8 13442 0.0 14.35921564762482
8 3038 0.0 13.00803055022615
s 9 0.0 38.64282529396593
t 9 175.22422464663782 0.0
9 2388 0.0 49.836545719442945
9 15033 0.0 13.76983868022957
t 10 6.618247032359537 0.0
10 8932 0.0 3.1524279868762837
10 7290 0.0 4.902606607426319
10 14858 0.0 7.066135331725677
s 11 0.0 4.20989368862536
t 11 4.063660277894682 0.0
11 3399 0.0 4.631430221837652
11 8111 0.0 1.93052869191173
s 12 0.0 7.587288258283082
t 12 8.001913425893704 0.0
12 8722 0.0 8.160843944899614
12 11239 0.0 2.129997876588738
t 13 75.74990736679464 0.0
13 68 0.0 26.05516345451709
13 3994 0.0 5.964753262346317
13 10156 0.0 27.995669557967247
s 14 0.0 10.354761740129522
t 14 41.48285274057027 0.0
14 15781 0.0 8.50465653807671
14 4409 0.0 10.976984040540746
s 15 0.0 1.2915667055889146
t 15 0.5212951733622486 0.0
15 1733 0.0 0.8456411019641649
15 811 0.0 1.3161975704713686
s 16 0.0 6.6848884732741745
t 16 51.43167446445315 0.0
16 14358 0.0 17.6370115869085
16 12635 0.0 15.508547039979813
s 17 0.0 12.316168017749353
t 17 282.1384973079034 0.0
17 2862 0.0 48.68996434906716
17 14494 0.0 54.11429446969833
s 18 0.0 6.530915749306872
t 18 9.503335730900911 0.0
18 10537 0.0 3.217955691529875
18 3549 0.0 5.922151576114165
s 19 0.0 11.4052963867638
t 19 30.63055253798954 0.0
19 1506 0.0 11.132410068167285
19 9186 0.0 5.620300013955738
t 20 96.24884264415971 0.0
20 10291 0.0 19.79325724791479
20 12860 0.0 10.007414366210137
20 12285 0.0 19.963444838503374
s 21 0.0 7.21622567287509
t 21 20.53694159979688 0.0
21 8571 0.0 11.71511205496117
21 6543 0.0 6.444949949229028
t 22 489.18605918842576 0.0
22 9077 0.0 53.925384505800714
22 7081 0.0 31.099020347707704
22 844 0.0 33.92605177074653
t 23 49.70184122279178 0.0
23 5303 0.0 25.99798170277053
23 8008 0.0 7.9270426471724065
23 6682 0.0 33.16310491804203
s 24 0.0 21.614565037633263
t 24 30.939237267287965 0.0
24 16122 0.0 2.9526926844714683
24 9403 0.0 22.520243163189765
s 25 0.0 3.5831141885996294
t 25 7.2908729409399715 0.0
25 8824 0.0 6.3564059520173
25 4574 0.0 4.272096147866941
t 26 1.626576326517516 0.0
26 13603 0.0 4.7953954889874355
26 16596 0.0 4.933787436540784
26 4730 0.0 0.6845378131707781
s 27 0.0 3.773002258461036
t 27 2.209819051875214 0.0
27 15812 0.0 3.9506567517716515
27 4253 0.0 1.171384961098101
s 28 0.0 20.34698859405799
t 28 577.973966261425 108.666134638191
28 10449 0.0 91.93883592583089
t 29 517.1454486205041 0.0
29 12593 0.0 35.887398463779284
29 4508 0.0 36.540397731752975
29 16590 0.0 31.793631951457932
s 30 0.0 13.942501009164626
t 30 108.56487490173704 0.0
30 11760 0.0 15.596934023410729
