c #vertices #edges weightDimension idOffset
mincutGraph 33 32 2 4349
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 5632 0.0 8.46344377045553
t 5632 7.590892186786029 0.0
s 131 0.0 3.3149260788840795
t 131 3.4339796585537803 0.0
131 17767 0.0 3.080598898216895
131 23803 0.0 2.316010131309644
s 8707 0.0 3.7797548722437027
t 8707 5.8909537441131405 0.0
8707 16977 0.0 3.562621535428992
8707 15492 0.0 3.7333701342381014
s 21507 0.0 6.1109614147817535
t 21507 4.675608415440566 0.0
s 15492 0.0 3.3713620035154
t 15492 3.551900549272454 0.0
t 17228 46.82016662034011 0.0
17228 25297 0.0 14.33615032262582
s 27404 0.0 3.7167144099133114
t 27404 4.316864376484866 0.0
27404 31391 0.0 2.328992566548842
s 16977 0.0 8.071042646021331
t 16977 13.48509647269282 0.0
16977 17402 0.0 7.608782091057118
s 25297 0.0 19.614414834081725
t 25297 47.608072681566206 0.0
s 33873 0.0 5.336726286545624
t 33873 44.529793635175906 0.0
t 9746 71.75418099921392 0.0
9746 33873 0.0 16.6954764027759
9746 27063 0.0 15.872920287629997
9746 19612 0.0 9.225883878975088
s 30482 0.0 9.414698747736766
t 30482 20.098312048536236 0.0
s 8468 0.0 13.5943549357009
t 8468 22.29994629192879 0.0
8468 11892 0.0 3.2807656409449257
s 15893 0.0 8.677518747029863
t 15893 74.54587229726306 0.0
15893 33873 0.0 17.678571696632083
s 15639 0.0 2.24286666238776
t 15639 1.5720158955869126 0.0
15639 22108 0.0 1.8177963051592958
s 13148 0.0 16.65408050547501
t 13148 35.20039411668916 0.0
13148 30482 0.0 4.269633451936541
13148 15893 0.0 17.764544492689364
s 19612 0.0 4.387066026390192
t 19612 12.513149266343444 0.0
19612 22108 0.0 6.383050294214914
s 22108 0.0 5.069914645556512
t 22108 3.553482044048848 0.0
s 31391 0.0 3.1457747394078956
t 31391 3.66318021420247 0.0
s 4386 0.0 13.933325118663632
t 4386 14.797151216874292 0.0
4386 15492 0.0 2.126889144355735
4386 8468 0.0 13.984631182183213
s 16931 0.0 13.083478929503855
t 16931 65.43535827890449 0.0
16931 30482 0.0 10.314831351338679
16931 17228 0.0 14.549302351146297
s 17767 0.0 2.6545737451031712
t 17767 2.0747017226092557 0.0
17767 21507 0.0 1.563114776100237
s 7914 0.0 6.267831220910576
t 7914 0.9410891419311014 0.0
7914 21507 0.0 5.990782987431525
s 12524 0.0 1.8062010550152523
t 12524 0.04692317536541837 0.0
12524 15639 0.0 1.7729793727056868
s 2157 0.0 3.9329573396432402
t 2157 4.977348269414271 0.0
2157 23988 0.0 2.7076708315333895
2157 31391 0.0 3.9031167680723677
s 497 0.0 6.505352238180739
t 497 11.36844577598198 0.0
497 5632 0.0 5.389131427371328
497 27404 0.0 4.241642184799741
s 11892 0.0 13.180154263322287
t 11892 21.620498624730768 0.0
11892 27063 0.0 13.582337413049316
s 23988 0.0 3.1457747393611584
t 23988 4.072503728078665 0.0
s 11766 0.0 1.5780753110650985
t 11766 2.4398327467231855 0.0
11766 23988 0.0 3.4990320188838395
11766 17402 0.0 3.0927356276847773
s 27063 0.0 5.336726286997898
t 27063 34.90726991817714 0.0
s 17402 0.0 7.748544148602995
t 17402 11.61888200847753 0.0
s 23803 0.0 3.5830937026471075
t 23803 4.012050150503179 0.0
s 7933 0.0 3.29860735262354
t 7933 3.7415644708342564 0.0
7933 23803 0.0 3.7376355787159246
7933 17228 0.0 6.666884219346968
