c #vertices #edges weightDimension idOffset
mincutGraph 4301 4651 2 363
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 12.321953628847528
t 0 18.97781260469796 0.0
0 135 0.0 8.725062836976308
s 1 0.0 9.251494318946444
t 1 29.59881575116313 0.0
1 113 0.0 7.194960805566055
1 1097 0.0 14.07949111367398
t 2 14.18473802753849 0.0
2 1840 0.0 22.047390468724142
2 732 0.0 4.33020332476443
2 2367 0.0 17.958945047345022
s 3 0.0 12.037243069700109
t 3 110.35228479357532 0.0
3 3026 0.0 21.108209694862612
3 2581 0.0 18.402990621647437
s 4 0.0 1.7913220188447934
t 4 5.614429516728171 0.0
4 1585 0.0 8.963475031214537
4 2518 0.0 7.784509910721538
t 5 5.820862258727213 0.0
5 49 0.0 3.453053987572243
5 899 0.0 3.4516163365451535
5 2265 0.0 4.327693647027113
s 6 0.0 4.622141305421433
t 6 10.587179485995451 0.0
6 422 0.0 6.242111281490827
6 2234 0.0 4.596980955731355
t 7 62.988631632671726 0.0
7 1704 0.0 7.625450318542442
7 124 0.0 18.649230888484865
7 4269 0.0 16.552514852633756
s 8 0.0 9.293756214573698
t 8 34.2637491439552 0.0
8 492 0.0 13.760191371944702
8 1215 0.0 7.731098408977485
t 9 863.0522424929518 0.0
9 1879 0.0 83.66570155815445
9 3002 0.0 25.254799598934287
9 2414 0.0 72.11384886421465
s 10 0.0 3.7444070624606174
t 10 49.18918307858189 0.0
10 3389 0.0 57.27198132553526
10 639 0.0 53.9721689560825
t 11 85.08722827985603 0.0
11 2370 0.0 29.373105695906194
11 780 0.0 6.601564656568051
11 1182 0.0 26.841097007270882
t 12 33.61819380246718 0.0
12 4066 0.0 12.27749475943772
12 3717 0.0 13.030038263309168
12 776 0.0 5.495193491443061
t 13 64.03769524881776 0.0
13 3667 0.0 11.314187357722034
13 1309 0.0 13.60853681476586
13 2398 0.0 11.928297193071778
t 14 15.573059581739328 0.0
14 2741 0.0 8.571445718576593
14 2761 0.0 7.3365487129994476
14 1695 0.0 4.246754057372115
s 15 0.0 5.941083366775733
t 15 45.90088501625391 0.0
15 1196 0.0 15.662130902620051
15 717 0.0 15.818293569866553
t 16 55.062744754697135 0.0
16 2068 0.0 8.631460293767079
16 984 0.0 13.210801928251596
16 1656 0.0 17.555172276963805
t 17 58.391001750966595 0.0
17 3285 0.0 10.361722307526927
17 1467 0.0 11.866549836142687
17 156 0.0 13.085219568709562
t 18 88.93789352518978 0.0
18 1313 0.0 21.855189222089198
18 3692 0.0 8.964338450394381
18 3950 0.0 26.874707825555596
t 19 68.58800860649737 0.0
19 214 0.0 24.458129885992665
19 1963 0.0 23.01269867049561
19 3131 0.0 6.0027735724426
s 20 0.0 6.382190861309467
t 20 50.93300780273971 0.0
20 544 0.0 17.059627570998206
20 3595 0.0 20.214962793863787
s 21 0.0 6.019204590300733
t 21 16.26713842184713 0.0
21 984 0.0 10.263982452073963
21 138 0.0 6.044745447196442
t 22 15.74173045555904 0.0
22 1552 0.0 8.23569452117831
22 1275 0.0 13.714845837385647
22 2635 0.0 21.74564950291673
t 23 86.64069027339568 0.0
23 3953 0.0 19.45178664434438
23 3954 0.0 18.03287720314765
23 2503 0.0 9.674276892731989
s 24 0.0 12.564338223682533
t 24 13.226572218960499 0.0
24 1913 0.0 10.238882348052623
s 25 0.0 0.42013919832104096
t 25 3.7735939200681985 0.0
25 3809 0.0 18.02632486316125
