c #vertices #edges weightDimension idOffset
mincutGraph 3552 3970 2 431
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 17.703447114639218
t 0 234.89079023254823 0.0
0 1921 0.0 26.77122019305
0 3450 0.0 30.07950763093108
s 1 0.0 11.515943196719334
t 1 101.84357031320508 0.0
1 524 0.0 18.155216024974635
1 1900 0.0 19.18116869330483
t 2 164.09314536252285 0.0
2 1889 0.0 18.21943763915131
2 2230 0.0 18.20014305856758
2 1614 0.0 23.839602289419386
s 3 0.0 16.8039115180394
t 3 206.27311169615965 0.0
3 1478 0.0 27.175948107545125
3 2502 0.0 37.58385704132251
s 4 0.0 11.324226525647198
t 4 15.15906715492431 0.0
4 2696 0.0 8.219000214265714
s 5 0.0 8.182864101789857
t 5 49.44515139649497 0.0
5 1851 0.0 12.673698707766931
5 1709 0.0 17.031151430928173
s 6 0.0 9.355304102321474
t 6 9.463362494165949 0.0
6 3541 0.0 16.49449948909987
6 2166 0.0 7.300570437471487
s 7 0.0 13.692605713970918
t 7 89.39864125420964 0.0
7 2891 0.0 14.32007610164589
7 2637 0.0 23.527242171476683
t 8 81.16334672988151 0.0
8 1716 0.0 22.070228166801595
8 918 0.0 21.64280398969393
8 3310 0.0 7.552422546653316
s 9 0.0 10.093880269893814
t 9 118.61807625690736 0.0
9 122 0.0 53.82759802657277
9 3420 0.0 44.96327452782667
s 10 0.0 8.725858756600498
t 10 43.18154326842331 0.0
10 1146 0.0 11.69652829205796
10 2237 0.0 17.936738997818782
s 11 0.0 13.784188183061765
t 11 71.3246258362101 0.0
11 3217 0.0 10.844694251803856
11 1583 0.0 14.77276397504271
s 12 0.0 12.308056017664077
t 12 144.79801178419893 0.0
12 2886 0.0 26.228107408552912
12 1784 0.0 33.53615124302521
t 13 436.41211258485924 0.0
13 1747 0.0 28.42957657727988
13 2203 0.0 42.70919262882946
13 92 0.0 30.72714372727242
s 14 0.0 15.208861109960587
t 14 27.043956226152734 0.0
14 171 0.0 11.100490912437264
s 15 0.0 8.236571612728142
t 15 203.66739193365223 0.0
15 2785 0.0 56.354811338431176
15 2426 0.0 60.735690923476824
s 16 0.0 14.676624677138143
t 16 23.746469411327205 0.0
16 1462 0.0 10.965536246689718
s 17 0.0 10.497051428545676
t 17 79.68101406070062 0.0
17 501 0.0 18.021885438969758
17 2889 0.0 15.201924840643896
s 18 0.0 5.423270246390204
t 18 153.0095708344627 0.0
18 2787 0.0 74.74036449236354
18 799 0.0 71.30168728183443
s 19 0.0 11.08752509935513
t 19 105.5584657576205 0.0
19 279 0.0 19.33202485457686
19 809 0.0 20.555996706938167
t 20 37.18109447087451 0.0
20 290 0.0 19.60896911612015
20 101 0.0 27.036276664064314
20 1418 0.0 8.102293062105767
s 21 0.0 9.475500635330764
t 21 11.893745881104596 0.0
21 2417 0.0 9.1386455386102
21 3249 0.0 2.6031030962800106
s 22 0.0 11.975005345802003
t 22 100.2937665255335 0.0
22 535 0.0 26.821930183794535
22 1513 0.0 19.00268182318767
s 23 0.0 22.406322468035444
t 23 210.72197118269082 0.0
23 1191 0.0 20.011832119697242
23 3484 0.0 34.76663981862148
t 24 374.31875565923525 0.0
24 913 0.0 32.81954723098907
24 3363 0.0 29.609928899691493
24 871 0.0 26.733240096589434
s 25 0.0 9.265786628158187
t 25 8.093943669620657 0.0
25 582 0.0 7.313728499064544
s 26 0.0 17.096486979151685
t 26 230.72382029158297 0.0
26 597 0.0 31.524376077674734
26 1770 0.0 42.93012125038212
t 27 287.0064835002342 0.0
27 2870 0.0 38.92761364512618
27 1580 0.0 15.326640079266324
27 2236 0.0 45.55977771769533
t 28 103.81691645714112 0.0
28 915 0.0 20.254383878823244
28 2739 0.0 12.287738703309834
28 2969 0.0 16.934746559564882
s 29 0.0 8.049698378197306
t 29 78.93622569939768 0.0
29 198 0.0 19.796938076699355
29 1775 0.0 20.329265489195144
t 30 1122.571230922304 0.0
30 2833 0.0 100.54066208193538
30 2041 0.0 47.87523589798724
30 3305 0.0 62.32985523326943
s 31 0.0 11.443469457593716
t 31 121.18459094168368 0.0
31 1910 0.0 22.712903879779585
31 2172 0.0 21.426086371503526
s 32 0.0 13.51858701894644
t 32 133.06746281764546 0.0
32 1876 0.0 20.159259803529718
32 2717 0.0 21.721239175074526
s 33 0.0 9.94121613478739
t 33 96.67408634860706 0.0
33 375 0.0 37.98507119961499
33 2457 0.0 29.882543145903483
t 34 84.90151988926495 0.0
34 261 0.0 19.310007412548035
34 3001 0.0 25.336110950228313
34 859 0.0 9.855901395917781
t 35 614.4413114397456 0.0
35 1521 0.0 49.21010755316321
35 1688 0.0 40.97096668241889
35 316 0.0 30.057840919990888
s 36 0.0 9.325389523767651
t 36 57.95164676867011 0.0
36 2755 0.0 24.6230232084303
36 1387 0.0 17.228313435262308
s 37 0.0 13.124823637136641
t 37 20.004721464825437 0.0
37 2709 0.0 9.597267311145496
t 38 194.91986165912226 0.0
38 81 0.0 20.101729028326584
38 3281 0.0 20.956811873291077
38 2254 0.0 22.889826198351265
s 39 0.0 7.324099662075156
t 39 6.435455729788501 0.0
39 1865 0.0 5.283328764635938
s 40 0.0 4.542113333509595
t 40 97.69867484770111 0.0
40 2614 0.0 92.62534446226164
40 1657 0.0 88.62794076588254
s 41 0.0 11.082773242292351
t 41 127.25721530264944 0.0
41 2736 0.0 23.685758071078677
41 813 0.0 28.502350062447086
s 42 0.0 9.726689417491801
t 42 11.109041107107906 0.0
42 388 0.0 7.884833244362131
t 43 712.2780870354547 0.0
43 2054 0.0 52.966343341670424
43 3419 0.0 52.47323086873221
43 1310 0.0 28.034554442020266
s 44 0.0 7.603507246437523
t 44 43.51522402125105 0.0
44 1005 0.0 11.448555261058779
44 1119 0.0 13.611460601860394
t 45 72.54472722968718 0.0
45 1544 0.0 25.073273255968335
45 1848 0.0 21.67108707787387
45 1263 0.0 7.143740646715455
t 46 113.84964896170482 0.0
46 2469 0.0 14.412489501250807
46 1575 0.0 18.922393599072723
46 1069 0.0 16.296821967741675
s 47 0.0 11.876348399531702
t 47 175.63478310112478 0.0
47 214 0.0 35.18277917244699
47 2154 0.0 42.79526402587606
s 48 0.0 7.850462379487108
t 48 105.18087240076738 0.0
48 322 0.0 36.72119530660068
48 2866 0.0 31.87249523505897
t 49 79.12006934235788 0.0
49 2343 0.0 22.566535413174936
49 2203 0.0 26.934512479623564
49 364 0.0 7.810146100487
s 50 0.0 13.00529230161441
t 50 291.3832096116407 0.0
50 2284 0.0 45.381594903377035
50 1695 0.0 49.146648574673904
s 51 0.0 12.917403808996148
t 51 84.33530383745864 0.0
51 1104 0.0 14.278507930147043
51 2684 0.0 14.88241579829265
s 52 0.0 7.372804343655449
t 52 64.37475697646809 0.0
52 2693 0.0 35.29444680844022
52 2167 0.0 29.11673233895725
