c #vertices #edges weightDimension idOffset
mincutGraph 9329 10412 2 1107
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 15.731917979724258
t 0 68.91581813704217 0.0
0 2020 0.0 16.040149485180756
0 1989 0.0 9.057101465238484
s 1 0.0 9.170656369792017
t 1 40.33915172491057 0.0
1 9337 0.0 8.857153865420765
1 3263 0.0 13.467815642000108
s 2 0.0 9.864318064617226
t 2 51.456609690814226 0.0
2 7878 0.0 11.665713286795766
2 1070 0.0 11.420095752711946
s 3 0.0 12.025874556935719
t 3 55.88287582705867 0.0
3 6659 0.0 36.09912629356793
3 1887 0.0 47.819955696913176
s 4 0.0 14.806672973305087
t 4 134.3465707953678 0.0
4 2835 0.0 19.365200980951506
4 1547 0.0 19.85053447415352
t 5 40.772942907016585 0.0
5 6096 0.0 14.685249110800351
5 3747 0.0 6.062723981862603
5 215 0.0 13.451423911119518
s 6 0.0 9.641657734120091
t 6 86.25493683734791 0.0
6 320 0.0 32.22335848729881
6 8919 0.0 24.789556210192412
t 7 24.244146149460217 0.0
7 339 0.0 10.661526940276328
7 692 0.0 13.325550401216738
7 1657 0.0 4.915092751945429
t 8 111.2751000619993 0.0
8 9302 0.0 32.8212036914456
8 2921 0.0 28.720001897036827
8 6477 0.0 8.373557883669548
s 9 0.0 9.177214926446924
t 9 50.958876648396995 0.0
9 9058 0.0 14.042130266196647
9 2235 0.0 11.120848920237917
s 10 0.0 14.8532432346782
t 10 247.2305941197805 0.0
10 8817 0.0 37.67744563814997
10 4954 0.0 46.52320630231756
s 11 0.0 10.764913558565336
t 11 20.012883422540728 0.0
11 6243 0.0 10.973557379205543
11 5753 0.0 3.7441677076069464
s 12 0.0 9.67079106784106
t 12 34.05016575851734 0.0
12 5042 0.0 10.838592782594707
12 7865 0.0 7.185868136295589
s 13 0.0 11.922497171452596
t 13 113.0969303310099 0.0
13 8858 0.0 19.865134096234126
13 252 0.0 19.90816016003776
s 14 0.0 7.820924124132095
